CODE_SEC;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7807;35,17980206;37,05862861;35,88473584;33,50246061;35,4294822;37,12364471;36,2341569;33,075847;38,80086542;40,30022537;38,43000142;39,70188858;40,05720975;39,66719638;39,66539049;39,7276815;39,7276815;39,89145148;40,20407646;40,16186932;40,34304752;38,43285314;37,96227707;36,30770282
7808;42,40274643;39,95791048;38,09737871;39,95147949;40,24254986;38,40459123;39,71991354;42,33109914;43,96774173;40,35232158;42,23375786;40,51910479;39,65587023;40,86224657;40,3921232;40,81406432;41,0549773;41,27740579;41,725295;41,58305312;39,84527984;39,55355205;40,24319567;39,88677378
7809;34,91476451;32,41377488;31,21571618;32,50354375;34,62311339;33,60217288;31,12328316;31,8933931;33,44112276;35,43951147;37,19441686;35,65540904;35,81409632;35,74880849;35,22682104;35,20584032;35,47212448;35,07089246;34,8205352;34,6714647;34,90085141;36,56433428;34,02870981;36,41056609
7810;32,06514367;33,25078291;34,64797447;35,52316265;33,02217148;34,31767495;33,11804692;32,39310249;32,47577682;38,73135805;41,19257689;41,24962578;40,5491924;40,22755147;38,66006677;38,66006677;38,66006677;38,66006677;38,29219308;38,29219308;37,50751181;37,9690092;34,9352636;32,98368043
7811;21,68653592;23,72917396;24,61516106;27,10725714;25,62428093;25,55691671;25,33772238;22,67134088;23,59922443;23,32749855;24,08936505;26,377325;26,10929696;27,45124013;27,56573553;26,21550192;26,65859096;26,55754889;23,39644615;23,39644615;23,314562;22,67324184;22,22105285;21,7554206
7812;27,12946084;27,7226707;27,55377686;25,94950026;27,41421931;26,89213584;26,52084894;25,32316838;24,74331704;26,89665762;25,61588146;24,65879237;22,98126877;22,72012391;22,05281084;21,74208413;21,46962544;21,64641191;22,41195493;22,38567889;22,4375717;22,68346463;23,90373588;27,70248074
7813;32,06329958;31,3720988;32,35550068;31,96649477;31,22055621;28,50135171;29,14074614;29,85832302;34,99367543;37,82717487;36,37911939;36,80508837;35,53915825;35,902186;36,10334136;35,36185511;35,36185511;35,36185511;35,32517832;35,32517832;34,29343782;34,50180833;30,82254763;32,2194903
7814;40,46218413;39,09344426;43,77960104;44,04371259;47,69571007;44,77260318;44,07893507;45,21302679;43,69842026;36,53418221;37,65157336;38,70359414;38,42388277;37,96530826;37,71176953;36,7662368;36,65077399;36,4714478;36,43495815;36,43495815;36,30362197;37,63370617;37,67467796;41,43962717
7815;36,51071972;37,36955435;37,79129259;36,66870948;37,01834433;37,87842066;37,68862468;36,42054427;37,62794127;38,39420336;36,2249424;35,71649228;33,74234709;33,81440083;33,61153731;34,10787398;34,04284708;34,1509513;32,90597348;33,04275449;32,87183253;31,3542444;32,02384711;34,15811909
7816;27,74613718;27,17536019;27,51259339;27,6982932;29,629099;31,28341468;32,44684664;32,40559664;32,79563837;32,39386603;32,86106515;32,97091296;33,17770562;33,12739887;33,34422254;33,19224304;33,19224304;33,19224304;33,94034622;34,02801147;33,38974662;32,28982611;32,2152857;29,11585502
