CODE_SECT;LIB;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7707;PROVINS , NANGIS , DONNEMARIE-DONTILLY;16688.9841851175;15662.6047951137;15549.3451527141;15724.5356442028;15711.6162299804;16025.2943578675;16117.0713301622;16645.0674257453;17559.9186322598;18354.8475733337;19823.9484999718;21493.9814482904;21493.9814482904;21493.9814482904;21961.4664767552;22147.1989567726;22147.1989567726;22147.1989567726;21415.2612861917;20801.2223675021;19723.2496552192;17285.0519751958;15816.2236395445;17276.7032364605
7708;CHELLES , VAIRES-SUR-MARNE , THORIGNY-SUR-MARNE;21695.1294511833;20287.8883441806;19610.8606019015;19518.0738878242;19954.3501898063;18961.9545082044;18197.2773253681;21155.9230736889;26765.1905680809;30872.6130460814;30712.0111420606;30976.1451959704;31713.0076377264;32870.9921551352;32870.9921551352;33859.8174716722;33859.8174716722;33859.8174716722;32561.6015784156;32385.6499114338;30524.9140173778;25256.5788504226;21370.8009842882;20026.0539958754
7709;BRIE-COMTE-ROBERT , TOURNAN-EN-BRIE , GRETZ-ARMAINVILLIERS;15409.0752252169;15096.2490046377;14240.1779779445;15078.5590682306;15338.3190723004;15130.3753494513;15466.261607082;14378.4701186447;14935.980083371;13515.8061269721;12877.0226201714;14235.4648733172;14630.8736887452;14947.6804441637;14947.6804441637;14947.6804441637;14947.6804441637;14947.6804441637;15122.9751694356;15301.8886546398;14762.0132141206;14618.09796539;15306.5948350194;16078.7275736678
7710;PONTAULT-COMBAULT , ROISSY-EN-BRIE , OZOIR-LA-FERRIERE;10118.3383641752;10469.2584536075;11832.913278906;11215.5628191635;10605.2525973016;11274.797347421;11284.4259723556;9424.96188105222;11740.1254765993;14493.1745994754;17638.0432872586;17507.0514331518;17854.6559217793;17549.5878255501;17913.8115870829;17243.213659365;17243.213659365;16980.2298419371;18841.8103066665;18294.0627836867;18294.0627836867;17539.2555393198;15171.4345534147;11468.0857022395
7711;MELUN , VAUX-LE-PENIL , BOIS-LE-ROI;20272.9807634084;19096.5533345459;21323.703856917;22400.0260789207;19472.7966217651;23430.2267213035;23063.6938667592;26976.4981068499;23196.812072015;29439.9350237393;27612.4768250445;26032.4372983937;26111.8745039065;25610.2489340484;25610.2489340484;25701.2012251523;25701.2012251523;25701.2012251523;24506.5304377849;24570.7969672516;24659.4750342771;24041.3359700005;21546.9724186709;19176.8584632448
7712;LE MEE-SUR-SEINE , DAMMARIE-LES-LYS , SAINT-FARGEAU-PONTHIERRY;22905.3770536002;23686.7188706308;22149.028562186;21263.3561113732;21241.9257584512;19560.2216725822;17976.6874266065;19732.4903858274;19239.2479174835;19709.7216021437;21375.7638423789;22278.2325937322;23262.0386549505;24107.3571134448;24107.3571134448;24107.3571134448;24107.3571134448;24107.3571134448;24107.3571134448;24107.3571134448;22994.6424128248;21717.360641015;21723.2309819622;22343.9756585103
7713;MONTEREAU-FAULT-YONNE , VARENNES-SUR-SEINE , SAINT-GERMAIN-LAVAL;8635.92641238405;8957.96019839281;8096.79055741847;7791.46891132368;7841.19834290743;7703.68170325925;7984.1684132853;8185.0402893224;8443.37817068095;8340.03870336459;9224.14355380288;9171.56728361978;9635.48529800343;9720.15579207764;9532.64646724461;9410.79055550927;9582.51611396216;9507.57249970572;9468.80120812458;9365.3233543005;9156.11214286427;8047.92357164413;7760.89117558794;8471.27917738954
7714;FONTAINEBLEAU , AVON , CHAMPAGNE-SUR-SEINE;21437.6310181607;20133.514376145;20872.1941398451;20532.3242946039;20897.4433099636;22812.28456498;22940.3947840166;21526.1847260346;21988.1335725066;22313.9482035965;24346.9041682623;24268.7132667104;24553.0905721651;24553.0905721651;24404.3543798273;24404.3543798273;24404.3543798273;24404.3543798273;24345.182803496;24345.182803496;23199.3350228334;22660.5571075366;17430.626574636;20384.4437325086
7715;NEMOURS , SAINT-PIERRE-LES-NEMOURS , SOUPPES-SUR-LOING;11573.8435724276;12160.5626335425;12654.4947404778;12977.8939041897;12693.0503987798;12234.367124179;11894.4050779895;12359.4455040364;12537.004578202;14129.5426566931;15005.3132214;15436.4117083442;15362.737953169;15221.3196260521;15448.2467199418;15448.2467199418;15448.2467199418;15339.1723277087;15318.3991135633;15118.8710221759;14660.720996473;13735.8991892683;12537.7013606938;12169.086633277
7716;SAVIGNY-LE-TEMPLE , COMBS-LA-VILLE , MOISSY-CRAMAYEL;26468.6383620524;25047.3363066618;26385.9911127598;26512.5360441998;28481.729336328;25836.3116659084;26663.4958552411;27354.0258610949;28894.609224972;28313.9043490815;29896.9896760093;31047.3053871499;30279.6136762757;31188.1472256308;31335.3487035101;30503.8190998333;30191.434995598;30191.434995598;31356.6348994307;30779.5259917663;29855.0007843999;28938.4534989585;24664.3022947784;27753.8129875359
