"district","hour","sex1","sex2"
"7702","6am",51300.05,59281.39
"7703","6am",38898.3,41234.42
"7704","6am",32044.78,37731.68
"7705","6am",19511.54,26502.69
"7706","6am",21557.35,23646.14
"7707","6am",24936.26,25557.92
"7708","6am",29373.1,39248.04
"7709","6am",25318.12,26191.87
"7710","6am",29045.66,36088.72
"7711","6am",34550.25,43818.15
"7712","6am",25884.76,27802.59
"7713","6am",13113.09,15389.51
"7714","6am",30935.68,35064.46
"7715","6am",15174.08,18177.98
"7716","6am",35129.01,37929.56
"7801","6am",37997.71,38630.3
"7802","6am",29326.76,33999.92
"7803","6am",39522.52,50458.56
"7804","6am",22383.09,24085.54
"7805","6am",39084.51,41007.95
"7806","6am",37368.63,44155.39
"7807","6am",19359.43,26738.02
"7808","6am",24457.12,29577.03
"7809","6am",28321.41,32817.32
"7810","6am",11508.38,11853.5
"7811","6am",34601.69,42123.66
"7812","6am",59423.03,66817.74
"7813","6am",18662.19,18578.05
"7814","6am",10935.74,11233.71
"7815","6am",15645.22,19980.71
"7816","6am",46569.86,54677.62
"9101","6am",27430.61,31034.52
"9102","6am",19945.52,25943.93
"9103","6am",30163.34,30890.78
"9104","6am",23808.54,25510.28
"9105","6am",36353.57,38447.83
"9106","6am",38613.48,41786.22
"9107","6am",37551.37,45447.68
"9108","6am",24590.23,30379.93
"9109","6am",31753.55,32944.84
"9110","6am",27011.18,31641.62
"9111","6am",30354.22,29513.53
"9112","6am",23086.54,24050.09
"9113","6am",36325.58,39925.36
"9114","6am",18895.07,23123.68
"9201","6am",53659.56,56731.4
"9202","6am",35473.63,44656.62
"9203","6am",61217.15,76332.53
"9204","6am",40932.27,43062.09
"9205","6am",46378.87,53743.33
"9206","6am",43410.73,49657.51
"9207","6am",37485.06,45086.46
"9208","6am",40462.79,47755.85
"9209","6am",61984.17,66871.19
"9210","6am",53550.78,62669.11
"9211","6am",30448.1,41367.41
"9212","6am",34967.58,39412.67
"9302","6am",20147.61,23737.36
"9303","6am",46389.16,55354.89
"9304","6am",54397.58,60422.35
"9305","6am",36724.13,41658.19
"9306","6am",42732.06,49962.22
"9307","6am",33183.14,43226.3
"9308","6am",28103,29299.79
"9309","6am",39480.36,47813.28
"9310","6am",45993.9,54519.46
"9311","6am",53543.61,60755
"9312","6am",77418.55,78873.88
"9402","6am",45123.92,57350.44
"9403","6am",49796.27,60493.2
"9404","6am",28717.27,37665.86
"9405","6am",32692.36,32573.9
"9406","6am",33303.73,40240.32
"9407","6am",47446.5,59470.95
"9408","6am",32302.03,40805.6
"9409","6am",64361.3,76442.98
"9410","6am",20680.39,23891.77
"9411","6am",22129.93,25898.8
"9412","6am",16579.76,17929.94
"9413","6am",25752.62,29587.09
"9414","6am",14305.14,15455.21
"9501","6am",32875,36852.4
"9502","6am",27091.75,32902.42
"9503","6am",21055.3,26986.65
"9504","6am",24954.05,23982.23
"9505","6am",26499.68,32120.11
"9506","6am",22097.62,28268.76
"9507","6am",33513.55,35456.8
"9508","6am",41612.88,47996.43
"9509","6am",29403.41,32838.12
"9510","6am",35235.88,39877.25
"9511","6am",35325.06,42355.66
"9512","6am",28844.74,40673.44
"9513","6am",25248.4,26180.26
"7501","7am",45793.537,41882.35
"7502","7am",65624.118,72244.89
"7503","7am",45366.644,45353.85
"7504","7am",40785.348,43752.39
"7505","7am",58409.085,61330.47
"7506","7am",60439.802,65335.84
"7507","7am",67757.75,81162.87
"7508","7am",49291.354,62772.96
"7509","7am",79786.611,104489.18
"7510","7am",58269.098,74346.51
"7511","7am",60552.278,75229.93
"7512","7am",72638.316,81848.04
"7513","7am",62306.442,71638.11
"7514","7am",68497.155,78866.84
"7701","7am",47564.836,49909.7
"7702","7am",51428.222,58250.95
"7703","7am",35583.188,38962.3
"7704","7am",29763.32,35100.68
"7705","7am",17829.113,25276.51
