"district","hour","act1","act2","act3","act4","act5"
"9208","5am",87168.81,966.2941,0,0,0
"9209","5am",126776.32,2303.33543,0,0,0
"9210","5am",115668.93,0,558.77316,0,0
"9211","5am",72155.76,0,0,0,0
"9212","5am",72920.47,873.19361,0,0,977.99114
"9302","5am",43854.14,1215.66219,0,0,874.16254
"9303","5am",101596.97,527.69564,0,0,0
"9304","5am",115903.15,230.55792,0,0,0
"9305","5am",80946.38,227.29392,0,0,0
"9306","5am",93371.11,73.51061,0,0,320.25413
"9307","5am",78751.14,0,0,0,0
"9308","5am",57296.52,1355.77396,0,0,0
"9309","5am",83803.4,2854.28391,0,0,594.82702
"9310","5am",101821.59,1066.47594,0,0,238.83629
"9311","5am",117023.09,1580.18367,492.65386,0,168.419
"9312","5am",158669.82,1705.37439,0,0,503.6882
"9402","5am",104270.95,150.18973,0,0,1383.13687
"9403","5am",110371.5,460.35617,0,0,0
"9404","5am",64514.82,1746.99126,0,0,0
"9405","5am",57040.05,6576.04278,0,0,458.27114
"9406","5am",74669.08,1602.54737,0,0,0
"9407","5am",107111.03,0,0,0,332.56483
"9408","5am",72869.88,480.74483,0,0,1152.15724
"9409","5am",138338.07,2010.34037,0,0,547.56638
"9410","5am",44529.39,0,0,0,492.25853
"9411","5am",47389.84,849.30821,0,0,268.3507
"9412","5am",33807.79,1239.85524,0,0,0
"9413","5am",55179.82,895.35712,0,0,0
"9414","5am",29774.59,0,0,0,370.11316
"9501","5am",72708.73,0,0,0,479.76414
"9502","5am",58965.67,1292.64713,0,0,0
"9503","5am",49287.85,305.35611,0,0,378.29466
"9504","5am",50232.76,0,0,0,132.08192
"9505","5am",54644.71,2276.9391,0,0,0
"9506","5am",49899.7,1322.62576,0,0,0
"9507","5am",69105.88,518.93071,0,0,0
"9508","5am",92292.41,694.6688,0,0,0
"9509","5am",62899.36,167.39449,0,0,527.35817
"9510","5am",74158.39,204.0441,0,0,467.13436
"9511","5am",77834.98,0,0,0,0
"9512","5am",70786.72,0,0,0,626.0234
"9513","5am",50813.42,413.92102,0,0,152.55653
"7501","6am",81995.34,3283.9773,0,0,334.87708
"7502","6am",131491.27,1257.4448,194.48272,0,1060.7151
"7503","6am",77667.72,2718.2438,0,0,1497.16723
"7504","6am",74753.66,2276.9352,0,0,3845.64493
"7505","6am",120161.5,0,0,0,2509.84923
"7506","6am",113100.69,2555.5686,0,0,1435.2376
"7507","6am",139392.2,3739.4858,0,0,1832.16277
"7508","6am",105468.9,2725.8913,0,0,1444.83993
"7509","6am",182314.16,2834.9943,99.40297,0,454.23289
"7510","6am",129748.4,2619.8338,0,0,0
"7511","6am",133897.01,2614.1132,0,0,0
"7512","6am",154128.96,976.4622,0,0,593.77231
"7513","6am",139810.91,2024.0172,0,0,675.03508
"7514","6am",145425.57,656.4842,0,0,1550.28621
"7701","6am",93076.5,5561.4379,87.21615,0,0
"7702","6am",108885.27,625.2201,301.0163,0,769.93501
"7703","6am",72420.46,5578.0685,0,0,797.35414
"7704","6am",67973.83,1272.7453,72.09649,0,457.78986
"7705","6am",44590.06,828.4982,595.66484,0,0
"7706","6am",44206.65,904.2782,0,0,92.56203
"7707","6am",49059.25,1348.0243,0,0,86.89713
"7708","6am",67096.65,749.7868,0,0,774.71047
"7709","6am",47391.03,3963.0258,0,0,0
"7710","6am",62431.87,1511.519,0,0,1190.98254
"7711","6am",75390.03,2716.2239,0,0,262.15094
"7712","6am",53107.57,579.7852,0,0,0
"7713","6am",27374.64,1127.9543,0,0,0
"7714","6am",64174.5,1500.5541,0,0,325.08203
"7715","6am",32883.03,469.03,0,0,0
"7716","6am",70607.68,2289.8186,0,0,161.07783
"7801","6am",75961.25,560.809,0,0,105.95148
"7802","6am",62635.83,324.1262,0,0,366.72681
"7803","6am",87652.67,1781.8301,0,0,546.58165
"7804","6am",44685.03,1376.6459,0,0,406.96367
"7805","6am",79695.71,287.0967,0,0,0
"7806","6am",77931.63,3424.7295,0,0,167.66988
"7807","6am",45416.44,489.329,0,0,191.68779
"7808","6am",53410.79,466.3332,0,0,157.02489
"7809","6am",60580.98,268.0451,0,0,289.70849
"7810","6am",23361.88,0,0,0,0
"7811","6am",74888.42,600.2332,0,0,1236.70196
"7812","6am",124622.24,448.954,0,0,1169.57742
"7813","6am",35839.2,1401.039,0,0,0
"7814","6am",22169.45,0,0,0,0
"7815","6am",33028.89,694.6898,0,0,1902.36243
"7816","6am",99724.86,1288.2942,0,0,234.32818
"9101","6am",55835.22,2333.557,0,0,296.34045
"9102","6am",44343.3,1115.9527,0,0,283.35454
"9103","6am",60696.81,242.0778,0,0,115.22525
"9104","6am",48596.62,517.88,0,0,204.32359
"9105","6am",72151.58,2649.8118,0,0,0
