"district","hour","cs1","cs2","cs3","cs4","cs5"
"9101","5am",10380.225,15504.635,11520.906,14523.058,4771.2963
"9102","5am",5841.222,11567.394,10790.393,14751.347,3960.6129
"9103","5am",8341.979,18454.382,12576.726,16031.351,6939.3389
"9104","5am",5179.678,9309.6,16365.662,13861.7,5032.3121
"9105","5am",8587.216,22550.3,17555.68,17709.669,9303.8051
"9106","5am",14528.184,27374.166,16607.376,14580.421,8555.971
"9107","5am",12204.722,18346.235,20380.344,25589.398,7708.6215
"9108","5am",7992.285,11935.038,12861.043,15141.361,7955.9036
"9109","5am",4045.795,18948.752,21361.038,14093.987,6994.1456
"9110","5am",12201.315,21193.296,13574.79,10305.199,2930.2079
"9111","5am",10511.964,15211.38,12801.207,11855.456,7790.4572
"9112","5am",5079.326,10089.756,11776.056,14245.206,6332.2002
"9113","5am",6005.58,14929.027,15854.763,25458.205,14193.1126
"9114","5am",5811.268,7887.397,4289.377,11707.715,11884.8455
"9201","5am",14681.723,24215.581,30146.308,26494.88,15060.2342
"9202","5am",10859.839,20033.873,19426.775,19178.262,10999.8583
"9203","5am",22640.186,23672.094,17617.971,35786.235,35689.1
"9204","5am",13862.541,14287.01,24693.8,16101.738,15261.9473
"9205","5am",5979.66,13933.679,20820.66,23460.025,32716.9217
"9206","5am",11122.58,18014.271,13351.082,26288.128,22984.7466
"9207","5am",13077.024,6200.546,14691.105,23349.483,25544.6082
"9208","5am",10327.766,9428.615,14835.847,26083.147,25757.6902
"9209","5am",12952.463,15481.318,28709.678,37374.353,30264.0337
"9210","5am",12379.116,18574.61,17573.26,30695.12,37139.2873
"9211","5am",9325.513,14576.106,20108.346,14671.252,12605.0724
"9212","5am",6971.4,14922.415,16139.066,19871.227,16408.1275
"9302","5am",4373.954,13347.565,15212.744,9557.918,3358.7459
"9303","5am",26541.253,29485.785,18146.438,18099.833,9466.0453
"9304","5am",20267.03,36419.845,25373.775,18635.126,12616.459
"9305","5am",15664.249,29418.088,15705.082,12799.284,6953.0392
"9306","5am",8084.581,23148.661,28008.503,22301.155,10764.4094
"9307","5am",24819.666,19555.446,16587.488,15055.055,2733.4895
"9308","5am",12796.413,22320.51,10543.676,8319.769,4320.3477
"9309","5am",19134.297,26943.24,20450.283,15388.859,5957.7487
"9310","5am",22926.122,35094.367,23592.593,16538.97,4714.2989
"9311","5am",30070.033,37503.707,28689.51,17257.24,5446.1383
"9312","5am",43552.84,52665.071,29592.262,23887.526,9192.6359
"9402","5am",14308.688,35538.295,18375.269,23861.68,11682.0461
"9403","5am",10631.226,29182.578,23718.397,27829.672,17887.7936
"9404","5am",9955.87,22930.659,14195.132,12958.374,5886.9425
"9405","5am",5577.656,13619.829,17420.87,20819.786,6319.1874
"9406","5am",12758.484,25120.211,15155.365,15033.708,7379.8831
"9407","5am",13260.429,24506.162,20960.561,28524.424,18407.3864
"9408","5am",6957.24,13245.723,13200.862,24816.6,15682.5964
"9409","5am",12208.911,20100.867,24659.448,44842.075,35861.3819
"9410","5am",7135.024,10018.491,13534.388,9550.912,4782.8351
"9411","5am",9884.4,13891.789,12985.44,7071.821,4022.2031
"9412","5am",5228.44,10130.757,6701.546,8134.067,4070.8211
"9413","5am",9723.678,18248.742,14525.469,9812.388,3589.2555
"9414","5am",4975.594,5728.155,7998.384,7978.226,3464.3427
"9501","5am",6969.815,18653.775,21396.941,19108.647,4921.4152
"9502","5am",10239.558,21237.826,10300.447,13749.26,4167.8531
"9503","5am",5981.319,17564.344,8109.07,14886.328,3430.4425
"9504","5am",6252.829,13070.979,12192.882,12456.815,6391.3397
"9505","5am",9340.961,16070.305,19391.148,9308.038,1898.8585
"9506","5am",12470.328,18987.095,10874.688,5693.345,3056.7117
"9507","5am",18550.209,30454.487,12647.192,5706.559,1452.8484
"9508","5am",23760.532,25543.927,26240.809,12010.798,5431.0129
"9509","5am",8873.245,15569.85,15498.364,20066.327,3586.3214
"9510","5am",9783.176,16065.672,21116.563,19425.299,7479.2897
"9511","5am",5298.209,15094.457,21294.682,23195.436,12518.5361
"9512","5am",10990.061,12303.856,19251.136,17602.546,10639.1178
"9513","5am",8893.53,13700.767,6032.032,16807.837,5945.7303
"7501","6am",1796.75,6100.41,14277.532,24577.465,34105.5491
"7502","6am",18087.941,9805.833,12877.642,32634.201,51968.3135
"7503","6am",8784.639,9164.636,10124.774,18930.946,31417.6451
"7504","6am",8206.794,10083.258,11411.38,23707.61,24824.8196
"7505","6am",12915.684,15855.184,15501.546,29784.541,41331.2324
"7506","6am",12021.038,13638.794,25175.044,21959.987,40452.1821
"7507","6am",15422.547,17384.722,27769.991,33581.692,45967.8914
"7508","6am",9630.552,8741.638,19866.753,26828.527,38616.4544
"7509","6am",20020.837,21935.475,21541.278,53585.688,55366.3574
"7510","6am",20861.294,13199.781,11931.194,36443.125,46028.3445
"7511","6am",18884.573,17069.789,13522.515,33384.026,48399.9453
"7512","6am",19757.81,30592.665,13197.006,43270.526,43532.5575
"7513","6am",27455.443,28657.91,24947.469,30765.865,28938.8947
"7514","6am",21845.963,21585.317,19808.943,43037.273,38801.7808
"7701","6am",7341.273,24491.96,34419.581,21351.308,9499.9698
"7702","6am",12962.4,28452.393,19252.153,37015.622,11579.8817
"7703","6am",8181.806,22380.698,24684.948,21004.313,3625.0542
"7704","6am",14997.243,20427.597,20482.523,10442.506,3426.5876
"7705","6am",2768.052,18069.916,13427.568,11294.016,454.6749
"7706","6am",7444.433,15046.495,11663.31,9789.969,1259.2819
"7707","6am",11386.575,15391.139,11608.11,9534.894,2462.3127
"7708","6am",5843.892,11754.64,20151.195,22745.154,8126.263
"7709","6am",7154.919,18519.389,14782.155,8470.782,2582.7441
"7710","6am",5419.578,22907.313,14743.667,15928.052,5943.3154
"7711","6am",7403.421,22072.177,30316.599,7061.328,11514.8788
"7712","6am",13596.308,13044.343,12126.977,11593.431,3326.2958
"7713","6am",5780.348,8590.048,6660.673,5464.027,1950.6103
"7714","6am",10926.285,14944.516,15945.577,15998.971,7865.7962
"7715","6am",6846.592,11905.965,7696.135,5017.853,1885.5192
"7716","6am",9840.009,20270.249,20986.755,15548.15,5739.8088
"7801","6am",4147.11,24225.685,11868.731,24735.062,11651.4269
"7802","6am",16254.001,2489.262,13495.014,19508.225,11393.1568
"7803","6am",10658.426,12712.8,25095.865,22868.55,17828.2247
"7804","6am",7865.235,9319.249,9710.889,13667.97,5905.2964
"7805","6am",13304.058,16504.912,20715.212,14935.797,14310.0559
"7806","6am",10933.357,27082.129,19654.627,17922.139,5430.3211
"7807","6am",12757.213,10630.232,11230.635,8400.234,2367.6137
"7808","6am",9142.496,15239.974,13528.342,12236.34,3886.9965
"7809","6am",9108.337,11554.826,16142.482,17579.557,6488.9969
"7810","6am",4019.699,4336.065,3466.577,9579.524,1960.0109
"7811","6am",9277.101,12646.908,11536.855,27867.177,15397.31
"7812","6am",19960.755,11839.529,21726.657,38879.284,31059.5454
"7813","6am",8996.904,5914.057,8633.536,7985.88,5612.3543
"7814","6am",3120.35,2273.817,6145.238,7169.621,3460.427
"7815","6am",6029.32,8117.554,8456.536,9674.175,3348.3534
"7816","6am",10741.163,21905.974,22284.235,27760.993,18208.5408
"9101","6am",10243.525,16352.08,11444.717,14523.058,4771.2963
"9102","6am",5671.916,11546.659,10132.691,14577.575,3960.6129
"9103","6am",8341.979,17888.091,12576.726,15307.983,6939.3389
"9104","6am",5179.678,9330.835,16183.745,13592.257,5032.3121
"9105","6am",8587.216,21917.862,17555.68,17436.833,9303.8051
"9106","6am",14528.184,26027.528,16607.376,14580.421,8198.2199
"9107","6am",11550.847,17745.025,20380.344,24892.745,7368.8493
"9108","6am",7992.285,11060.944,12724.381,15026.217,7955.9036
"9109","6am",4045.795,18266.984,21361.038,13727.227,6903.3176
"9110","6am",11969.93,20532.678,13166.844,9795.868,2930.2079
"9111","6am",10407.258,16291.181,12801.207,12126.595,7790.4572
"9112","6am",5079.326,10144.468,11659.91,13920.722,6332.2002
"9113","6am",5854.858,14318.783,15656.023,25458.205,14193.1126
"9114","6am",5811.268,7887.397,4289.377,11707.715,11884.8455
"9201","6am",14681.723,24781.995,29105.247,26761.762,15060.2342
"9202","6am",10859.839,18480.947,20535.825,18847.661,10999.8583
"9203","6am",21194.236,23753.652,17617.971,35786.235,35689.1
"9204","6am",13658.003,13492.146,24100.993,17219.711,15261.9473
"9205","6am",5979.66,13078.806,21638.519,23224.824,32716.9217
"9206","6am",11327.118,18315.664,13647.486,26288.128,22984.7466
"9207","6am",13077.024,6200.546,14835.053,22914.291,25544.6082
"9208","6am",10327.766,9901.542,14446.464,26083.147,25757.6902
"9209","6am",12952.463,15458.659,28709.678,37172.726,30264.0337
"9210","6am",12379.116,18833.401,17852.444,30695.12,36459.8146
"9211","6am",9325.513,14783.121,19864.946,14367.386,12605.0724
"9212","6am",6826.943,14922.415,15892.12,19871.227,16408.1275
"9302","6am",4409.664,12134.238,14494.551,9394.729,3358.7459
"9303","6am",26262.034,29502.612,18028.219,18099.833,9466.0453
"9304","6am",20267.03,36394.788,24689.936,18030.249,12616.459
"9305","6am",14929.679,27497.911,15744.294,12623.466,6953.0392
"9306","6am",7914.117,22929.112,27327.921,22301.155,10764.4094
"9307","6am",23889.183,18670.294,16267.415,14849.062,2733.4895
"9308","6am",13391.366,20476.053,10543.676,8319.769,4320.3477
"9309","6am",18980.04,26184.133,20584.684,15587.039,5957.7487
"9310","6am",22532.918,32397.134,24069.48,16538.97,4714.2989
"9311","6am",29645.738,34704.196,26947.568,17257.24,5446.1383
"9312","6am",42828.212,50298.151,28565.036,23419.853,9192.6359
"9402","6am",13127.644,34780.851,17856.153,22989.36,11682.0461
"9403","6am",10735.932,28678.992,23989.882,27414.683,17887.7936
"9404","6am",10245.794,22629.457,14603.079,12683.026,5886.9425
"9405","6am",5867.58,14634.854,17174.91,20819.786,6452.1011
"9406","6am",12178.637,24995.587,13594.743,14797.231,7153.8741
"9407","6am",13260.429,23254.016,21026.963,28910.934,18680.4732
"9408","6am",6957.24,12276.068,12775.364,24816.6,15682.5964
"9409","6am",12351.522,20152.668,24659.448,45078.552,35338.7905
"9410","6am",7135.024,9913.345,13190.045,9550.912,4782.8351
"9411","6am",9884.4,13687.316,12711.139,7071.821,4022.2031
"9412","6am",5061.327,10263.781,6330.607,8134.067,3937.9075
"9413","6am",9723.678,17901.059,14525.469,9424.613,3589.2555
"9414","6am",5265.053,5342.874,7784.559,7903.524,3464.3427
"9501","6am",6792.261,16815.257,20588.176,18734.096,4659.7146
"9502","6am",10239.558,21487.591,9896.186,13639.613,4167.8531
"9503","6am",5981.319,16542.419,8109.07,13978.702,3430.4425
"9504","6am",6252.829,12444.439,11542.417,12305.247,6391.3397
"9505","6am",9873.235,15954.384,19947.568,10033.408,1898.8585
"9506","6am",11554.481,19046.996,10874.688,5693.345,3056.7117
"9507","6am",18550.209,30199.992,12057.525,5896.258,1452.8484
"9508","6am",22957.338,24076.198,25133.961,12010.798,5431.0129
"9509","6am",8696.994,15426.122,14465.767,20066.327,3586.3214
"9510","6am",9960.73,16589.501,20862.005,19262.036,7479.2897
"9511","6am",5298.209,14757.655,21477.226,23195.436,12518.5361
"9512","6am",10990.061,11757.2,18176.32,17602.546,10366.031
"9513","6am",9297.901,13345.16,6032.032,16807.837,5945.7303
"7501","7am",1796.75,6462.954,15599.491,25339.808,33720.3857
"7502","7am",19282.775,13180.138,12492.748,32903.501,51379.8656
"7503","7am",9566.124,14384.018,13259.059,18638.469,31412.3343
"7504","7am",7593.503,13536.02,11543.562,24660.285,24561.9891
"7505","7am",12915.684,13957.591,14861.609,29472.686,41671.0046
"7506","7am",14753.017,16500.443,27669.014,22729.111,40279.6061
"7507","7am",15422.547,18798.024,28747.897,34581.241,46533.9024
"7508","7am",9799.325,9132.488,21095.152,26614.458,39467.1816
"7509","7am",20969.489,20784.592,20972.296,52929.896,55366.3574
"7510","7am",20861.294,16101.48,10861.419,35414.03,45472.8816
"7511","7am",19054.194,16716.636,13718.975,32642.189,48399.9453
"7512","7am",19444.009,31096.732,13693.542,41856.307,43047.1388
"7513","7am",26516.726,25002.004,24440.796,27516.677,28723.9676
"7514","7am",21914.664,20266.607,21484.536,42713.608,38431.5158
"7701","7am",7341.273,27982.312,31670.106,19904.034,8955.7503
"7702","7am",12962.4,27506.147,20421.078,36175.786,11294.7644
"7703","7am",7767.844,21142.418,22808.448,18683.002,3887.8847
"7704","7am",14254.59,19350.681,18109.871,9722.269,3426.5876
"7705","7am",2768.052,17802.321,11898.671,10181.906,454.6749
"7706","7am",6494.369,13741.957,11236.03,9157.265,1259.2819
"7707","7am",10592.173,13995.226,10906.578,9001.5,2229.6224
"7708","7am",6042.108,9052.924,17811.383,22256.756,6899.4822
"7709","7am",6277.184,16765.652,14182.047,7500.361,2582.7441
"7710","7am",5075.74,21304.387,14515.603,14918.331,5513.5584
"7711","7am",7356.028,21625.839,29907.148,6673.838,10625.9329
"7712","7am",13596.308,11639.224,11209.008,11040.272,3326.2958
"7713","7am",5604.922,7561.028,6343.002,4948.889,1856.9547
"7714","7am",10154.267,14443.475,15678.156,15387.524,7509.7108
"7715","7am",6527.359,11276.809,6445.298,4766.561,1813.219
"7716","7am",9489.446,17732.892,20146.562,14238.051,5739.8088
"7801","7am",4336.578,22196.865,11888.641,24102.141,11182.5069
"7802","7am",16254.001,2553.236,13445.316,17215.71,10419.85
"7803","7am",10658.426,11793.018,23539.464,22143.648,15849.9542
"7804","7am",7521.084,8783.313,8735.247,12874.556,5688.5581
"7805","7am",13378.212,17359.586,19541.16,13683.909,13721.2733
"7806","7am",10858.69,25318.392,18077.106,17433.379,5430.3211
"7807","7am",10755.652,9634.641,10022.058,8400.234,2225.0593
"7808","7am",8839.91,14437.936,12265.208,10590.945,2991.6267
"7809","7am",8160.524,11143.636,14413.179,16647.318,6020.1274
"7810","7am",3433.959,3781.663,2894.132,9187.048,1818.4055
"7811","7am",10211.018,10941.983,11083.233,27161.072,15222.7097
"7812","7am",18756.539,11701.041,21515.061,36732.345,30586.515
"7813","7am",8774.423,6182.481,8371.728,6778.807,5505.3717
"7814","7am",3069.488,2248.854,5969.739,6545.677,3361.478
"7815","7am",5450.277,7350.481,8265.782,8630.416,3348.3534
"7816","7am",11025.953,20339.627,23503.336,25859.463,17738.1281
"9101","7am",10104.246,16515.517,10451.927,14632.947,4567.2146
"9102","7am",6340.006,10580.17,9985.846,14753.826,3631.3524
"9103","7am",7935.557,15848.37,11663.771,13835.37,6939.3389
"9104","7am",5694.118,9398.352,14448.939,12287.277,5032.3121
"9105","7am",8561.418,21300.17,17070.934,17209.271,9142.3405
"9106","7am",13682.692,23298.699,15543.922,12500.634,7925.746
"9107","7am",10806.223,16747.432,18780.826,22936.24,6970.5219
"9108","7am",7894.2,9974.308,12932.715,13464.499,7692.6563
"9109","7am",3678.844,18332.133,19847.606,13201.734,7233.4567
"9110","7am",12012.3,19324.488,12540.265,8352.213,2930.2079
"9111","7am",9680.545,16837.155,12676.369,12530.964,7105.4534
"9112","7am",4355.072,9394.189,11395.704,12802.615,5741.508
"9113","7am",5545.522,14396.312,14206.88,24919.737,13744.4237
"9114","7am",5811.268,6882.377,3814.871,10933.851,11633.5553
"9201","7am",12546.424,25937.457,29500.484,26488.721,15818.9013
"9202","7am",10239.846,17527.163,20270.565,19995.297,10999.8583
"9203","7am",20849.531,24542.607,18942.492,36796.848,32975.9936
