"idsec";"ZONAGE_SEC"
"GRENOBLE_314";1
"MARSEILLE_098";1
"MARSEILLE_062";2
"CLERMONT FERRAND_209";1
"NANTES_122";2
"NICE_075";2
"SAINT ETIENNE_048";1
"MARSEILLE_137";1
"LYON_519";1
"GRENOBLE_203";1
"BORDEAUX_062";2
"SAINT ETIENNE_024";2
"MARSEILLE_103";1
"BEZIERS_115";2
"GRENOBLE_508";2
"BORDEAUX_078";2
"RENNES_031";2
"MONTPELLIER_052";1
"GRENOBLE_134";2
"RENNES_066";1
"BEZIERS_116";1
"NICE_039";2
"ANGERS_028";1
"CLERMONT FERRAND_217";2
"NANTES_224";1
"MONTPELLIER_062";1
"RENNES_075";1
"LYON_609";1
"QUIMPER_020";1
"NANTES_041";2
"NANTES_209";1
"STRASBOURG_003";1
"TOULOUSE_066";1
"SAINT ETIENNE_027";2
"LYON_502";2
"NANTES_105";2
"LYON_223";2
"MARSEILLE_126";2
"NANTES_217";2
"BORDEAUX_046";1
"BEZIERS_109";1
"ALBI_009";1
"NANTES_212";1
"ANGERS_027";1
"ANGOULEME_014";2
"QUIMPER_019";1
"MARSEILLE_105";1
"TOULOUSE_059";1
"VALENCIENNES_040";2
"LYON_503";2
"SAINT ETIENNE_029";1
"CAEN_229";1
"NANCY_128";2
"NANTES_134";1
"NICE_070";1
"VALENCIENNES_029";2
"NANCY_129";2
"MARSEILLE_086";2
"NANTES_131";2
"GRENOBLE_311";1
"RENNES_045";1
"ALBI_014";1
"GRENOBLE_123";2
"NICE_036";2
"LYON_303";1
"NANCY_114";2
"VALENCIENNES_026";2
"GRENOBLE_119";2
"ANGERS_023";1
"LYON_207";2
"SAINT ETIENNE_040";1
"CLERMONT FERRAND_129";1
"TOULOUSE_035";2
"MARSEILLE_117";1
"NANCY_153";1
"SAINT ETIENNE_019";1
"BEZIERS_110";1
"QUIMPER_004";2
"BEZIERS_124";1
"TOULOUSE_046";2
"SAINT ETIENNE_016";2
"NANTES_044";2
"MARSEILLE_055";2
"NANTES_045";2
"NANTES_103";2
"GRENOBLE_142";2
"NANTES_221";1
"LILLE_117";2
"STRASBOURG_051";2
"MONTPELLIER_048";1
"SAINT ETIENNE_041";1
"MARSEILLE_047";2
"CLERMONT FERRAND_207";1
"RENNES_029";1
"SAINT ETIENNE_038";1
"MONTPELLIER_054";1
"NANTES_229";1
"TOULOUSE_062";1
"TOULOUSE_044";2
"GRENOBLE_309";1
"ANGERS_022";1
"NANTES_225";1
"CLERMONT FERRAND_118";2
"RENNES_063";2
"NANCY_127";2
"BEZIERS_126";1
"LYON_708";1
"NANTES_206";1
"QUIMPER_022";2
"GRENOBLE_116";2
"MARSEILLE_128";1
"GRENOBLE_506";2
"MARSEILLE_048";1
"QUIMPER_028";1
"CLERMONT FERRAND_201";1
"GRENOBLE_401";1
"BEZIERS_118";2
"LYON_224";2
"MONTPELLIER_067";1
"NICE_044";2
"LYON_219";2
"RENNES_047";2
"TOULOUSE_039";2
"TOULOUSE_049";2
"NICE_078";2
"NANCY_156";2
"NANCY_119";2
"TOULOUSE_034";2
"VALENCIENNES_035";2
"BORDEAUX_072";2
"ANGERS_014";1
"BORDEAUX_038";2
"CLERMONT FERRAND_224";1
"GRENOBLE_403";1
"NANTES_230";1
"ANGERS_026";2
"RENNES_067";1
"MARSEILLE_131";1
"NANTES_121";2
"MARSEILLE_109";1
"TOULOUSE_061";1
"GRENOBLE_402";1
"LYON_216";2
"LYON_706";2
"MARSEILLE_053";2
"BEZIERS_121";1
"BORDEAUX_052";1
"MONTPELLIER_032";1
"NANTES_133";2
"MARSEILLE_045";2
"NICE_051";2
"QUIMPER_007";2
"LYON_516";1
"LYON_251";2
"LYON_615";2
"BORDEAUX_064";2
"CAEN_123";2
"NANTES_051";2
"MONTPELLIER_068";1
"GRENOBLE_204";2
"NANTES_219";1
"NANTES_037";2
"VALENCIENNES_030";2
"CAEN_129";2
"LILLE_156";2
"GRENOBLE_509";2
"GRENOBLE_517";1
"LYON_709";1
"CLERMONT FERRAND_112";2
"MARSEILLE_120";2
"VALENCIENNES_010";2
"MARSEILLE_110";2
"STRASBOURG_007";1
"LYON_246";2
"NANCY_142";1
"TOULOUSE_056";2
"NICE_063";2
"ANGERS_013";2
"VALENCIENNES_039";2
"NANTES_135";1
"STRASBOURG_010";2
"NANCY_136";2
"LA ROCHELLE_012";2
"NICE_091";2
"RENNES_032";2
"LILLE_129";2
"NANTES_034";2
"NANCY_132";1
"LYON_256";2
"NANTES_127";1
"RENNES_059";1
"LYON_405";1
"GRENOBLE_302";2
"LILLE_135";2
"NANTES_125";1
"MARSEILLE_066";2
"CLERMONT FERRAND_131";1
"GRENOBLE_505";2
"BORDEAUX_080";2
"BORDEAUX_058";2
"CAEN_226";2
"MONTPELLIER_046";2
"BORDEAUX_041";2
"NANTES_039";2
"CAEN_134";2
"GRENOBLE_504";2
"LYON_255";1
"GRENOBLE_137";2
"ANGERS_016";2
"VALENCIENNES_014";2
"MARSEILLE_064";1
"CLERMONT FERRAND_109";2
"NANTES_218";1
"GRENOBLE_310";1
"LA ROCHELLE_015";2
"MONTPELLIER_053";1
"NANTES_128";1
"MARSEILLE_059";2
"LILLE_130";2
"MARSEILLE_056";2
"GRENOBLE_602";2
"GRENOBLE_507";2
"LYON_222";2
"BEZIERS_113";1
"NANCY_143";1
"ANGERS_025";1
"LYON_221";2
"GRENOBLE_303";2
"CLERMONT FERRAND_211";1
"NICE_104";2
"VALENCIENNES_012";2
"LYON_228";2
"QUIMPER_023";1
"TOULOUSE_045";1
"ANGOULEME_009";2
"CAEN_132";1
"NANTES_110";2
"NANTES_200";1
"STRASBOURG_041";1
"STRASBOURG_044";1
"GRENOBLE_313";1
"NANTES_136";1
"NICE_103";1
"LILLE_137";2
"RENNES_044";1
"LYON_231";2
"ANGERS_024";1
"NANTES_129";1
"ANGOULEME_012";2
"TOULOUSE_047";2
"VALENCIENNES_006";2
"BORDEAUX_083";2
"NANTES_204";1
"NANCY_135";1
"GRENOBLE_118";2
"LYON_225";2
"LYON_210";2
"MARSEILLE_052";2
"NANTES_109";1
"LYON_215";2
"GRENOBLE_308";1
"SAINT ETIENNE_018";2
"MONTPELLIER_041";2
"BORDEAUX_042";2
"MONTPELLIER_040";2
"NANTES_108";1
"BEZIERS_112";1
"GRENOBLE_511";1
"RENNES_035";1
"LYON_306";1
"MONTPELLIER_058";2
"VALENCIENNES_025";2
"CLERMONT FERRAND_117";2
"LYON_602";1
"MARSEILLE_072";2
"SAINT ETIENNE_028";2
"MARSEILLE_057";2
"NICE_047";2
"CAEN_126";2
"GRENOBLE_307";1
"MARSEILLE_118";2
"NANTES_220";1
"MARSEILLE_104";1
"CAEN_131";1
"CLERMONT FERRAND_223";2
"MONTPELLIER_049";1
"LILLE_155";2
"TOULOUSE_065";1
"MARSEILLE_108";2
"LILLE_118";2
"MARSEILLE_078";2
"RENNES_030";2
"MONTPELLIER_063";1
"ALBI_013";2
"MONTPELLIER_057";2
"RENNES_023";1
"SAINT ETIENNE_049";1
"MARSEILLE_101";2
"MONTPELLIER_069";1
"ANGOULEME_007";2
"NANCY_134";1
"VALENCIENNES_038";1
"GRENOBLE_133";2
"LYON_137";2
"MARSEILLE_099";2
"MONTPELLIER_044";1
"NANTES_022";2
"NANTES_111";2
"NANCY_137";2
"MARSEILLE_080";1
"MONTPELLIER_056";2
"BORDEAUX_066";2
"SAINT ETIENNE_050";1
"NANCY_138";2
"NICE_092";2
"SAINT ETIENNE_042";1
"LYON_244";2
"MARSEILLE_070";2
"MARSEILLE_111";2
"ALBI_011";2
"RENNES_034";1
"NANCY_125";2
"MARSEILLE_075";2
"MONTPELLIER_050";1
"NANTES_120";2
"MARSEILLE_121";2
"STRASBOURG_038";2
"TOULOUSE_051";2
"SAINT ETIENNE_014";2
"TOULOUSE_030";2
"RENNES_026";1
"NANCY_131";2
"SAINT ETIENNE_032";1
"NICE_090";2
"MARSEILLE_127";2
"GRENOBLE_512";2
"QUIMPER_018";2
"MONTPELLIER_055";1
"CLERMONT FERRAND_215";1
"NICE_077";2
"LYON_237";1
"MARSEILLE_123";2
"GRENOBLE_312";1
"LYON_238";2
"RENNES_064";2
"GRENOBLE_139";2
"SAINT ETIENNE_013";2
"MARSEILLE_100";2
"NANCY_141";1
"MONTPELLIER_051";2
"MONTPELLIER_075";2
"NANTES_124";1
"NANTES_050";1
"ANGOULEME_015";1
"NANTES_043";2
"CLERMONT FERRAND_132";1
"NANCY_152";2
"RENNES_024";2
"CAEN_125";2
"CLERMONT FERRAND_110";2
"BORDEAUX_026";2
"NANCY_151";2
"LYON_248";2
"TOULOUSE_038";2
"MARSEILLE_116";2
"BORDEAUX_039";2
"LYON_616";2
"MARSEILLE_129";1
"NICE_058";2
"LILLE_136";2
"NANTES_228";2
"MONTPELLIER_042";2
"NICE_060";2
"ANGERS_015";2
"MARSEILLE_060";2
"LYON_245";2
"NANTES_210";2
"MARSEILLE_067";2
"VALENCIENNES_033";2
"BORDEAUX_035";2
"ALBI_015";2
"MARSEILLE_083";2
"LA ROCHELLE_019";2
"BEZIERS_120";1
"MONTPELLIER_043";2
"NANCY_115";2
"NICE_086";2
"GRENOBLE_305";1
"NANTES_107";2
"MARSEILLE_069";2
"BORDEAUX_079";2
"LYON_234";2
"MARSEILLE_113";2
"QUIMPER_024";2
"QUIMPER_003";2
"BEZIERS_114";1
"RENNES_037";2
"LILLE_128";2
"LYON_209";2
"LYON_236";2
"LYON_214";2
"LILLE_122";2
"VALENCIENNES_009";2
"LA ROCHELLE_018";2
"LYON_254";2
"GRENOBLE_513";2
"MARSEILLE_063";2
"QUIMPER_030";2
"MARSEILLE_077";2
"MARSEILLE_046";2
"RENNES_025";2
"LYON_509";2
"QUIMPER_009";2
"BORDEAUX_059";2
"NICE_094";2
"BORDEAUX_077";2
"BORDEAUX_081";2
"BORDEAUX_082";2
"BORDEAUX_044";2
"ANGOULEME_011";2
"BORDEAUX_050";2
"BORDEAUX_037";2
"ANGOULEME_008";2
"ANGOULEME_010";2
"LA ROCHELLE_013";2
"ALBI_012";2
"MONTPELLIER_060";2
"BEZIERS_123";2
"MONTPELLIER_065";1
"TOULOUSE_036";2
"MONTPELLIER_045";2
"TOULOUSE_033";2
"MONTPELLIER_037";2
"MONTPELLIER_071";2
"MONTPELLIER_036";2
"TOULOUSE_054";2
"MONTPELLIER_038";2
"MONTPELLIER_035";2
"MONTPELLIER_029";2
"MONTPELLIER_076";2
"MONTPELLIER_033";2
"TOULOUSE_032";2
"MONTPELLIER_047";2
"MONTPELLIER_039";2
"SAINT ETIENNE_020";2
"SAINT ETIENNE_025";2
"SAINT ETIENNE_044";1
"LYON_402";2
"GRENOBLE_514";2
"CLERMONT FERRAND_128";1
"GRENOBLE_902";1
"SAINT ETIENNE_030";1
"GRENOBLE_122";2
"SAINT ETIENNE_039";1
"SAINT ETIENNE_031";1
"SAINT ETIENNE_015";2
"GRENOBLE_143";1
"CLERMONT FERRAND_119";1
"LYON_250";2
"GRENOBLE_131";2
"CLERMONT FERRAND_220";2
"LYON_247";2
"SAINT ETIENNE_034";2
"CLERMONT FERRAND_115";1
"GRENOBLE_516";2
"GRENOBLE_519";1
"LYON_712";1
"LYON_241";2
"GRENOBLE_120";2
"GRENOBLE_141";2
"LYON_305";1
"LYON_302";1
"LYON_217";2
"CLERMONT FERRAND_218";2
"CLERMONT FERRAND_221";2
"NANCY_117";2
"NANCY_157";2
"NANCY_130";2
"STRASBOURG_050";2
"NANCY_124";2
"NANCY_121";2
"NANCY_163";2
"STRASBOURG_023";2
"STRASBOURG_021";2
"NANCY_126";2
"NANCY_123";2
"STRASBOURG_011";2
"STRASBOURG_014";2
"STRASBOURG_056";2
"STRASBOURG_062";2
"VALENCIENNES_032";2
"VALENCIENNES_021";2
"LILLE_116";2
"VALENCIENNES_037";2
"LILLE_152";2
"LILLE_157";2
"VALENCIENNES_008";2
"LILLE_145";2
"LILLE_139";2
"VALENCIENNES_024";2
"LILLE_147";2
"VALENCIENNES_036";2
"LILLE_120";2
"VALENCIENNES_016";2
"VALENCIENNES_018";2
"LILLE_123";2
"CAEN_119";2
"CAEN_223";2
"CAEN_122";2
"CAEN_133";2
"CAEN_219";2
"NANTES_047";2
"MARSEILLE_074";2
"MARSEILLE_049";2
"MARSEILLE_051";2
"MARSEILLE_133";2
"MARSEILLE_024";3
"MARSEILLE_034";3
"MARSEILLE_015";3
"NANTES_112";2
"NANTES_113";2
"NANTES_114";2
"NANTES_115";2
"NANTES_117";2
"NANTES_118";2
"NANTES_119";2
"LYON_202";2
"LYON_203";2
"LYON_204";2
"LYON_126";3
"LYON_127";3
