CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7514;120652.83809474;117690.761794403;110756.037509855;109677.544737885;107814.974147338;108923.174898695;111039.017548497;111425.66406366;112540.153103073;122429.296745549;125698.545807264;136679.744486839;139215.099072864;143478.28204535;147854.16615003;148314.869095346;148709.362994368;150836.958156639;148323.090146343;147951.333292459;145079.277003226;144442.809264182;132837.468710787;122719.902811777
7701;105749.514201922;107952.687264456;110373.078425849;110413.322215803;106316.910255849;110051.539773249;109485.134740231;101744.635100701;97376.5976800363;90457.1139349629;95199.0163517088;101285.958172939;99442.6600044247;101103.025254037;102654.806348019;101254.879143602;101076.043110197;101076.043110197;98689.723771177;100371.14785983;97104.0924914123;95753.1766754972;91869.6904040048;101302.13845866
7702;115393.24403266;114452.174850079;113845.924684254;112615.459240808;104540.866599829;110370.423577055;108923.19394623;103491.672647198;91325.1475626956;94778.5972858391;93806.4077494629;102548.984981932;107141.056207652;108886.149864263;109054.34274569;111083.655634314;110302.275837118;109922.567174675;111497.49658361;110900.06268663;109262.449685427;108360.176187941;101293.599989267;106100.543853291
7703;75786.4564478335;79807.6306875176;74608.1919009394;73705.8525599558;74290.9116344513;75852.6383261236;71091.5671533501;73637.7841213488;74959.5243213497;75785.0854101244;77695.7247985548;77215.5798828273;77489.8368704046;75752.7480922769;75439.9545204359;75740.3984939996;75866.6250263941;75742.1479510986;79402.1686680456;79250.3646750412;79876.8186083095;74289.5967020413;69655.1470996485;71753.7964225356
7704;64889.6548830711;65039.7854995589;64349.6137084945;63413.4084062757;61240.8263251624;62716.6551183759;65691.462583017;62659.7050626503;62131.9157583691;70284.7685202523;68048.994543835;68987.4633222141;69815.9240379535;70600.7355689275;70615.9181586516;70615.9181586516;70615.9181586516;70615.9181586516;71212.216416609;71282.2525008909;69776.4572576841;64863.9989283609;61806.7342929995;63857.4300046383
7705;32525.1228382715;32042.5618695876;30716.979088027;32705.8590045023;31979.5664881067;32463.1468447265;32152.806469104;31903.0144657324;35990.706116194;42251.8011796922;49874.5046586586;50526.0084067169;49350.0685734457;48231.5296487919;49346.0706294263;49710.7453421543;49710.7453421543;49710.7453421543;49651.6470206975;48799.9578551362;46014.2255640377;43105.6250373681;38821.7074809192;33000.8134443504
7706;35406.3101208852;34849.4837991112;34762.2046306189;33798.7676734858;33813.8701943519;34392.7425979546;34873.4682091846;36763.7068313887;39809.413122906;44568.6855831148;47352.1258991564;46945.9977147121;47728.6036936703;48084.4104103489;48129.3092456895;48350.1776140795;48662.5617183147;48785.001373846;47733.7222765246;46895.2143881407;45203.4885277205;41888.9025300978;39051.3653364153;36566.2090848857
7707;43825.7492361626;43018.7233827657;42928.7470509787;45080.1997939057;44805.280706748;42555.5460782454;42748.6173689498;42674.2059292412;44721.6896947879;47747.0714464467;48892.1162185457;52695.0100182189;52925.8625902624;52722.3268320319;53300.8452349059;53486.5777149234;53486.5777149234;53486.5777149234;52569.4376145528;51583.3410146578;50383.0313949;46725.0988907879;42551.7871214073;44876.8671173503
7708;47291.0767919095;45002.9287968412;43557.8590386381;44065.9293563944;47368.8327208788;45804.1614264133;45301.1334801648;49831.2493830417;60632.7457336122;65562.8044018506;67677.3272725254;69447.9440045614;73770.2338177307;75980.4907823767;75321.5355362863;76547.2607265205;76726.0967599255;76726.0967599255;72976.2266909754;72800.2750239935;68621.1440839468;62062.6528123318;53369.4968334151;45900.2017346667
7709;43464.6966208739;45520.018804864;44766.1273893604;43898.4553807663;41513.4917383176;43064.328808592;43851.6182461015;43356.5936503697;45320.2004089302;45488.8645536822;47836.6851183417;49829.3180087871;50614.7306155825;51588.2092978428;51588.2092978428;51588.2092978428;51908.2290350976;51708.2409568733;51535.100075813;51066.3626460536;51509.9880998107;47307.9882102993;44692.7800890525;44679.5317026858
