"IDH";"KREVI"
"013406";"7"
"013407";"5"
"013445";"6"
"013462";"9"
"012794";"5"
"013438";"8"
"001346";"1"
"013443";"6"
"001344";"5"
"001345";"3"
"014105";"5"
"016611";"4"
"013481";"8"
"013497";"1"
"013483";"7"
"013489";"8"
"013509";"4"
"013510";"1"
"013513";"2"
"013532";"2"
"013537";"9"
"001352";"1"
"013583";"9"
"013547";"6"
"013548";"1"
"013569";"9"
"001356";"4"
"001357";"3"
"013626";"5"
"013593";"2"
"013615";"7"
"013605";"5"
"013594";"1"
"013618";"7"
"013607";"5"
"013610";"7"
"001364";"2"
"001365";"1"
"021232";"8"
"P02930";"8"
"020806";"8"
"013644";"3"
"013647";"5"
"013648";"6"
"013668";"5"
"033020";"9"
"033586";"1"
"013689";"6"
"013685";"2"
"013687";"6"
"013682";"9"
"001376";"1"
"020273";"6"
"013724";"8"
"013761";"3"
"013762";"4"
"013776";"5"
"013777";"2"
"013792";"2"
"013794";"2"
"013803";"2"
"013804";"2"
"013802";"2"
"032040";"6"
"011905";"9"
"032263";"3"
"033298";"3"
"001383";"3"
"001384";"1"
"013815";"2"
"001382";"2"
"013832";"1"
"013842";"3"
"013845";"2"
"013896";"8"
"013897";"8"
"013883";"2"
"013848";"1"
"013843";"2"
"013844";"4"
"013881";"1"
"008071";"2"
"008072";"6"
"030443";"1"
"015142";"4"
"018358";"6"
"001393";"6"
"013923";"7"
"001394";"1"
"013944";"6"
"013920";"2"
"013921";"1"
"013958";"3"
"013959";"1"
"013966";"6"
"013957";"1"
"001396";"1"
"001397";"1"
"013997";"6"
"013999";"7"
"014001";"5"
"001403";"1"
"001400";"1"
"014056";"6"
"014074";"3"
"014087";"9"
"014061";"1"
"001407";"3"
"014045";"8"
"014064";"1"
"014053";"9"
"001411";"3"
"014127";"1"
"014128";"1"
"017556";"5"
"019567";"9"
"019569";"6"
"014131";"5"
"014156";"1"
"001414";"3"
"001415";"1"
"014157";"2"
"014142";"9"
"014140";"1"
"014168";"2"
"014169";"1"
"014172";"2"
"014205";"1"
"014180";"1"
"011422";"1"
"014178";"6"
"014179";"2"
"014196";"3"
"031714";"6"
"014192";"2"
"014193";"2"
"014207";"2"
"014209";"3"
"014214";"4"
"014212";"1"
"014216";"1"
"014030";"4"
"014227";"1"
"014228";"5"
"001422";"3"
"014220";"9"
"014221";"6"
"014258";"9"
"014251";"2"
"001427";"1"
"014249";"6"
"014272";"6"
"018702";"6"
"014245";"2"
"014266";"4"
"P05361";"6"
"011906";"4"
"014313";"1"
"014309";"4"
"001429";"3"
"001431";"2"
"014297";"3"
"014298";"2"
"001436";"1"
"014349";"2"
"014350";"2"
"014344";"3"
"001433";"2"
"014332";"4"
"014316";"3"
"001435";"5"
"014317";"4"
"014604";"5"
"014343";"9"
"014402";"2"
"014403";"7"
"018241";"9"
"015400";"6"
"001437";"1"
"014396";"2"
"014367";"1"
"014424";"3"
"014406";"1"
"014407";"1"
"014410";"3"
"014432";"1"
"014436";"1"
"014470";"3"
"014471";"2"
"014474";"7"
"014446";"3"
"014447";"2"
"014500";"2"
"010294";"5"
"010295";"4"
"010539";"6"
"014497";"2"
"001448";"4"
"014529";"6"
"014530";"3"
"014523";"1"
"014524";"1"
"014531";"2"
"001451";"1"
"001452";"1"
"014545";"5"
"014546";"5"
"017820";"5"
"015960";"8"
"014573";"9"
"014575";"7"
"014562";"2"
"001456";"1"
"014607";"3"
"014580";"9"
"014601";"3"
"014602";"3"
"014599";"2"
"011560";"7"
"011561";"1"
"012176";"6"
"014594";"3"
"001459";"2"
"014610";"1"
"014618";"5"
"001462";"3"
"014667";"3"
"014669";"2"
"014673";"2"
"001466";"1"
"001467";"1"
"P02922";"3"
"014644";"5"
"014660";"9"
"014694";"2"
"031985";"5"
"014697";"1"
"001468";"1"
"001469";"1"
"014692";"2"
"014675";"3"
"008151";"6"
"010711";"5"
"015709";"9"
"014557";"4"
"021253";"8"
"014733";"1"
"014737";"7"
"021254";"7"
"014795";"2"
"032105";"2"
"014756";"2"
"014788";"3"
"014796";"1"
"014766";"6"
"018252";"6"
"010245";"7"
"014126";"9"
"014800";"9"
"001480";"2"
"014803";"2"
"011562";"7"
"014847";"3"
"014859";"7"
"014844";"2"
"014849";"3"
"014880";"1"
"014874";"1"
"P07461";"2"
"012510";"1"
"014877";"2"
"014891";"1"
"014896";"9"
"014925";"1"
"014919";"1"
"014936";"5"
"001491";"2"
"019568";"3"
"014929";"1"
"014909";"1"
"014912";"1"
"017599";"7"
"021775";"3"
"014971";"1"
"014973";"1"
"014966";"2"
"014964";"3"
"014965";"1"
"014959";"7"
"013465";"4"
"013518";"6"
"014999";"1"
"015000";"2"
"015019";"2"
"015020";"2"
"001506";"4"
"011775";"5"
"015048";"1"
"015052";"1"
"015058";"6"
"015043";"1"
"015042";"1"
"015086";"2"
"015087";"3"
"031388";"5"
"031716";"1"
"015085";"5"
"015089";"1"
"015072";"1"
"015073";"1"
"015075";"1"
"015091";"2"
"015138";"8"
"015137";"5"
"015124";"2"
"015113";"2"
"016455";"7"
"015133";"5"
"015130";"5"
"015139";"6"
"015149";"9"
"032159";"9"
"015156";"2"
"032222";"5"
"011072";"3"
"015141";"7"
"001517";"1"
"P04777";"7"
"031902";"2"
"015197";"2"
"020442";"5"
"032346";"8"
"015207";"2"
"015210";"1"
"015199";"3"
"015181";"6"
"015223";"6"
"015248";"7"
"015232";"1"
"015235";"1"
"015221";"2"
"015220";"3"
"015279";"2"
"015754";"6"
"013534";"8"
"016423";"6"
"001530";"3"
"017598";"3"
"P01960";"7"
"009628";"5"
"015324";"2"
"015307";"4"
"015323";"1"
"015348";"2"
"015369";"5"
"015361";"2"
"015352";"2"
"015353";"5"
"015356";"2"
"032416";"9"
"032634";"7"
"P02925";"2"
"P02647";"1"
"014645";"8"
"015240";"4"
"018074";"5"
"014945";"5"
"015160";"8"
"015410";"1"
"001541";"3"
"015424";"9"
"015434";"1"
"015451";"7"
"015452";"9"
"015449";"7"
"015462";"6"
"001546";"2"
"001547";"2"
"001545";"2"
"015464";"1"
"011719";"4"
"030631";"6"
"001551";"1"
"015493";"1"
"019177";"6"
"012563";"2"
"012550";"6"
"012564";"6"
"015498";"1"
"015485";"3"
"015486";"5"
"033584";"9"
"014355";"7"
"015482";"1"
"015494";"4"
"015543";"1"
"015513";"4"
"015514";"6"
"015515";"6"
"015200";"6"
"017823";"8"
"019368";"2"
"015252";"4"
"P00936";"1"
"011409";"1"
"011410";"2"
"015599";"6"
"013345";"5"
"017841";"7"
"015594";"1"
"015602";"8"
"011134";"8"
"016592";"7"
"016090";"7"
"015645";"7"
"015653";"4"
"015654";"2"
"031303";"1"
"031314";"1"
"015677";"2"
"015679";"1"
"015675";"4"
"032160";"7"
"009538";"3"
"P04778";"7"
"015729";"2"
"015730";"2"
"015738";"1"
"015723";"1"
"015728";"5"
"015715";"1"
"008075";"5"
"015722";"2"
"015763";"4"
"015788";"9"
"015750";"2"
"015752";"1"
"015774";"2"
"P03909";"6"
"P03910";"2"
"015792";"1"
"015770";"1"
"015756";"2"
"019366";"6"
"018715";"9"
"018717";"9"
"001581";"2"
"015794";"1"
"015813";"6"
"P01621";"1"
"003187";"1"
"002575";"1"
"018152";"3"
"015868";"1"
"001584";"2"
"001585";"2"
"001586";"1"
"015847";"5"
"015848";"2"
"015159";"5"
"015161";"6"
"015909";"1"
"015876";"7"
"015877";"1"
"015889";"9"
"015879";"3"
"015881";"5"
"015898";"4"
"015946";"3"
"015947";"7"
"015959";"9"
"015957";"7"
"018683";"7"
"015973";"2"
"015966";"1"
"015954";"3"
"015956";"1"
"001599";"2"
"015969";"1"
"001602";"4"
"016023";"3"
"015999";"4"
"016033";"1"
"001601";"1"
"016021";"8"
"016061";"4"
"016062";"5"
"018243";"9"
"018359";"8"
"016063";"2"
"016059";"1"
"016067";"1"
"016074";"1"
"001606";"1"
"017738";"3"
"021763";"5"
"020026";"6"
"017728";"4"
"016080";"2"
"016100";"1"
"016102";"1"
"016103";"1"
"016117";"1"
"008737";"5"
"P03107";"9"
"016969";"9"
"016134";"6"
"016131";"1"
"016132";"1"
"016105";"2"
"016119";"5"
"016133";"4"
"P03106";"5"
"001614";"1"
"020441";"6"
"016140";"9"
"016151";"1"
"016164";"1"
"001618";"3"
"016967";"5"
"020272";"2"
"016187";"8"
"001619";"1"
"016211";"7"
"016205";"1"
"016213";"5"
"016195";"4"
"016197";"3"
"032268";"5"
"016204";"3"
"032826";"6"
"016227";"5"
"016243";"3"
"016244";"3"
"016229";"1"
"016232";"3"
"032855";"6"
"016238";"2"
"016246";"6"
"P01405";"6"
"010712";"7"
"016247";"6"
"016250";"4"
"016259";"4"
"016277";"1"
"016278";"1"
"016260";"3"
"016258";"1"
"001630";"2"
"016295";"4"
"016298";"1"
"016301";"4"
"016284";"2"
"016288";"2"
"016279";"1"
"016280";"2"
"016281";"1"
"001628";"1"
"016282";"2"
"016326";"8"
"018073";"9"
"008735";"6"
"016310";"7"
"016315";"3"
"016341";"3"
"016334";"4"
"016322";"2"
"002368";"1"
"003173";"5"
"001633";"1"
"001634";"3"
"016345";"1"
"016363";"9"
"001636";"1"
"016353";"9"
"016349";"1"
"016350";"1"
"016355";"6"
"016356";"5"
"016368";"1"
"016398";"1"
"016374";"5"
"001637";"1"
"001638";"1"
"019178";"9"
"017819";"8"
"012531";"5"
"018218";"7"
"018714";"7"
"018356";"5"
"016413";"6"
"016435";"1"
"001644";"3"
"016444";"4"
"016445";"5"
"008152";"8"
"016466";"2"
"016467";"6"
"016473";"1"
"016480";"1"
"016482";"7"
"015768";"6"
"016491";"5"
"016481";"1"
"016492";"4"
"016493";"3"
"016525";"2"
"016536";"7"
"016537";"2"
"016538";"8"
"014215";"7"
"015622";"8"
"015741";"7"
"016546";"1"
"016547";"4"
"003184";"4"
"001655";"2"
"001656";"3"
"016552";"6"
"016567";"1"
"017532";"6"
"017424";"7"
"018360";"5"
"015766";"7"
"019367";"5"
"018075";"9"
"P05610";"6"
"016528";"8"
"016595";"2"
"016600";"5"
"016593";"3"
"016586";"1"
"016605";"1"
"016628";"3"
"001663";"2"
"016625";"1"
"001973";"1"
"001974";"2"
"017535";"6"
"002590";"2"
"002311";"2"
"016658";"7"
"016659";"7"
"016643";"2"
"016644";"3"
"016674";"9"
"012551";"9"
"015402";"7"
"012532";"4"
"016678";"4"
"016693";"8"
"006066";"2"
"003509";"2"
"001647";"1"
"002369";"1"
"002504";"2"
"004975";"1"
"001972";"1"
"P01623";"2"
"P05588";"6"
"019182";"9"
"016712";"6"
"016707";"6"
"016708";"2"
"016713";"1"
"016714";"1"
"003180";"1"
"003183";"1"
"001975";"1"
"016724";"8"
"016741";"6"
"017423";"8"
"017288";"6"
"020275";"2"
"018067";"8"
"001675";"5"
"P04109";"2"
"007103";"2"
"003083";"2"
"006079";"1"
"001823";"1"
"018157";"3"
"006927";"3"
"012333";"7"
"012567";"6"
"018242";"9"
"003028";"1"
"008489";"1"
"002405";"2"
"016798";"1"
"006067";"8"
"P04107";"1"
"003243";"4"
"001677";"3"
"016815";"5"
"016812";"3"
"016811";"1"
"016800";"1"
"P04106";"1"
"031266";"3"
"016816";"2"
"016817";"3"
"012533";"8"
"016833";"8"
"019606";"2"
"008240";"1"
"006926";"3"
"016852";"5"
"016847";"2"
"016853";"3"
"012805";"1"
"001789";"2"
"016909";"6"
"020993";"6"
"016907";"5"
"016904";"6"
"016902";"2"
"016906";"1"
"001992";"6"
"001598";"1"
"003181";"7"
"001689";"3"
"016933";"1"
"001259";"2"
"001260";"5"
"001265";"2"
"016918";"8"
"003520";"2"
"003592";"2"
"002079";"1"
"002117";"2"
"P07839";"1"
"003508";"1"
"003594";"2"
"005613";"2"
"005804";"3"
"000590";"1"
"009927";"1"
"016947";"9"
"016948";"7"
"006856";"4"
"006857";"2"
"004949";"1"
"004951";"1"
"016970";"2"
"001698";"2"
"016580";"1"
"016597";"2"
"019336";"1"
"016994";"6"
"003082";"4"
"003188";"5"
"018240";"2"
"017042";"1"
"017044";"2"
"021145";"1"
"017024";"8"
"017028";"9"
"001702";"6"
"017020";"1"
"017038";"1"
"017079";"1"
"017080";"1"
"017068";"9"
"021784";"5"
"017082";"3"
"017074";"4"
"017081";"2"
"001708";"4"
"017112";"8"
"017116";"9"
"019352";"1"
"019533";"1"
"017083";"1"
"017087";"2"
"004510";"7"
"017101";"2"
"017604";"1"
"017103";"5"
"021794";"5"
"017137";"2"
"017151";"1"
"017152";"6"
"001714";"2"
"017125";"4"
"017128";"1"
"017139";"2"
"017126";"4"
"017142";"1"
"017143";"1"
"017163";"1"
"021783";"3"
"019356";"3"
"017171";"9"
"017175";"2"
"017156";"1"
"017157";"2"
"017165";"4"
"017179";"1"
"017176";"1"
"017167";"1"
"001718";"2"
"019168";"2"
"021785";"3"
"013946";"8"
"011825";"3"
"017189";"2"
"017208";"2"
"001719";"2"
"P08657";"6"
"018940";"8"
"017229";"1"
"017231";"1"
"017232";"1"
"017242";"1"
"017228";"2"
"017267";"6"
"034288";"7"
"034510";"7"
"017255";"2"
"017278";"9"
"018941";"9"
"034509";"7"
"016748";"5"
"018228";"1"
"017296";"4"
"017289";"2"
"017297";"4"
"017290";"9"
"011939";"1"
"033120";"2"
"016915";"9"
"P08039";"7"
"017345";"2"
"017326";"5"
"017327";"5"
"017361";"1"
"017358";"7"
"011235";"8"
"016094";"9"
"017412";"7"
"017410";"6"
"017379";"1"
"017382";"7"
"017414";"3"
"017409";"1"
"017401";"6"
"017383";"2"
"010305";"7"
"010306";"9"
"017442";"3"
"017428";"8"
"017427";"4"
"019117";"9"
"017411";"1"
"017455";"7"
"017457";"2"
"017453";"1"
"017495";"5"
"013947";"2"
"014469";"3"
"017505";"9"
"017480";"1"
"017479";"5"
"010344";"5"
"016569";"3"
"009124";"5"
"017515";"1"
"017523";"3"
"017512";"6"
"001753";"1"
"017541";"2"
"017531";"2"
"P04013";"9"
"006438";"1"
"006439";"6"
"010345";"4"
"008871";"2"
"001755";"1"
"001756";"2"
"017550";"2"
"017554";"5"
"017567";"7"
"017561";"1"
"016311";"1"
"016571";"2"
"P05926";"3"
"P07208";"2"
"006716";"5"
"006717";"1"
"P07209";"6"
"001758";"4"
"001759";"4"
"017594";"1"
"017593";"2"
"017574";"9"
"017596";"1"
"017629";"2"
"015764";"2"
"032151";"2"
"003085";"5"
"032150";"1"
"003878";"4"
"017625";"4"
"017626";"2"
"017615";"8"
"017627";"5"
"017616";"4"
