"district","hour","occ1","occ2","occ3","occ4","occ5"
"079","5am",5461.328,876.88887,252.9875,3451.7305,531.13851
"080","5am",3266.078,550.25037,624.6781,2488.6317,528.79617
"001","6am",2077.667,2866.51558,853.2927,424.4215,69.27096
"002","6am",1303.065,1329.31882,477.851,554.0088,192.13476
"003","6am",6150.266,2711.53418,1189.4617,1963.9985,578.47307
"004","6am",2029.077,934.00422,510.1996,1112.1509,533.68949
"005","6am",2192.926,1509.3817,547.1397,980.0341,196.41696
"006","6am",3844.254,4522.75176,989.5717,1547.7549,477.12812
"007","6am",3458.361,1731.27343,608.1767,1372.0771,448.14837
"008","6am",1322.849,311.83952,254.5353,1038.4567,236.44323
"009","6am",4412.723,1654.78866,890.5066,2095.4794,262.98253
"010","6am",2986.722,700.49864,570.2257,1357.596,133.44286
"011","6am",3903.081,584.56612,943.4406,1641.3258,522.83013
"012","6am",3365.964,766.20899,927.0419,2930.4552,465.53475
"013","6am",4233.759,629.38924,732.7219,1300.6214,462.07574
"014","6am",5266.085,1250.86595,946.4617,2459.5874,568.19002
"015","6am",2201.383,462.10652,449.3473,1310.5232,208.13689
"016","6am",2903.456,620.70397,169.5358,1537.9053,116.56799
"017","6am",2867.512,1284.86322,511.7027,1812.1486,615.83493
"018","6am",3813.261,1927.97858,2003.4597,1923.3596,1054.6672
"019","6am",2579.982,617.53841,835.9359,1030.6,754.0838
"020","6am",1607.183,906.32412,1409.175,1014.2654,1325.66898
"021","6am",2044.404,1418.12693,689.6932,903.2241,246.20209
"022","6am",3981.763,9865.26791,638.1721,1208.7119,193.08542
"023","6am",3694.6,1404.51875,566.1484,525.1897,334.90062
"024","6am",1870.169,500.75729,1433.5095,1216.8039,915.6191
"025","6am",2256.257,4347.79968,346.6177,512.6233,120.48687
"026","6am",3728.925,2243.37909,322.887,1311.7314,236.03751
"027","6am",3717.482,531.14474,418.6548,1233.0031,248.99163
"028","6am",5058.341,2443.06682,722.0626,1133.1176,53.56276
"029","6am",3529.646,729.83834,566.1291,1825.2813,287.19394
"030","6am",1929.616,696.62276,300.9818,1454.4669,287.66643
"031","6am",4399.956,448.33244,400.4112,2274.0775,546.36876
"032","6am",3937.864,464.74777,733.7515,1835.6838,579.57375
"033","6am",5566.542,930.36918,760.3077,2856.1759,279.36979
"034","6am",1160.833,78.46962,229.9273,707.9915,188.83958
"035","6am",4199.792,658.45543,510.0343,1994.1218,40.64422
"036","6am",3353.195,783.35856,176.0372,1857.8271,341.88115
"037","6am",4689.553,521.29513,532.9686,2015.6819,610.47205
"038","6am",2862.219,353.44202,239.2111,1916.7081,236.99935
"039","6am",2565.578,669.45735,458.8212,1060.5252,243.66144
"040","6am",4746.461,1581.18199,978.7912,3164.8241,472.9933
"041","6am",2949.256,676.98927,258.4361,1575.4307,290.16457
"042","6am",1857.716,422.69002,286.8148,864.527,203.31725
"043","6am",3458.743,482.15512,358.146,2095.4282,380.81613
"044","6am",1889.486,311.16616,324.8392,1808.226,160.91679
"045","6am",3213.467,501.42458,585.6474,1532.9292,135.84465
"046","6am",2930.166,670.28172,496.6503,1585.4072,97.57956
"047","6am",3698.927,424.76854,470.2202,1632.1867,267.1309
"048","6am",2605.637,587.01602,619.0142,1327.1725,157.48689
"049","6am",2543.248,367.84567,620.219,1263.3911,363.58402
"050","6am",1897.184,99.34684,293.7522,602.2102,148.93746
"051","6am",1605.975,390.38202,0,1036.1452,159.24617
"052","6am",3303.481,324.47342,114.5999,1424.9706,239.811
"053","6am",3413.621,399.73634,604.8443,1909.8898,621.08429
