"district","hour","occ1","occ2","occ3","occ4","occ5"
"077","5am",48.53506,1.758024,10.281579,34.22718,5.1981534
"078","5am",47.60954,6.82199,9.850769,28.705523,7.0121781
"079","5am",51.64829,8.29282,2.392527,32.643339,5.0230267
"080","5am",43.7904,7.377559,8.375459,33.366678,7.0899087
"001","6am",33.02514,45.564129,13.563345,6.746307,1.1010828
"002","6am",33.78987,34.47065,12.391185,14.366036,4.9822585
"003","6am",48.83592,21.530821,9.444869,15.595045,4.5933405
"004","6am",39.63722,18.245401,9.966546,21.725426,10.4254119
"005","6am",40.4159,27.818099,10.083855,18.062154,3.6199898
"006","6am",33.77645,39.737886,8.694593,13.598914,4.192152
"007","6am",45.39702,22.725978,7.983378,18.010901,5.8827276
"008","6am",41.80776,9.855477,8.044416,32.819721,7.4726283
"009","6am",47.3647,17.761951,9.558401,22.49218,2.822767
"010","6am",51.95668,12.185795,9.919582,23.616586,2.3213569
"011","6am",51.38849,7.696477,12.421466,21.609917,6.8836522
"012","6am",39.80937,9.06198,10.964157,34.658595,5.5058956
"013","6am",57.5351,8.553149,9.957398,17.674927,6.2794253
"014","6am",50.1953,11.923014,9.02149,23.444314,5.4158779
"015","6am",47.5307,9.977476,9.701989,28.295887,4.4939441
"016","6am",54.28879,11.605914,3.169977,28.755733,2.1795867
"017","6am",40.4327,18.116921,7.215147,25.551789,8.6834401
"018","6am",35.56242,17.980303,18.684239,17.937226,9.8358125
"019","6am",44.34376,10.614017,14.367751,17.713563,12.9609078
"020","6am",25.66312,14.471972,22.501378,16.195553,21.1679726
"021","6am",38.56165,26.748784,13.00903,17.036659,4.6438766
"022","6am",25.06303,62.096479,4.016945,7.608182,1.2153674
"023","6am",56.61912,21.524014,8.676129,8.048444,5.1322958
"024","6am",31.50098,8.434718,24.145926,20.495754,15.4226196
"025","6am",29.75107,57.330209,4.570511,6.759466,1.5887433
"026","6am",47.54487,28.603731,4.116903,16.724954,3.0095464
"027","6am",60.45397,8.637517,6.808197,20.051192,4.0491211
"028","6am",53.75409,25.962036,7.673231,12.041439,0.5692019
"029","6am",50.87346,10.5193,8.159727,26.308129,4.1393812
"030","6am",41.32511,14.91904,6.445899,31.149213,6.1607334
"031","6am",54.52815,5.556133,4.96225,28.182382,6.7710857
"032","6am",52.14594,6.154278,9.716476,24.308474,7.6748258
"033","6am",53.56171,8.952085,7.31574,27.482348,2.688118
"034","6am",49.06184,3.316466,9.717726,29.92279,7.9811792
"035","6am",56.73058,8.894383,6.889518,26.936498,0.5490201
"036","6am",51.49019,12.02891,2.70315,28.527977,5.2497769
"037","6am",56.02831,6.22816,6.367628,24.082305,7.2935984
"038","6am",51.03287,6.301809,4.265093,34.17457,4.2256569
"039","6am",51.33165,13.39439,9.180017,21.21881,4.8751371
"040","6am",43.36944,14.447603,8.943427,28.917685,4.3218424
"041","6am",51.28894,11.77316,4.494324,27.397475,5.0460974
"042","6am",51.10544,11.628129,7.890225,23.782987,5.593222
"043","6am",51.04938,7.116378,5.286063,30.927513,5.6206631
"044","6am",42.03871,6.923059,7.227267,40.230771,3.5801977
"045","6am",53.83312,8.400038,9.810969,25.680161,2.2757167
"046","6am",50.69417,11.5964,8.59244,27.428788,1.688203
"047","6am",56.96587,6.54171,7.241695,25.136732,4.1139888
"048","6am",49.19707,11.083455,11.687613,25.058355,2.9735114
"049","6am",49.30411,7.131158,12.023738,24.492449,7.0485404
"050","6am",62.37801,3.266451,9.658356,19.800228,4.8969544
"051","6am",50.31647,12.230976,0,32.463245,4.9893079
"052","6am",61.09258,6.000615,2.119341,26.352544,4.4349196
"053","6am",49.12268,5.752284,8.703827,27.483686,8.9375241
"054","6am",55.07686,13.587643,3.625303,22.572716,5.1374823
"055","6am",56.6863,6.528838,6.464683,24.172933,6.1472508
"056","6am",33.24379,4.945531,7.936234,49.239936,4.6345084
"057","6am",52.86492,11.593453,3.390718,25.731003,6.4199082
"058","6am",52.01899,8.916754,6.620917,27.636876,4.8064636
"059","6am",39.50172,5.372688,10.092791,34.896325,10.1364784
"060","6am",52.86706,7.552973,13.339896,20.317518,5.9225512
"061","6am",48.42867,8.824114,6.287104,25.125654,11.3344581
"062","6am",56.86441,5.606284,9.097818,22.949091,5.4824012
"063","6am",61.75635,6.743436,4.060897,24.801697,2.6376177
"064","6am",54.18032,5.695746,3.133974,31.209359,5.7806045
"065","6am",52.05034,7.791898,5.407878,30.311921,4.4379619
"066","6am",44.98821,7.593309,11.112734,26.920056,9.3856904
"067","6am",57.22404,4.856495,7.887667,22.302046,7.729749
"068","6am",46.55231,5.983072,13.172635,28.658747,5.633239
"069","6am",59.87027,3.790818,5.838072,26.749618,3.751219
"070","6am",54.88196,5.148634,7.872473,27.568792,4.5281394
"071","6am",47.90244,3.286986,9.382587,26.87565,12.5523327
"072","6am",46.90413,5.650767,10.633761,29.187553,7.6237909
"073","6am",35.91017,4.358882,14.399869,35.293198,10.0378824
"074","6am",33.45838,2.89893,15.455472,35.204294,12.9829247
"075","6am",34.31792,7.607195,13.765588,33.962088,10.3472129
"076","6am",27.67985,2.569636,17.292388,45.974627,6.4834982
"077","6am",46.69632,1.820835,10.64892,35.450051,5.3838734
"078","6am",45.80012,7.057602,10.190986,29.69693,7.2543588
"079","6am",52.05325,8.325454,2.401942,32.176566,5.042793
"080","6am",40.19297,7.849725,8.911491,35.502154,7.5436648
"001","7am",32.77569,48.735955,11.49927,6.008434,0.9806526
"002","7am",36.55764,30.340949,12.922889,14.98248,5.1960465
"003","7am",49.71783,21.418905,9.199452,15.189821,4.4739865
"004","7am",42.04538,15.205446,10.425612,22.258281,10.065284
"005","7am",36.31719,32.468529,9.908716,17.748445,3.5571168
"006","7am",32.49102,40.108307,8.601647,14.651689,4.1473374
"007","7am",47.9035,16.900451,9.359015,19.725889,6.1111474
"008","7am",34.84577,8.923682,10.582192,37.182402,8.4659546
"009","7am",43.28655,29.213554,7.833783,17.473227,2.1928889
"010","7am",53.89081,8.00297,9.85053,25.726906,2.5287876
"011","7am",53.11759,5.756219,13.538042,20.771656,6.8164882
"012","7am",38.91058,3.694214,12.20542,39.060563,6.1292235
"013","7am",56.35692,8.228453,10.589014,18.147874,6.6777406
"014","7am",44.94657,5.530135,11.522378,30.583034,7.4178797
"015","7am",43.76255,7.476874,10.587005,32.679384,5.4941887
"016","7am",51.44258,7.677247,4.622637,33.702964,2.55457
"017","7am",34.46313,27.208153,7.183274,23.245699,7.8997458
"018","7am",39.30008,11.762681,19.405438,19.073123,10.4586775
"019","7am",40.04562,20.360082,12.263196,16.268679,11.0624233
"020","7am",30.8922,4.050456,23.999668,17.796817,23.2608627
"021","7am",37.61815,21.672976,15.266347,19.992848,5.4496788
"022","7am",31.50116,55.364659,3.511771,8.042428,1.5799797
"023","7am",53.81686,26.369137,7.950455,7.450746,4.4127997
"024","7am",33.42,7.337069,24.074868,20.286065,14.8819981
"025","7am",20.22451,71.095535,3.555746,4.155382,0.9688237
"026","7am",49.00351,23.228764,4.953636,19.192873,3.6212165
"027","7am",67.03812,6.34667,5.862515,17.266011,3.4866841
"028","7am",57.91015,23.208039,7.354433,10.981822,0.5455535
"029","7am",55.40904,8.436814,7.983825,24.120173,4.0501473
"030","7am",45.28531,12.598276,5.135427,31.111712,5.8692794
"031","7am",50.90712,1.711918,5.85099,33.546181,7.983789
"032","7am",59.15716,2.969718,8.990196,21.781773,7.1011531
"033","7am",48.89785,13.390039,6.848145,28.114058,2.7499072
"034","7am",54.07032,2.444156,8.873695,27.323853,7.2879757
"035","7am",62.56299,6.645227,5.485675,24.802727,0.5033763
"036","7am",47.41728,12.630976,2.960331,31.242169,5.7492479
"037","7am",55.58214,4.339758,6.761489,25.571881,7.7447335
"038","7am",41.29945,6.081637,4.579951,42.579246,5.4597115
"039","7am",46.46305,14.04517,9.849317,23.988621,5.6538443
"040","7am",41.82998,13.196443,9.129082,31.091997,4.7524983
