CODE_SECT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7802;15884.4486679924;13386.9660634881;12306.1422084271;12306.1422084271;12617.7160371804;11860.425408482;11992.986659481;11995.4816324459;15142.1910477674;16305.9853611726;17083.6074212045;17284.8258803153;17813.8170511714;18137.6920136996;17879.1353932798;19043.7837221762;19043.7837221762;19043.7837221762;19707.4487255468;19707.4487255468;19508.2247420458;17215.7098591484;14999.3546839402;15437.9102343576
7803;13000.5248328002;12974.4900477301;11170.9767802782;14346.4572052172;15454.8418970736;16542.5613296386;13394.3484477671;13346.1659389661;16347.2211058304;17691.6355319296;20362.3829517034;21588.5873781271;22328.5999139151;22328.5999139151;22328.5999139151;22032.3415547978;22032.3415547978;22032.3415547978;22868.5501907168;22868.5501907168;22868.5501907168;22143.6478693237;16711.5766624047;14312.9481990769
7804;9134.2757785398;9683.17882543517;7371.62905217885;6990.04884835948;5759.55304136277;5224.60852935185;5295.3600700709;6947.71051755664;8836.32820284687;12171.4986442473;13359.1141326003;14410.8732257902;14020.5996303192;14323.7324044768;14550.7752351138;14550.7752351138;14550.7752351138;14550.7752351138;13667.9698672923;13667.9698672923;13667.9698672923;12874.5559394064;10356.6899993522;9151.99963039796
7805;15722.0701318514;14230.1028214187;14947.8995556614;15227.8219975639;13188.4739884599;15213.2834481031;13375.9531834487;12813.2362372923;15647.3767485907;15346.027550812;16265.0568488624;16470.7849479208;16185.2261553407;15981.1282552249;15510.0863480318;15510.0863480318;15510.0863480318;15510.0863480318;15510.0863480318;15510.0863480318;14935.7968861324;13683.9090527305;13279.7809753452;14935.4896733293
7806;14277.883990558;13845.0816840685;13626.0485415836;14792.8746429564;14145.7192782456;12373.0003071567;10976.014805452;13329.4952279163;14395.4505273543;16616.4543813721;15842.3565503348;17769.4405692944;18159.4303082929;17909.995502902;17588.8943182708;17894.1540678841;17894.1540678841;17894.1540678841;17667.3018438232;17667.3018438232;17922.1389526829;17433.3785691743;14392.9389176356;13127.9846916744
7807;8766.67015215155;7607.58726327769;8319.39721014298;8124.29903225078;8533.93815902964;9155.41054222276;9574.21186964439;8264.09724343637;7361.71505850224;8417.98066856195;8160.50250751877;8525.32426403964;8293.40271758827;8293.40271758827;8295.56927616198;8295.56927616198;8295.56927616198;8295.56927616198;9447.73715803089;9447.73715803089;8400.23440481181;8400.23440481181;7674.5092136334;7954.43991108406
7808;6943.60995775593;7257.09352914266;6080.40763745284;5581.71231582472;4839.01617043957;5526.85490154681;5604.26187574489;6276.66311961331;8525.13279920597;10467.6942451376;11555.8081940643;11715.7344458431;12447.0845588052;12447.0845588052;12447.0845588052;12447.0845588052;12447.0845588052;12660.3554925791;12480.1695411582;12236.3399216876;12236.3399216876;10590.9448872003;8429.37500232865;7129.13349602031
7809;15743.593308722;18568.3400315361;17553.5053574837;17155.0039308993;16423.6597042385;16099.8554855932;16526.842416218;15306.0155505731;16070.8649235366;16352.1316734704;17906.2202262821;17906.2202262821;17906.2202262821;18132.1168991479;18070.8026522739;18070.8026522739;18070.8026522739;18070.8026522739;17579.5565203352;17579.5565203352;17579.5565203352;16647.3181633737;14855.7863946367;16309.7499695649
7810;7814.50725810993;7246.98030575527;7199.98999912364;6367.09763838719;6202.55895857566;5948.82700658324;6174.47592113612;6440.91978364628;7397.47971473896;8213.22935265434;8413.74435523653;8746.50784573333;9144.75344684834;9332.27530055402;9977.27435622039;9977.27435622039;9977.27435622039;9977.27435622039;9649.97782546942;9649.97782546942;9579.52390043737;9187.04847506133;7510.63080005921;7224.58914920274
7811;21110.1192266957;20678.1126033435;19823.5624536615;20153.9775489117;17606.9442182203;16181.0675073867;17167.1038952059;19410.1296865956;20927.8592797459;25098.6706517732;27881.9898332664;28987.8719271082;29468.7079312288;29675.1354649462;30407.2651622566;29612.484087987;29911.9955283894;29911.9955283894;28198.8824188223;28198.8824188223;27867.1767373036;27161.0723384816;23789.1163388586;21480.4872001414
