SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7802;6387.4694766798;5139.09245162799;5505.48392074768;6267.73636479303;6051.63710255559;5824.66774707476;5806.31547503121;5686.93158402409;6745.07751404884;8079.67234194774;10302.7583427199;11489.4179063508;11489.4179063508;11977.3040904667;11861.6712797611;11861.6712797611;11861.6712797611;11861.6712797611;11393.1567894464;11393.1567894464;11393.1567894464;10419.8499673724;9246.42333256247;5487.55572131389
7803;12539.583935645;12876.3039432117;13528.5983081915;12264.1811756196;13372.5324453879;16280.870614683;12562.9934241769;12358.2439689889;12236.3893381242;14406.3346298602;14157.0684281792;14689.461837006;16403.788832362;16143.2978462807;16143.2978462807;16902.9637002049;17372.7072523819;17372.7072523819;17109.0343669594;17109.0343669594;17828.2247072395;15849.9541591912;14242.1331901508;11948.2390497583
7804;3359.75197061299;2903.94694076192;3310.91060646168;2585.37323317555;3033.54213856213;3093.1577100746;3385.39646413288;3895.96848518243;3301.79070870616;5172.85446573978;5327.13983780301;5486.79621407772;5486.79621407772;5486.79621407772;5893.75987977749;6110.49814025902;6110.49814025902;6110.49814025902;5905.29638409627;5905.29638409627;5905.29638409627;5688.55812361474;5626.48803600264;4205.16591237872
7805;9303.33212916125;6804.60134787;6594.22338027341;7824.07164484591;6897.90534150405;4819.71181881832;6184.61459313689;7627.04632976011;8825.21954310006;9385.47930727836;11653.2148099727;10870.4247559966;10696.9259831074;13502.7320028763;13659.2473767434;13659.2473767434;13659.2473767434;13659.2473767434;14218.5344734407;14218.5344734407;14310.0558792526;13721.2732841628;12064.8573328476;7654.87677435507
7806;5073.06331377611;4991.08594669881;4642.31335239958;3537.38527287673;4629.26724397357;4629.26724397357;4777.70174413775;4194.25195113148;3725.34721521532;3967.68466886742;3899.3766453601;3836.11271465215;4158.04598770552;4768.69584948485;5307.97828389323;5307.97828389323;5307.97828389323;5521.8424620267;5521.8424620267;5521.8424620267;5430.32105621481;5430.32105621481;4651.71030701711;4482.5026070395
7807;1608.69344939851;1706.14610088088;1547.8324729117;1649.29880670569;1428.70885296254;1791.85320421381;1410.46992038187;1571.26325047066;1922.9862665968;2147.02371031241;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2367.61366405556;2225.05926654743;2004.46931280428;1267.91552287375
7808;3857.84945163157;3760.39680014921;3838.64747262976;4014.61838675411;4235.20834049727;3872.06398924599;4092.65394298914;4092.65394298914;4032.9747787724;4024.19742459424;3684.48385090192;3886.99648475975;3609.55923684141;3886.99648475975;3886.99648475975;3886.99648475975;3886.99648475975;3886.99648475975;3886.99648475975;3886.99648475975;3886.99648475975;2991.62666632365;3051.30583054039;4235.20834049727
7809;4703.74013334252;4414.0316479498;4616.9829450716;3646.56076455374;3693.50960576627;3709.64061294685;5506.71972162873;5846.79057734058;5182.68259842007;5706.7080355417;5559.8082477723;5473.39224846329;5458.11295946939;5072.45363116145;5072.45363116145;6196.60662083307;5724.53129321611;6196.60662083307;6488.99692605888;6488.99692605888;6488.99692605888;6020.12737801006;6003.15143838321;4495.30593949511
7810;1375.11600563655;1061.58995967199;1061.58995967199;1426.19128561634;1551.45326734765;1551.45326734765;1551.45326734765;1725.4389134553;1777.42552934654;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;2085.2728490782;1960.01086734689;1960.01086734689;1960.01086734689;1818.4054794629;1430.88886223972;1375.11600563655
7811;11145.3595331721;11092.2940690172;9812.21335342925;9447.26909525879;8486.77093044179;6541.26229238363;9833.18279880134;10964.7224458575;12342.4685952642;12904.0843662644;14303.8307176919;15071.4644579241;14633.0408456016;13918.2104455183;14890.5993638311;14890.5993638311;14890.5993638311;14890.5993638311;15397.310034813;15397.310034813;15397.310034813;15222.7096772536;12317.1132400246;11058.5149207951
7812;36603.3091089273;36620.9670308541;36579.1502560302;36105.3804963744;34043.8520963125;35174.532880307;35500.3770514778;31958.7458519735;33004.7316001513;27281.9109550709;30273.7386659932;31859.7917445611;30934.234817198;31222.0870393878;29251.4761027734;30004.6571893002;30476.7325169171;30004.6571893002;31059.5454341068;31059.5454341068;31059.5454341068;30586.5150187587;34009.531498225;33874.900518318
7813;3007.00001694257;3512.39996884953;4297.17104573442;4368.37873738643;4552.8648260849;4659.4177767995;3855.54923623969;4247.55138785743;4504.6228306705;5270.50178856862;5353.27310470268;5868.90456845892;5704.74882846058;5557.48489902237;5634.35971924551;5844.34715607964;5844.34715607964;5844.34715607964;5612.35429289391;5612.35429289391;5612.35429289391;5505.371728314;4512.35043089685;3503.4294008764
7814;1770.22560806818;1414.50445097284;1518.43567174734;1686.71354826605;1272.22048806027;1161.82423738727;1482.6850897977;1575.85346380984;1922.91638256182;2636.71194348752;2907.38929521662;3074.47081439591;3186.97641380734;3186.97641380734;3306.03425081057;3460.42703953697;3460.42703953697;3460.42703953697;3460.42703953697;3460.42703953697;3460.42703953697;3361.478023228;2689.2883822015;1582.27190197068
7815;2353.63282112776;2135.02227697641;2062.10261645853;1996.82961219405;2113.81093892919;1749.13524801917;1363.80969051405;1825.61996182901;1954.32716539846;3004.43450626289;3097.9463372953;3178.91102869339;3779.78446620241;3779.78446620241;3779.78446620241;3678.49253231912;3678.49253231912;3678.49253231912;3678.49253231912;3678.49253231912;3348.35344128046;3348.35344128046;3248.23552026294;1987.6509728993
7816;26289.3937076063;26651.0586533556;25342.666899647;23962.7961819234;25143.9837343725;24679.6351970306;25190.7977769825;24387.4246168913;20302.5130744108;17362.2759047506;19281.9662625601;18483.006757398;19016.013393915;19163.2773233532;18695.0882482062;18879.9869590901;18879.9869590901;18879.9869590901;18418.2793478191;18418.2793478191;18208.5408054257;17738.1280648801;16642.5587635337;21095.0672701864
9101;11484.0611187214;11070.1579953721;10916.692899233;10018.7780654526;10135.4944667918;11155.870663143;9444.04209682831;9604.69338931608;6545.32628710261;4801.19776655181;5207.62315930073;4806.29869029634;4858.33050336323;4858.33050336323;4771.29628465853;4771.29628465853;4771.29628465853;4771.29628465853;4771.29628465853;4771.29628465853;4771.29628465853;4567.21460014777;5543.77449524596;7983.68377791477
9102;4010.04335532127;4432.26143560422;4075.05462610747;3926.43413585118;3816.39870451508;4380.68991752248;4380.68991752248;3662.7864475606;4187.35267896746;4147.99178112273;4296.33588703084;4648.85221924012;3573.09413513928;3573.09413513928;3573.09413513928;3573.09413513928;3573.09413513928;3573.09413513928;3960.61285549406;3960.61285549406;3960.61285549406;3631.35243034243;3487.43928664978;4010.04335532127
9103;4827.19194939405;5172.70505153302;5736.97778410216;5736.97778410216;5486.52767516657;5178.04013982775;4942.92654700479;4760.18114017804;4033.14385397773;4670.38143936429;5664.76571510227;5539.12217410977;5251.1244101;5642.13414029104;5853.1385388139;5853.1385388139;6651.34115649407;6651.34115649407;6939.33892050384;6939.33892050384;6939.33892050384;6939.33892050384;5972.33366229327;6132.18122103014
9104;2699.14179154705;2564.62138793571;2835.74317535347;2928.25470361519;3402.55275287861;2926.97985981363;3360.11187394977;2817.58541075517;2950.95588902018;4735.10935954858;5522.95099109989;5344.0381574809;4827.9885230921;4827.9885230921;4827.9885230921;4827.9885230921;4827.9885230921;4827.9885230921;5032.31211610773;5032.31211610773;5032.31211610773;5032.31211610773;3685.56851765897;3074.50069192076
9105;7850.5189566096;7697.0538604705;6347.48830562126;7019.35958694961;6962.34717200751;6516.28683225375;6170.60359279495;6682.32237742883;7806.56523383463;7243.50751389032;7226.35798431443;7095.32748534406;8029.85092996009;8601.1916973388;9513.79258037356;9303.80514353943;9303.80514353943;9303.80514353943;9303.80514353943;9303.80514353943;9303.80514353943;9142.34048573506;6746.22523304888;6560.21076037185
9106;5188.50139086816;7366.89047382608;6109.79407298023;6801.04477185884;6662.98660362865;5889.6498158788;6446.56731036493;6973.88835589983;6082.29180114758;6728.53562313671;7986.92770331301;8766.97536388284;8475.85946066737;8475.85946066737;8555.97096535998;8555.97096535998;8555.97096535998;8555.97096535998;8555.97096535998;8555.97096535998;8198.21986725276;7925.74598393971;6826.40453117464;6058.03344152894
9107;3452.08611889593;4163.43909968433;4057.7844834443;5538.22866033051;4938.14666780119;6157.67733606764;5827.88856035554;5348.67162459374;5232.10066587145;5898.74280368497;6001.9663840559;7738.29456767652;7940.86775395256;7734.88937275536;8052.8994850343;8052.8994850343;8052.8994850343;8052.8994850343;7708.62150401152;7708.62150401152;7368.84925904909;6970.52189935895;5874.4697664427;4473.4950634423
9108;4882.65954962837;3855.91666345429;4864.26849870241;4944.4686296559;5023.5854971258;5461.84724579595;6408.27568098559;6203.94108299454;5830.23950334699;6404.58684945263;8734.63114838039;8542.91564052839;8744.41929832398;9066.33321445611;8997.5929607509;8726.24454270783;8726.24454270783;8726.24454270783;7955.90358968719;7955.90358968719;7955.90358968719;7692.65627143829;6064.22530829054;5286.49226794981
