"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"072","5am",1174.39198,1399.3802,3052.7234,1192.8678,481.73656
"073","5am",2439.49631,2825.4388,3569.8891,2792.0423,1044.16925
"074","5am",1599.26922,2595.6354,3067.9808,1511.5107,1038.6481
"075","5am",2376.12267,3899.4647,3313.6942,1821.1536,1034.66432
"076","5am",1399.77308,1645.122,1634.3395,1414.0326,231.7387
"077","5am",465.03746,1198.3314,3218.2643,2523.1231,1648.95687
"078","5am",686.9187,630.1207,4926.5273,1913.1318,1087.19094
"079","5am",103.53861,1354.5489,5629.3388,2114.6899,1259.86139
"080","5am",96.55482,1099.3628,3642.068,1375.6545,1443.1123
"001","6am",147.67323,783.2176,577.0153,1095.0294,1144.01147
"002","6am",421.41363,168.2433,295.2132,1224.1325,715.99664
"003","6am",523.62905,1442.067,3033.1739,3380.4715,2510.81366
"004","6am",1056.51596,310.2358,1262.9814,1512.0454,697.75319
"005","6am",199.75416,478.4059,883.2314,1844.0468,1216.98955
"006","6am",585.70918,775.3588,1745.6516,2639.1383,2001.992
"007","6am",528.81817,466.0298,1532.8085,2338.599,1350.52743
"008","6am",386.80413,329.2131,1083.5384,907.1225,343.25424
"009","6am",284.87734,1294.7827,2231.5954,3041.7864,1487.82799
"010","6am",251.93217,1263.6767,1859.0122,1338.8483,716.82474
"011","6am",1071.09682,2243.3646,2376.5928,1589.5251,386.8708
"012","6am",1005.4549,1538.0369,2756.6882,2441.9821,752.93616
"013","6am",796.38294,1557.4632,2498.876,2001.2152,611.17657
"014","6am",997.64398,1892.5844,4222.2708,2528.5813,770.56294
"015","6am",509.63101,398.0263,1458.1176,1433.7349,776.53701
"016","6am",277.09026,825.6703,1611.2053,1230.1073,1254.85533
"017","6am",825.63941,799.5378,1635.6917,1792.6831,1177.11406
"018","6am",1769.09703,3239.7478,2394.156,1556.1277,811.02954
"019","6am",1532.29837,1730.9705,1487.3927,709.4114,282.31529
"020","6am",2929.99504,1841.5499,1669.348,100.8415,0
"021","6am",404.49797,771.4164,1167.8427,1385.3661,518.07722
"022","6am",957.49112,677.2926,2445.8935,2053.0843,541.0596
"023","6am",509.68512,643.081,2127.3255,1750.6749,507.88575
"024","6am",1388.32652,1241.7071,2282.0136,722.775,465.40631
"025","6am",264.98879,385.8744,1129.6968,757.8431,1063.36118
"026","6am",168.47128,624.0612,1890.9398,2549.6965,1487.52533
"027","6am",560.64521,1477.8225,1462.9498,1670.3969,976.56154
"028","6am",124.50712,536.0002,3297.1495,2448.6546,1018.29881
"029","6am",415.9777,1632.7137,2146.8312,2015.4926,703.93525
"030","6am",437.08141,596.7733,1369.387,1387.9446,878.26978
"031","6am",554.79179,1509.1959,3126.0102,1738.4048,1191.75629
"032","6am",811.32984,1291.9702,2726.4082,1876.4766,836.59193
"033","6am",874.09554,2024.9407,3723.3894,2107.747,1740.30921
"034","6am",228.73019,380.4329,1209.0141,326.2102,331.87194
"035","6am",740.7348,1349.8255,2620.9911,1423.7058,1340.57821
"036","6am",734.28262,1376.4344,2331.34,1414.2636,728.9631
"037","6am",510.40846,1961.8445,2857.4136,2110.8225,1126.94842
"038","6am",470.16767,368.1535,2630.8163,1603.3057,568.64121
"039","6am",378.91633,490.8539,1820.561,1168.5782,1010.20625
"040","6am",1171.72791,1616.3051,2705.1782,3320.6048,1744.74582
"041","6am",765.75149,1042.6815,1461.8861,1431.922,1084.1685
"042","6am",281.14258,367.1442,1756.0475,653.4508,577.27971
"043","6am",229.66095,745.6598,2739.6768,2252.1647,766.63891
"044","6am",303.84087,759.5587,1579.9755,1535.9628,429.7433
"045","6am",471.37244,962.5864,2568.0787,1523.3442,491.99139
"046","6am",291.60736,929.731,2366.5697,1396.8637,933.87816
"047","6am",235.30456,1051.8608,2278.9396,2441.2944,579.676
"048","6am",801.43322,1122.9006,1834.5947,1463.2002,264.52721
"049","6am",314.37719,601.0173,1978.6638,1934.1245,330.10522
"050","6am",178.26722,615.2005,1271.1571,755.0867,221.71893
"051","6am",233.95037,421.0533,1158.3488,694.914,716.52534
"052","6am",435.785,682.4366,1285.3052,2252.3076,789.79228
"053","6am",990.47549,1313.7464,2437.7096,1691.0046,655.25015
"054","6am",613.86131,1689.0865,2505.913,1609.6947,558.59652
"055","6am",270.50961,656.9071,2346.5847,735.5134,767.76863
"056","6am",320.45236,770.7478,3028.482,2293.4661,786.44171
"057","6am",396.17662,289.7586,1111.799,1368.287,685.30059
"058","6am",1088.8615,2008.0517,1611.5657,1902.5439,642.52076
"059","6am",1259.40274,2354.6791,4067.4835,2332.8735,655.99537
"060","6am",742.71292,1665.281,2763.588,1169.6663,375.73058
"061","6am",589.44834,2251.9192,4086.6349,1574.993,981.23579
"062","6am",697.47445,1127.3381,2709.1337,3286.4988,1279.20788
"063","6am",85.38505,840.5488,1199.698,916.8612,488.10374
"064","6am",554.90398,1274.7587,2718.5881,2534.9433,287.14201
"065","6am",287.17456,2067.7029,2328.1467,2208.7231,450.67705
"066","6am",648.44825,1435.9227,2236.8156,2021.1382,620.85219
"067","6am",501.33691,4039.2113,2037.5998,3618.003,529.63932
"068","6am",1006.70954,1431.8067,3293.8916,1907.2691,86.93186
"069","6am",290.36692,1046.4799,1365.139,1333.0003,330.12581
