"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"061","1pm",0,0,0,0
"062","1pm",0,0,0,0
"063","1pm",0,0,0,0
"064","1pm",0,0,0,0
"065","1pm",0,0,0,0
"066","1pm",0,0,0,0
"067","1pm",0,0,0,0
"068","1pm",0,0,0,0
"069","1pm",0,0,0,0
"070","1pm",0,1075.6921,983.0529,0
"071","1pm",0,0,745.4069,0
"072","1pm",0,0,0,0
"073","1pm",0,0,813.3616,892.6623
"074","1pm",0,0,1158.6918,0
"075","1pm",0,1504.5938,0,814.9416
"076","1pm",0,0,0,0
"077","1pm",0,0,0,0
"078","1pm",0,837.8559,728.9307,1027.9582
"079","1pm",0,0,0,0
"080","1pm",0,0,0,0
"001","2pm",0,0,1215.7978,2166.0751
"002","2pm",0,1268.3614,2165.1725,2188.3392
"003","2pm",0,1233.4198,2371.8873,1816.4054
"004","2pm",0,0,0,0
"005","2pm",0,0,707.3934,0
"006","2pm",0,0,833.4837,1570.8574
"007","2pm",0,0,0,487.7377
"008","2pm",0,0,0,0
"009","2pm",0,2225.6366,3110.5251,2770.6716
"010","2pm",0,554.2841,0,0
"011","2pm",0,1081.2801,1658.5021,1334.1126
"012","2pm",0,0,0,0
"013","2pm",0,1323.7746,1518.9116,1292.5556
"014","2pm",0,712.5908,821.1609,612.4398
"015","2pm",0,0,0,0
"016","2pm",0,0,0,0
"017","2pm",0,847.763,1219.5122,1467.0954
"018","2pm",0,709.3653,677.9171,1200.6901
"019","2pm",0,780.1731,1532.8845,2075.6665
"020","2pm",0,0,0,0
"021","2pm",0,0,0,0
"022","2pm",0,1315.4486,1537.1888,3770.9525
"023","2pm",0,913.2923,1767.1264,2770.6261
"024","2pm",0,936.2765,0,0
"025","2pm",0,0,811.6375,3280.4354
"026","2pm",0,0,555.4984,1027.0747
"027","2pm",0,1142.0387,3221.6766,4672.6513
"028","2pm",0,1963.8052,3128.8587,2667.2644
"029","2pm",0,592.6082,1226.6191,1660.9883
"030","2pm",0,690.1709,0,0
"031","2pm",0,0,0,0
"032","2pm",0,1384.6938,2549.6788,1215.0405
"033","2pm",0,1172.866,1615.1788,1339.6135
"034","2pm",0,0,0,765.2823
"035","2pm",0,1783.3692,1580.0767,1242.5927
"036","2pm",0,0,0,0
"037","2pm",0,947.3228,0,0
