"district","hour","act1","act2","act3","act4","act5"
"036","7am",0,0,0,0,0
"037","7am",0,1033.9195,0,0,0
"038","7am",0,0,0,0,0
"039","7am",0,0,0,0,0
"040","7am",0,1073.2947,0,0,0
"041","7am",0,0,0,0,0
"042","7am",0,0,0,0,0
"043","7am",0,934.9764,0,0,0
"044","7am",0,0,0,0,0
"045","7am",0,0,0,0,0
"046","7am",0,0,0,0,0
"047","7am",0,889.7644,0,0,0
"048","7am",0,0,0,0,0
"049","7am",0,0,0,0,0
"050","7am",0,0,0,0,0
"051","7am",0,0,0,0,0
"052","7am",0,0,0,0,0
"053","7am",0,0,0,0,0
"054","7am",0,1004.6307,0,0,0
"055","7am",0,0,0,0,0
"056","7am",0,0,0,0,0
"057","7am",0,0,0,0,0
"058","7am",0,0,0,0,0
"059","7am",0,826.3836,0,0,0
"060","7am",0,939.0996,1053.565,0,0
"061","7am",0,0,0,0,0
"062","7am",0,0,0,0,0
"063","7am",0,0,0,0,0
"064","7am",0,0,0,0,0
"065","7am",0,0,0,0,0
"066","7am",0,0,0,0,0
"067","7am",0,0,0,0,0
"068","7am",0,0,0,0,0
"069","7am",0,0,0,0,0
"070","7am",0,1229.9923,0,0,0
"071","7am",0,0,0,0,0
"072","7am",0,0,0,0,0
"073","7am",0,0,0,0,0
"074","7am",0,1269.5974,0,0,0
"075","7am",0,1591.5078,0,0,0
"076","7am",0,0,0,0,0
"077","7am",0,0,0,0,0
"078","7am",0,625.7293,0,0,0
"079","7am",0,0,0,0,0
"080","7am",0,0,0,0,0
"001","8am",0,1944.7799,1446.4186,0,0
"002","8am",0,1443.8777,0,0,0
"003","8am",0,3592.9268,967.2409,0,1150.8143
"004","8am",0,935.5935,0,0,0
"005","8am",0,708.2741,1094.9701,0,0
"006","8am",0,1528.765,1577.9755,0,0
"007","8am",0,733.5262,0,0,0
"008","8am",0,0,0,0,0
"009","8am",0,5336.5447,3079.1295,0,0
"010","8am",0,1135.3734,0,0,0
"011","8am",0,3200.2021,0,0,0
"012","8am",0,0,0,0,0
"013","8am",0,3474.6377,0,0,0
"014","8am",0,1375.3333,0,0,0
"015","8am",0,0,0,0,0
"016","8am",0,869.8707,0,0,0
"017","8am",0,2359.1179,1796.1459,0,0
"018","8am",0,2263.276,0,0,0
"019","8am",0,3799.1653,1472.1051,0,0
"020","8am",0,948.9282,0,0,0
"021","8am",0,0,0,0,0
"022","8am",0,5029.6502,1555.4346,0,550.1222
"023","8am",0,4208.4455,1359.2144,0,0
"024","8am",0,1366.5732,0,0,0
"025","8am",0,3448.4818,7643.0114,0,0
"026","8am",0,1169.0689,0,0,0
"027","8am",0,7118.5202,0,0,0
"028","8am",0,4494.8549,1180.2594,0,0
"029","8am",0,2414.6217,0,0,0
"030","8am",0,1010.2155,862.453,0,0
"031","8am",0,726.3616,0,0,0
"032","8am",0,4178.7649,0,0,0
"033","8am",0,1677.3071,1094.2454,0,0
"034","8am",0,1435.4503,0,0,0
"035","8am",0,3183.5849,0,0,0
"036","8am",0,841.0415,0,0,0
"037","8am",0,1486.0408,0,0,0
"038","8am",0,0,0,0,0
"039","8am",0,689.3373,0,0,0
"040","8am",0,2474.8125,741.0056,0,0
"041","8am",0,1245.7288,0,0,0
"042","8am",0,0,0,0,0
"043","8am",0,1956.3285,0,0,0
"044","8am",0,620.6936,0,0,0
"045","8am",0,0,0,0,0
"046","8am",0,0,0,0,0
"047","8am",0,1740.9017,0,0,0
"048","8am",0,0,0,0,0
"049","8am",0,0,0,0,0
"050","8am",0,0,0,0,0
"051","8am",0,0,0,0,0
"052","8am",0,0,0,0,0
"053","8am",0,0,0,0,0
"054","8am",0,1125.1726,0,0,0
"055","8am",0,0,0,0,0
"056","8am",0,0,0,0,0
"057","8am",0,0,0,0,0
"058","8am",0,0,0,0,0
"059","8am",0,1118.3111,0,0,0
"060","8am",0,1575.5658,1232.6182,0,0
"061","8am",0,0,0,0,0
"062","8am",0,0,0,0,0
"063","8am",0,0,0,0,0
"064","8am",0,0,0,0,0
"065","8am",0,1119.7672,0,0,0
"066","8am",0,0,0,0,0
"067","8am",0,813.1562,0,0,0
"068","8am",0,0,0,0,0
"069","8am",0,0,0,0,0
"070","8am",0,1782.8257,0,0,0
"071","8am",0,1243.2009,0,0,0
"072","8am",0,1246.4909,0,0,0
"073","8am",0,1550.1719,0,0,0
"074","8am",0,1864.4924,0,0,0
"075","8am",0,2700.2049,853.0687,0,0
"076","8am",0,0,0,0,0
"077","8am",0,0,0,0,0
"078","8am",0,1716.3575,0,0,0
"079","8am",0,0,0,0,0
"080","8am",0,0,0,0,0
"001","9am",0,2957.9898,2493.7404,0,901.1269
"002","9am",0,2760.0992,0,0,716.0084
"003","9am",0,3920.2016,1201.9029,0,1733.5536
"004","9am",0,1035.6163,0,0,0
"005","9am",0,879.3291,1169.7697,0,0
"006","9am",0,2098.2434,1837.6921,0,751.9964
"007","9am",0,879.828,0,0,0
"008","9am",0,0,0,0,0
"009","9am",0,5643.421,3271.1804,636.0286,534.2909
"010","9am",0,1426.5884,0,0,0
"011","9am",0,3558.0434,0,0,0
"012","9am",0,0,0,0,0
"013","9am",0,3765.5014,0,0,0
"014","9am",0,1778.3023,0,0,520.9962
"015","9am",0,0,0,0,0
"016","9am",0,1070.2666,0,0,0
"017","9am",0,2693.1681,1877.7574,0,779.0781
"018","9am",0,2520.7867,0,0,0
"019","9am",0,3967.3301,1590.1672,636.1042,633.1907
"020","9am",0,847.5892,0,0,0
"021","9am",0,0,0,0,0
"022","9am",0,6033.9424,1712.3517,0,1175.0284
"023","9am",0,5058.712,1523.4196,0,0
"024","9am",0,1382.5689,0,0,0
"025","9am",0,4175.2024,10566.2752,0,0
"026","9am",0,1656.4895,0,0,0
"027","9am",0,8836.899,0,0,0
"028","9am",0,5798.6947,1717.798,663.281,710.7134
"029","9am",0,2635.4606,0,0,0
"030","9am",0,980.7119,965.5454,0,0
"031","9am",0,845.7608,0,0,0
"032","9am",0,4575.398,0,1527.603,0
"033","9am",0,2327.3569,1174.0183,599.6414,0
"034","9am",0,1478.4699,0,0,0
"035","9am",0,3204.2169,0,817.7207,0
"036","9am",0,1134.9963,0,0,0
"037","9am",0,1542.9497,0,0,0
"038","9am",0,555.515,0,565.5497,0
"039","9am",0,795.6459,0,0,0
"040","9am",0,2482.9594,796.4249,506.8286,578.5617
"041","9am",0,1575.1144,0,0,0
"042","9am",0,0,0,0,0
"043","9am",0,2489.6241,0,571.2136,0
"044","9am",0,656.4853,0,0,0
"045","9am",0,0,0,0,0
"046","9am",0,0,0,0,0
"047","9am",0,2109.7159,0,0,0
"048","9am",0,0,0,0,0
"049","9am",0,0,0,0,0
"050","9am",0,0,0,0,0
"051","9am",0,0,0,0,0
"052","9am",0,774.1184,0,0,0
"053","9am",0,0,0,0,0
"054","9am",0,1412.2867,0,0,0
"055","9am",0,0,0,0,0
"056","9am",0,0,0,0,0
"057","9am",0,585.1869,0,0,0
"058","9am",0,0,0,0,0
"059","9am",0,1576.0378,0,0,857.6661
"060","9am",0,1812.5516,1232.6182,0,0
"061","9am",0,0,0,0,0
"062","9am",0,0,0,0,0
"063","9am",0,0,0,0,0
"064","9am",0,0,0,0,0
"065","9am",0,1287.3237,0,0,0
"066","9am",0,0,0,0,0
"067","9am",0,852.09,0,0,0
"068","9am",0,0,0,0,0
"069","9am",0,0,0,0,0
"070","9am",0,1999.8079,0,0,0
"071","9am",0,1243.2009,0,0,0
"072","9am",0,1140.7549,0,0,0
"073","9am",0,1682.3317,0,0,0
"074","9am",0,1818.5712,0,0,0
"075","9am",0,3356.7461,853.0687,0,0
"076","9am",0,0,0,0,0
"077","9am",0,0,0,0,0
"078","9am",0,2040.5676,0,0,0
"079","9am",0,0,0,0,0
"080","9am",0,0,0,0,0
"001","10am",0,2910.336,2554.0919,0,1237.2987
"002","10am",0,3119.7541,0,0,1097.3797
"003","10am",0,4114.5313,1249.4841,741.1318,1716.1096
"004","10am",0,970.2473,0,0,0
"005","10am",0,1025.2358,1257.3534,0,0
"006","10am",0,2278.5698,1929.9487,0,1044.9294
"007","10am",0,909.5219,0,0,0
"008","10am",0,0,0,0,0
"009","10am",0,5882.0144,3351.7845,1218.8615,801.8037
"010","10am",0,1345.4435,0,0,0
"011","10am",0,3330.4729,0,805.6704,0
"012","10am",0,704.8057,0,0,0
"013","10am",0,3886.5992,0,0,0
"014","10am",0,1761.5822,0,0,0
"015","10am",0,0,0,0,0
"016","10am",0,1009.4098,0,0,0
"017","10am",0,2798.7723,1830.041,767.6524,849.0379
"018","10am",0,2264.8757,0,0,0
"019","10am",0,4241.4097,1588.4238,678.9231,0
"020","10am",0,817.5489,0,0,0
"021","10am",0,0,0,0,0
"022","10am",0,6071.4943,1866.939,0,1551.626
"023","10am",0,5247.1488,1706.8327,0,0
"024","10am",0,1181.3622,0,0,0
"025","10am",0,4207.4037,12443.3295,0,0
"026","10am",0,1759.6835,0,0,0
"027","10am",0,9121.8395,0,0,0
"028","10am",0,5715.4988,1764.1763,1408.9639,730.4939
"029","10am",0,2809.3839,0,0,0
"030","10am",0,907.6615,973.3741,0,0
"031","10am",0,810.334,0,0,0
"032","10am",0,4696.6705,0,1771.3356,0
"033","10am",0,2512.7069,1213.9043,1118.6566,482.5527
"034","10am",0,1568.7226,0,0,0
"035","10am",0,3070.7081,0,740.25,0
"036","10am",0,1032.2693,0,479.8813,0
"037","10am",0,1700.016,0,0,0
"038","10am",0,0,0,501.6986,0
"039","10am",0,842.6796,0,0,0
"040","10am",0,2644.044,796.4249,721.3675,717.4673
"041","10am",0,1609.6827,0,0,0
"042","10am",0,0,0,415.9264,0
"043","10am",0,2376.7878,0,914.9299,0
"044","10am",0,738.4855,0,0,0
"045","10am",0,0,0,0,0
"046","10am",0,0,0,0,0
"047","10am",0,2149.1768,0,0,0
"048","10am",0,0,0,0,0
"049","10am",0,0,0,0,0
"050","10am",0,0,0,0,0
"051","10am",0,0,0,0,0
"052","10am",0,803.576,0,0,0
"053","10am",0,0,0,0,0
"054","10am",0,1352.3352,0,0,0
"055","10am",0,0,0,0,0
"056","10am",0,0,0,0,0
"057","10am",0,519.9159,0,0,0
"058","10am",0,0,0,0,0
"059","10am",0,1407.5625,0,0,698.4153
"060","10am",0,1739.0426,1232.6182,0,0
"061","10am",0,0,0,0,0
"062","10am",0,0,0,0,0
"063","10am",0,0,0,0,0
"064","10am",0,0,0,0,0
"065","10am",0,1066.47,0,0,0
"066","10am",0,0,0,0,0
"067","10am",0,786.3366,0,0,0
"068","10am",0,0,0,0,0
"069","10am",0,0,0,0,0
"070","10am",0,1949.9609,0,0,0
"071","10am",0,985.1577,0,0,0
"072","10am",0,1266.2554,0,0,0
"073","10am",0,1866.2693,0,0,1089.0864
"074","10am",0,1739.4095,0,0,0
"075","10am",0,3462.7455,853.0687,0,0
"076","10am",0,0,0,0,0
"077","10am",0,0,0,0,0
"078","10am",0,2093.2321,0,864.2106,0
"079","10am",0,0,0,0,0
"080","10am",0,0,0,0,0
"001","11am",0,2767.1019,2561.0341,0,1706.4563
"002","11am",0,3384.8691,0,0,1476.6285
"003","11am",0,4159.8912,1013.9709,0,931.1479
"004","11am",0,854.714,0,0,0
"005","11am",0,1088.2477,1134.692,0,0
"006","11am",0,2306.5047,1853.2845,0,1344.1074
"007","11am",0,1054.3982,0,0,0
"008","11am",0,0,0,0,0
"009","11am",0,5830.8999,3303.5354,860.4063,836.7639
"010","11am",0,1382.2027,0,0,0
"011","11am",0,3148.0135,0,0,0
"012","11am",0,740.9542,0,0,0
"013","11am",0,3465.4984,0,0,0
"014","11am",0,1818.6665,0,0,0
"015","11am",0,0,0,0,0
"016","11am",0,970.5195,0,0,0
"017","11am",0,2652.792,1842.7456,0,645.0082
"018","11am",0,2376.7209,0,0,0
"019","11am",0,4080.709,1771.5735,0,0
"020","11am",0,817.5489,0,0,0
"021","11am",0,0,0,0,0
"022","11am",0,5894.5919,1723.7802,0,1812.3684
"023","11am",0,5095.7721,1572.2351,0,0
"024","11am",0,1060.1131,0,0,0
"025","11am",0,4265.8048,10737.9223,0,0
"026","11am",0,1701.8536,0,0,0
"027","11am",0,8528.17,0,0,562.4639
"028","11am",0,5307.4646,1687.9808,1056.2389,0
"029","11am",0,2721.3175,0,0,0
"030","11am",0,893.2235,973.3741,0,0
"031","11am",0,844.3303,0,0,0
"032","11am",0,4499.1999,0,528.4677,0
"033","11am",0,2395.3056,1223.912,1091.7081,478.3098
"034","11am",0,1608.6194,0,0,0
"035","11am",0,2925.5335,0,1104.6993,0
"036","11am",0,1032.2693,0,0,0
"037","11am",0,1651.0077,0,0,0
"038","11am",0,0,0,0,0
"039","11am",0,921.379,0,0,0
"040","11am",0,2186.9862,757.2713,900.3593,757.5777
"041","11am",0,1443.579,0,0,0
"042","11am",0,0,0,0,0
"043","11am",0,2366.3981,0,0,0
"044","11am",0,830.6364,0,0,0
"045","11am",0,0,0,0,0
"046","11am",0,0,0,0,0
"047","11am",0,2156.1613,0,0,0
"048","11am",0,0,0,0,0
"049","11am",0,0,0,0,0
"050","11am",0,0,0,0,0
"051","11am",0,0,0,0,0
"052","11am",0,834.1882,0,0,0
"053","11am",0,0,0,0,0
"054","11am",0,1281.7053,0,0,0
"055","11am",0,0,0,0,0
"056","11am",0,0,0,0,0
"057","11am",0,601.5878,0,0,0
"058","11am",0,0,0,0,0
"059","11am",0,1291.9806,0,0,0
"060","11am",0,1736.413,1147.6066,0,0
"061","11am",0,0,0,0,0
"062","11am",0,0,0,0,0
"063","11am",0,0,0,0,0
"064","11am",0,0,0,0,0
"065","11am",0,860.913,0,0,0
"066","11am",0,0,0,0,0
"067","11am",0,738.9499,0,0,0
"068","11am",0,0,0,0,0
"069","11am",0,0,0,0,0
"070","11am",0,1942.0807,0,0,0
"071","11am",0,944.9002,0,0,0
"072","11am",0,1313.8976,0,0,0
"073","11am",0,1507.9657,0,0,0
"074","11am",0,1849.4428,0,0,0
"075","11am",0,3161.2804,0,0,0
"076","11am",0,0,0,0,0
"077","11am",0,0,0,0,0
"078","11am",0,2127.6501,0,0,0
"079","11am",0,0,0,0,0
"080","11am",0,0,0,0,0
"001","12am",0,1829.3938,2036.4168,0,2288.507
"002","12am",0,2929.7978,0,0,3156.7268
"003","12am",0,3139.7594,738.9348,0,1710.0801
"004","12am",0,913.2887,0,0,0
"005","12am",0,689.0742,820.8635,0,490.577
"006","12am",0,1577.5808,1532.0847,0,1479.6846
"007","12am",0,741.7875,0,0,0
"008","12am",0,0,0,0,0
"009","12am",0,4381.3008,2786.1872,1043.1391,2199.8858
"010","12am",0,793.053,0,0,0
"011","12am",0,2032.2181,0,0,720.5669
"012","12am",0,0,0,0,0
"013","12am",0,2510.7382,0,0,0
"014","12am",0,1155.362,0,0,0
"015","12am",0,0,0,0,0
"016","12am",0,859.0851,0,0,0
"017","12am",0,1968.1563,1534.0841,0,805.3119
"018","12am",0,1794.9794,0,0,0
"019","12am",0,3059.7063,1200.2977,0,595.7418
"020","12am",0,608.5744,0,0,0
"021","12am",0,0,0,0,0
"022","12am",0,5409.6143,1334.1875,0,1883.0265
"023","12am",0,4035.5987,1119.8726,0,1199.0409
"024","12am",0,1061.4043,0,0,0
"025","12am",0,3309.8253,9322.7384,0,809.9022
"026","12am",0,1288.4465,0,0,0
"027","12am",0,6489.6109,0,0,1362.3401
"028","12am",0,3665.3556,1122.8351,1270.0197,1847.3392
"029","12am",0,1650.534,0,0,567.8203
"030","12am",0,754.2818,857.9413,0,0
"031","12am",0,0,0,0,0
"032","12am",0,2798.9212,0,0,965.2681
"033","12am",0,1453.626,1203.4371,584.7452,1846.3835
"034","12am",0,1221.5106,0,0,0
"035","12am",0,2190.2468,0,0,0
"036","12am",0,0,0,0,749.7465
"037","12am",0,810.4438,0,0,0
"038","12am",0,0,0,0,0
"039","12am",0,0,0,0,0
"040","12am",0,1364.0224,456.3854,894.6666,845.7879
"041","12am",0,1255.5624,0,0,0
"042","12am",0,0,0,0,0
"043","12am",0,1971.6977,0,0,551.5638
"044","12am",0,0,0,0,0
"045","12am",0,0,0,0,0
"046","12am",0,0,0,0,0
"047","12am",0,1409.6967,0,0,0
"048","12am",0,0,0,0,0
"049","12am",0,0,0,0,0
"050","12am",0,0,0,0,0
"051","12am",0,0,0,0,0
"052","12am",0,0,0,0,0
"053","12am",0,0,0,0,0
"054","12am",0,1076.8704,0,0,0
"055","12am",0,0,0,0,0
"056","12am",0,0,0,0,0
"057","12am",0,0,0,0,0
"058","12am",0,0,0,0,0
"059","12am",0,773.4541,0,0,0
"060","12am",0,1234.3863,1084.9432,0,0
"061","12am",0,0,0,0,0
"062","12am",0,0,0,0,0
"063","12am",0,0,0,0,0
"064","12am",0,0,0,0,0
"065","12am",0,860.913,0,0,0
"066","12am",0,0,0,0,0
"067","12am",0,0,0,0,0
"068","12am",0,0,0,0,0
"069","12am",0,0,0,0,0
"070","12am",0,1149.05,0,0,0
"071","12am",0,0,0,0,743.123
"072","12am",0,1091.6827,0,0,0
"073","12am",0,792.2295,0,0,599.9501
"074","12am",0,1841.4842,0,0,0
"075","12am",0,1764.8469,0,0,0
"076","12am",0,0,0,0,0
"077","12am",0,0,0,0,0
"078","12am",0,1574.0424,0,0,0
"079","12am",0,0,0,0,0
"080","12am",0,0,0,0,0
"001","1pm",0,2377.7093,2063.5779,0,1604.7538
"002","1pm",0,3382.227,0,0,2750.2461
"003","1pm",0,4059.3599,769.3941,0,1410.752
"004","1pm",0,1014.4947,0,0,0
"005","1pm",0,894.0439,1116.1125,0,0
"006","1pm",0,2003.1121,1657.6978,0,660.0337
"007","1pm",0,887.1274,0,0,0
"008","1pm",0,0,0,0,0
"009","1pm",0,5136.1212,3085.133,968.1204,1472.4141
"010","1pm",0,971.7513,0,0,0
"011","1pm",0,2955.7199,0,0,0
"012","1pm",0,0,0,0,0
"013","1pm",0,3385.7346,0,0,0
"014","1pm",0,1527.0477,0,0,0
"015","1pm",0,0,0,0,0
"016","1pm",0,943.813,0,0,0
"017","1pm",0,2418.7548,1550.1736,0,0
"018","1pm",0,2233.7727,0,0,0
"019","1pm",0,3621.8821,1567.4441,0,0
"020","1pm",0,930.242,0,0,0
"021","1pm",0,0,0,0,0
"022","1pm",0,5820.7373,1721.671,0,1600.8711
"023","1pm",0,4663.6554,1287.6195,0,791.8083
"024","1pm",0,941.8362,0,0,0
"025","1pm",0,3699.5553,10427.757,0,0
"026","1pm",0,1466.8681,0,0,0
"027","1pm",0,7975.4806,0,0,976.1239
"028","1pm",0,4721.6673,1918.3306,1363.4786,1319.4
"029","1pm",0,2644.6694,0,0,396.1863
"030","1pm",0,769.8787,963.5235,0,0
"031","1pm",0,0,0,0,0
