"district","hour","sex1","sex2"
"016","9am",1453.8602,2223.4608
"017","9am",4304.9233,5538.094
"018","9am",4271.0646,5710.3047
"019","9am",4601.6263,6027.3792
"020","9am",1954.902,2819.9375
"021","9am",1657.7132,1493.8404
"022","9am",7131.2907,8974.8491
"023","9am",4938.4714,5612.8526
"024","9am",2696.6247,3485.8162
"025","9am",9632.0378,10735.3908
"026","9am",2419.5429,3362.8922
"027","9am",7173.646,5549.2374
"028","9am",5891.4926,8034.7657
"029","9am",4079.5106,3850.0819
"030","9am",2143.4368,2566.8251
"031","9am",2719.5975,3014.5989
"032","9am",5648.2496,5055.7329
"033","9am",4976.1138,5848.469
"034","9am",1507.1268,1785.5013
"035","9am",4753.6394,3865.018
"036","9am",2097.5534,2673.8763
"037","9am",3832.7519,3461.9977
"038","9am",2166.758,2062.1643
"039","9am",1708.961,1552.5959
"040","9am",5470.1823,6520.2789
"041","9am",2512.3909,2742.8422
"042","9am",960.8743,1465.4347
"043","9am",3813.9122,3181.1868
"044","9am",1653.0155,2827.196
"045","9am",1735.6357,2024.3379
"046","9am",1637.3838,2094.7178
"047","9am",2781.2496,3709.9342
"048","9am",1354.3994,2572.9573
"049","9am",1538.8985,1841.6646
"050","9am",849.3,976.3788
"051","9am",993.9014,1066.1382
"052","9am",1631.1783,2251.111
"053","9am",1749.7037,2199.4946
"054","9am",3181.0573,2227.7584
"055","9am",1680.0613,1628.9354
"056","9am",2990.2863,3654.6228
"057","9am",1283.7517,1460.001
"058","9am",1926.4262,2268.5486
"059","9am",4657.8823,6217.2931
"060","9am",3083.3398,4316.0606
"061","9am",2918.7946,3544.2701
"062","9am",2691.3195,2638.0783
"063","9am",960.94,1048.62
"064","9am",1719.3042,2865.4236
"065","9am",3407.5917,2914.5886
"066","9am",2583.9694,2595.1503
"067","9am",3391.0346,3749.9018
"068","9am",2949.5162,3768.059
"069","9am",1701.892,1521.5603
"070","9am",5316.6708,4724.8308
"071","9am",3236.3976,5490.3223
"072","9am",3274.4063,3429.4816
"073","9am",6066.9221,6935.1103
"074","9am",3660.5988,5594.3189
"075","9am",7600.393,6928.7451
"076","9am",2884.2308,2367.3411
"077","9am",2538.9354,3507.1145
"078","9am",3703.3607,7043.2279
"079","9am",4765.2384,5846.0238
"080","9am",2928.1033,3022.4448
"001","10am",4818.6188,6438.4956
"002","10am",3070.5214,4138.8555
"003","10am",6140.9596,7707.5283
"004","10am",1389.0348,2396.2074
"005","10am",2463.2295,2836.3602
"006","10am",4558.7535,6363.3646
"007","10am",2046.4753,2797.189
"008","10am",883.703,1155.9316
"009","10am",6716.4247,9257.666
"010","10am",2334.9568,2536.2404
"011","10am",4413.815,4235.2578
"012","10am",3001.498,3395.3037
"013","10am",4310.1402,3200.9789
"014","10am",3399.186,4376.4905
"015","10am",1019.3243,1932.6062
"016","10am",1472.7155,2351.5026
"017","10am",4382.2117,5849.1359
"018","10am",3662.1255,5014.9744
"019","10am",5076.4515,5652.0478
"020","10am",1916.8631,3083.6472
"021","10am",1670.0782,1532.2901
"022","10am",7050.3036,8917.3364
"023","10am",4980.4805,5795.1915
"024","10am",2202.0663,3244.2391
"025","10am",10482.5821,11677.3769
"026","10am",2196.1666,2953.1822
"027","10am",7268.4166,5640.8346
"028","10am",5917.0455,8194.0454
"029","10am",3774.1189,3555.7013
"030","10am",2293.4574,2497.3099
"031","10am",2761.3441,2876.5153
"032","10am",5537.095,5311.156
"033","10am",5242.9789,6120.8945
"034","10am",1590.7561,1755.4306
"035","10am",4356.142,4215.3808
"036","10am",2053.0065,2467.0184
"037","10am",3614.068,3408.056
"038","10am",1954.0744,2038.8366
"039","10am",1695.2796,1509.9522
"040","10am",5736.061,6800.731
"041","10am",2594.4919,2744.4331
"042","10am",1162.9127,1691.7831
"043","10am",3790.3248,3830.4728
"044","10am",1638.286,2834.5625
"045","10am",2006.4672,2008.2206
"046","10am",1712.8108,2106.0267
"047","10am",2992.6464,3504.0972
"048","10am",1225.5035,2420.0594
"049","10am",1478.6344,1806.7085
"050","10am",877.7675,912.4806
"051","10am",878.4102,1104.5423
"052","10am",1588.3531,2078.4831
"053","10am",1771.6497,2042.5461
"054","10am",2872.994,1944.7357
"055","10am",1575.3199,1581.7463
"056","10am",2923.8136,3429.4578
"057","10am",1163.802,1423.3132
"058","10am",2088.9791,2469.6949
"059","10am",4364.4778,5917.2527
"060","10am",3192.032,4451.6359
"061","10am",3057.8945,3621.145
"062","10am",2718.9287,2555.1892
"063","10am",914.5654,1064.8373
"064","10am",1579.8336,2833.8333
"065","10am",3041.8861,2955.6676
"066","10am",2404.0845,2557.6277
"067","10am",3354.0234,3688.4487
"068","10am",2999.5703,3795.7378
"069","10am",1718.0925,1705.7192
"070","10am",5470.6946,5066.611
"071","10am",3206.5077,5478.1819
"072","10am",2972.2375,3475.9654
"073","10am",5693.87,7281.7208
"074","10am",3874.0275,5511.1795
"075","10am",7373.6787,6740.1103
"076","10am",2765.5598,2310.474
"077","10am",2582.3334,3318.9447
"078","10am",4145.7395,7257.5582
"079","10am",4619.8267,5972.7173
"080","10am",3192.3317,2976.1703
"001","11am",5003.2169,6483.8704
"002","11am",3027.8344,4741.6115
"003","11am",5689.449,7316.776
"004","11am",1532.7054,2459.418
"005","11am",2424.8078,3234.9603
"006","11am",4808.5868,6706.9317
"007","11am",2507.8685,2778.9122
"008","11am",930.9598,1071.3047
"009","11am",6626.8396,9154.2624
"010","11am",2340.4758,2978.6703
"011","11am",3942.804,3900.5619
"012","11am",2963.5813,3503.7072
"013","11am",3921.4016,3044.5941
"014","11am",3540.6168,4452.0556
"015","11am",1143.696,2042.3173
"016","11am",1582.118,2362.3921
"017","11am",4009.1621,5540.7785
"018","11am",3720.5816,5196.0856
"019","11am",4694.552,5364.7877
"020","11am",2443.1853,3536.5006
"021","11am",1962.1072,1450.3822
"022","11am",6856.32,9120.6812
"023","11am",4870.378,5685.4864
"024","11am",2293.695,3260.19
"025","11am",9654.666,10871.162
"026","11am",2314.0686,2749.3534
"027","11am",6907.838,5504.2472
"028","11am",5425.5145,7852.1338
"029","11am",3869.0358,3480.1123
"030","11am",2064.2357,2244.6454
"031","11am",2872.7909,3245.5729
"032","11am",5054.1302,4828.9059
"033","11am",5247.6972,6240.5632
"034","11am",1459.7505,1661.1665
"035","11am",4755.1951,4080.6853
"036","11am",1929.545,2572.105
"037","11am",3831.6896,3441.4252
"038","11am",1991.2696,1927.1429
"039","11am",1673.4641,1705.0031
"040","11am",5615.3435,6532.2102
"041","11am",2564.1683,2868.9993
"042","11am",1240.8635,1671.2285
"043","11am",3698.1058,3455.471
"044","11am",1936.8912,2985.5805
"045","11am",1940.577,2014.6523
"046","11am",1674.1452,2244.7297
