"district","hour","mode1","mode2","mode3"
"011","7am",16.1866997,65.61827,18.195026
"012","7am",24.7833097,43.59745,31.61924
"013","7am",11.6124957,63.13531,25.252197
"014","7am",15.9878033,56.71251,27.299688
"015","7am",15.8243586,59.2247,24.950941
"016","7am",13.1091349,71.48441,15.406455
"017","7am",28.6345648,48.88278,22.482653
"018","7am",20.525096,45.30718,34.167726
"019","7am",23.5881009,47.71641,28.695487
"020","7am",21.837496,35.45019,42.71231
"021","7am",19.954458,56.21073,23.834814
"022","7am",24.9094348,47.85214,27.238425
"023","7am",14.5481497,64.46417,20.98768
"024","7am",14.6466152,64.19684,21.15654
"025","7am",32.9579986,39.68492,27.357077
"026","7am",15.0950042,59.9748,24.930191
"027","7am",4.3343828,78.40872,17.256894
"028","7am",23.619694,51.16461,25.215692
"029","7am",13.4591356,68.54767,17.993196
"030","7am",12.285863,73.56244,14.151699
"031","7am",0.9797866,69.1884,29.831818
"032","7am",5.4336267,75.67586,18.89051
"033","7am",7.5465232,76.31915,16.134331
"034","7am",0,85.5371,14.4629
"035","7am",5.2985818,78.21742,16.484002
"036","7am",10.9736835,73.45486,15.571452
"037","7am",1.2425718,80.87419,17.883235
"038","7am",3.7663093,88.75839,7.475298
"039","7am",15.5030992,74.58102,9.915883
"040","7am",5.2886214,78.75045,15.960926
"041","7am",3.2868304,82.0338,14.67937
"042","7am",4.5305411,76.98618,18.48328
"043","7am",5.8158543,79.97548,14.208666
"044","7am",2.061657,58.95435,38.983994
"045","7am",8.355599,69.10576,22.538646
"046","7am",4.5184339,70.04341,25.43816
"047","7am",0,80.08685,19.913145
"048","7am",4.062122,84.68599,11.25189
"049","7am",2.8520329,85.17514,11.972826
"050","7am",1.883312,85.80441,12.312278
"051","7am",2.4175643,84.56897,13.013462
"052","7am",0,83.60322,16.396779
"053","7am",0,77.01787,22.982134
"054","7am",0.9952085,88.89931,10.10548
"055","7am",1.0800878,82.42679,16.493123
"056","7am",3.0912213,58.07024,38.838541
"057","7am",4.3356124,80.84734,14.817046
"058","7am",3.8611447,79.96311,16.175744
"059","7am",1.513016,68.931,29.55598
"060","7am",14.1451691,65.81925,20.035579
"061","7am",0,79.4785,20.521495
"062","7am",3.7810008,76.24478,19.974224
"063","7am",4.2818051,82.00687,13.711323
"064","7am",1.3499541,71.60933,27.04072
"065","7am",0,63.13313,36.866874
"066","7am",0,72.27574,27.724265
"067","7am",0,79.56426,20.435739
"068","7am",0,70.37809,29.621909
"069","7am",1.8525064,77.08494,21.062549
"070","7am",1.2271063,70.30424,28.468653
"071","7am",2.7748661,73.57971,23.645423
"072","7am",0.5105437,77.92523,21.564228
"073","7am",2.7038367,46.70555,50.590611
"074","7am",6.7269254,63.18944,30.083632
"075","7am",15.6592669,70.02466,14.316075
"076","7am",3.4942622,67.86532,28.640415
"077","7am",0,65.29324,34.706762
"078","7am",3.7189597,69.61038,26.670662
"079","7am",5.4433953,63.0459,31.510701
"080","7am",1.3030142,64.35562,34.341369
"001","8am",24.0207147,18.60295,57.37634
"002","8am",29.8569888,12.69301,57.449998
"003","8am",31.4719267,21.46359,47.06448
"004","8am",9.8352669,46.80282,43.361916
"005","8am",17.2543882,34.14874,48.596868
"006","8am",27.2968896,29.91603,42.787084
"007","8am",19.6378994,31.88571,48.47639
"008","8am",13.0817596,55.27045,31.647788
"009","8am",30.5016927,40.38417,29.114139
"010","8am",21.1243102,44.22085,34.654837
"011","8am",14.4179841,70.96159,14.620427
"012","8am",20.3152676,44.27936,35.405368
"013","8am",9.3914412,64.24183,26.366724
"014","8am",12.2856716,61.00813,26.706201
