"district","hour","cs1","cs2","cs3","cs4","cs5"
"071","6am",8.5652346,25.183359,36.27869,23.847606,6.12511
"072","6am",7.4255104,19.983634,36.63967,22.656542,13.29464
"073","6am",8.8114476,18.549132,35.71193,27.585737,9.341754
"074","6am",10.850912,19.65804,31.41063,23.273497,14.806922
"075","6am",12.2243484,22.55753,31.51887,20.266699,13.43255
"076","6am",8.8949737,16.088654,27.89077,37.576242,9.549363
"077","6am",5.3680716,13.393915,34.22926,29.300295,17.708457
"078","6am",5.6908608,5.410716,52.52132,23.705868,12.671239
"079","6am",1.0348414,11.195027,52.8152,21.58229,13.372646
"080","6am",2.8700832,10.301047,47.51448,19.936844,19.377542
"001","7am",2.8250963,17.955655,15.2669,33.41803,30.53432
"002","7am",8.7983907,8.218165,15.26157,40.84801,26.873867
"003","7am",3.5845186,7.742965,28.79407,31.83776,28.040682
"004","7am",10.9578472,10.728691,28.47162,30.40536,19.436488
"005","7am",3.1396685,7.101081,18.50036,35.38875,35.870141
"006","7am",5.4515312,9.546392,19.42526,41.0553,24.521517
"007","7am",5.2465137,5.717262,19.10143,36.11999,33.814799
"008","7am",7.1188417,4.679673,38.53853,34.83821,14.824748
"009","7am",1.8050966,7.13741,27.06324,38.19767,25.79659
"010","7am",2.7017577,12.3066,35.26724,29.69831,20.026093
"011","7am",7.7565997,17.078967,36.69184,31.64771,6.824884
"012","7am",7.2125669,10.91421,29.8761,29.25009,22.747033
"013","7am",5.9792508,13.949161,28.51217,31.31556,20.24386
"014","7am",5.7323499,15.266981,33.64153,26.3249,19.034239
"015","7am",5.4341046,7.376543,25.99811,33.72407,27.467176
"016","7am",1.1152646,11.131119,30.32522,25.17346,32.254943
"017","7am",8.1202277,7.637717,21.74203,30.42243,32.077599
"018","7am",9.6650386,30.470199,24.15278,23.62256,12.089419
"019","7am",11.4841479,23.602058,28.49286,21.81264,14.6083
"020","7am",20.8827226,25.911223,39.19639,10.75133,3.258326
"021","7am",7.3909985,17.783578,26.57511,29.72226,18.528051
"022","7am",5.5691521,7.473999,29.48384,33.87041,23.6026
"023","7am",5.5565138,5.447468,37.42885,28.33265,23.234517
"024","7am",10.2266778,16.484895,40.88241,20.67571,11.730306
"025","7am",7.7760996,4.042432,26.32538,27.11365,34.742441
"026","7am",3.7988336,9.834076,26.95661,26.97998,32.430499
"027","7am",4.6267157,17.206504,27.66303,24.43993,26.06382
"028","7am",0.6995381,3.40463,39.47517,34.45454,21.966126
"029","7am",4.1732697,13.129792,29.97304,28.62594,24.097962
"030","7am",5.1701138,5.906085,31.20116,26.94558,30.777066
"031","7am",6.1453139,8.972339,30.08821,32.28447,22.509661
"032","7am",5.3382193,12.28864,28.19216,32.8497,21.331286
"033","7am",4.6130006,11.293313,30.51987,27.37223,26.201578
"034","7am",4.2866094,16.590457,36.85029,17.94782,24.324825
"035","7am",3.37624,22.512431,26.2945,25.19082,22.626009
"036","7am",5.5641392,14.15373,22.84398,28.71387,28.72428
"037","7am",1.551177,17.578707,30.97419,27.27302,22.6229
"038","7am",5.9810075,3.004476,27.58164,44.1261,19.30678
"039","7am",6.4328214,7.335213,24.88393,33.11615,28.231889
"040","7am",6.132645,12.759262,22.0867,32.87278,26.148619
"041","7am",4.7503408,10.619832,27.92319,23.29428,33.412359
"042","7am",6.3180636,5.597651,29.26138,37.04234,21.780565
"043","7am",2.972915,4.994894,33.94117,31.76664,26.324384
"044","7am",4.322935,7.360882,39.41057,35.64501,13.26061
"045","7am",5.131007,12.678209,33.87116,31.32612,16.993509
"046","7am",3.6967133,6.85763,35.56153,29.63206,24.252069
"047","7am",2.0377885,12.570919,31.71171,36.74113,16.938451
"048","7am",6.0647417,14.967127,32.52336,29.07401,17.370766
"049","7am",5.1725947,9.548617,28.35602,38.64722,18.275547
"050","7am",4.3311181,12.146772,29.80932,35.33628,18.376509
"051","7am",5.7562308,7.382045,30.83137,23.54337,32.486993
"052","7am",4.8770244,11.333731,16.79913,39.59256,27.397556
"053","7am",8.2971456,7.893974,29.61707,32.74642,21.445383
"054","7am",4.7058149,20.985782,36.04852,24.52898,13.730902
"055","7am",3.9849339,10.535457,38.47589,24.43139,22.572327
"056","7am",3.3993294,11.187646,38.87812,33.14659,13.388321
"057","7am",7.3552151,4.909099,24.93444,37.48189,25.319349
"058","7am",6.7830042,19.841933,31.91822,25.59249,15.864353
"059","7am",6.4100636,16.313317,38.81687,27.12292,11.336829
"060","7am",6.3053472,12.19267,45.50973,20.51389,15.478357
"061","7am",4.4565367,18.651747,29.35283,32.62006,14.918826
"062","7am",4.6662699,8.395817,29.10053,31.32255,26.514832
"063","7am",1.5495633,9.132336,30.35188,28.70197,30.264255
"064","7am",3.9422772,7.855447,34.82577,40.45438,12.922129
"065","7am",2.7492145,17.148282,26.42201,38.32626,15.354232
"066","7am",5.0485745,10.61417,26.16255,40.62236,17.552343
"067","7am",4.4079806,23.564971,22.78795,37.65175,11.587348
"068","7am",8.0551316,15.383818,34.04434,35.19172,7.324984
