"district","hour","act1","act2","act3","act4","act5"
"001","8am",4111.2,2011.0313,1726.47714,41.01171,516.76648
"002","8am",2664.076,1443.8777,35.33337,0,423.99393
"003","8am",7287.133,3798.6349,1028.12403,94.27496,1213.48846
"004","8am",3605.439,935.5935,0,53.52111,52.88314
"005","8am",3187.176,864.4696,1165.90732,63.32137,216.18519
"006","8am",6285.972,1625.7403,1921.21742,0,375.13728
"007","8am",4153.561,886.6886,60.5309,73.91516,265.33331
"008","8am",2353.225,163.1291,0,0,0
"009","8am",4811.396,5638.4774,3243.01305,106.47801,366.11466
"010","8am",3611.93,1329.2723,217.22303,0,118.404
"011","8am",4789.676,3301.3777,102.09628,65.37054,295.6039
"012","8am",5362.011,856.8433,34.44232,42.06334,0
"013","8am",3591.072,3845.8497,0,116.66297,66.72584
"014","8am",6153.711,1533.6001,41.28761,158.12363,169.58274
"015","8am",2708.871,216.3359,264.28409,0,41.4239
"016","8am",2628.005,996.6193,183.02473,98.59793,68.75377
"017","8am",3847.519,2488.0397,2072.20982,78.34437,234.0883
"018","8am",7359.899,2263.276,47.74699,0,180.92592
"019","8am",3728.777,3829.0395,1503.03825,263.36637,621.33094
"020","8am",4328.696,975.787,0,102.27613,202.05592
"021","8am",3154.502,194.8333,0,0,0
"022","8am",8134.932,5136.5662,2309.64266,0,550.12218
"023","8am",3419.983,4579.5419,1562.72997,37.23552,177.29705
"024","8am",3767.517,1408.9446,47.13029,161.49986,86.10363
"025","8am",4225.503,3619.1389,8644.22743,0,291.1082
"026","8am",4032.732,1216.0456,145.8772,0,235.07836
"027","8am",3266.339,7323.7163,462.26075,97.87014,357.89213
"028","8am",5350.756,4757.5049,1419.6818,79.26637,181.3506
"029","8am",4220.912,2700.9131,281.84989,85.95126,263.70918
"030","8am",2789.128,1093.36,902.15768,0,217.55818
"031","8am",3997.885,1858.0044,0,173.37664,70.42583
"032","8am",4431.029,4577.4807,260.22162,176.54167,105.04001
"033","8am",5287.854,2235.4464,1350.06895,227.98923,454.9097
"034","8am",1700.735,1520.4814,30.93318,52.41527,42.39144
"035","8am",3569.9,3643.9119,214.50222,322.72646,129.69941
"036","8am",3476.978,1109.9554,52.12785,211.32929,162.50487
"037","8am",4638.513,2107.3344,42.49162,0,139.45822
"038","8am",2985.009,639.8936,0,218.29484,89.11122
"039","8am",2340.45,845.2004,48.81917,52.52512,43.10438
"040","8am",6387.257,2927.6699,994.88496,136.35408,593.83555
"041","8am",3063.847,1378.7424,221.22637,0,198.81502
"042","8am",1732.183,478.3388,165.51556,62.0876,30.94051
"043","8am",4005.511,2152.6454,307.7912,189.65103,117.96599
"044","8am",2906.03,1234.8357,79.49744,111.80403,196.78518
"045","8am",3327.488,664.0109,0,0,138.5261
"046","8am",3208.444,565.093,0,27.16624,205.65456
"047","8am",3660.44,1847.972,0,0,20.89644
"048","8am",3519.377,708.9427,0,42.76729,68.37061
"049","8am",2693.311,436.151,0,125.4877,97.04629
"050","8am",1657.667,378.4331,0,0,22.15005
"051","8am",1499.883,436.8231,0,52.88116,57.28884
"052","8am",2638.982,1065.9294,0,0,66.30866
"053","8am",3611.686,508.9292,0,0,35.64749
"054","8am",2890.396,1675.1045,289.98096,0,234.6511
"055","8am",2706.232,634.5422,71.82198,35.42684,202.1013
"056","8am",5178.302,1179.4601,70.18521,155.18841,55.1768
"057","8am",2160.92,603.4474,29.52399,0,44.62886
"058","8am",4210.751,740.8268,44.51998,33.05923,44.75592
"059","8am",7592.503,1718.569,0,282.58423,351.5773
"060","8am",4229.132,1738.627,1468.90502,0,92.80318
"061","8am",4746.599,1404.8229,38.04563,180.03747,150.88081
"062","8am",4331.824,1345.0623,0,0,75.70931
"063","8am",1856.693,403.6158,0,0,51.74596
"064","8am",3886.314,606.5362,0,76.55305,124.31673
"065","8am",4213.005,1567.9976,247.21735,0,92.01569
"066","8am",4123.682,844.3297,0,0,127.70119
"067","8am",5004.375,1929.7759,0,0,262.34929
"068","8am",4758.768,1344.2462,35.1004,186.36855,197.73959
"069","8am",2963.476,725.3516,0,18.67375,103.8542
