"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"012","7am",10.9829626,17.180519,33.92702,28.048143,9.861351
"013","7am",9.9934629,16.769001,39.50319,26.145372,7.588974
"014","7am",12.5827395,19.292251,37.60413,23.204713,7.316165
"015","7am",11.112848,6.018813,35.53578,31.110296,16.222267
"016","7am",5.0357064,17.470304,32.16005,21.306174,24.027768
"017","7am",11.5905466,10.281618,22.91511,38.157046,17.055676
"018","7am",17.9940045,33.711875,23.72822,16.502303,8.063593
"019","7am",20.4052543,24.418452,28.99967,20.962479,5.214147
"020","7am",38.3052598,27.555115,25.43421,5.552084,3.153326
"021","7am",8.9788077,20.089348,29.4754,29.18698,12.269463
"022","7am",11.7258685,11.380666,34.21618,27.78637,14.890911
"023","7am",6.5710873,13.105135,37.96789,32.117768,10.238122
"024","7am",20.0157511,23.560698,37.03623,14.104141,5.283176
"025","7am",12.3083125,10.869067,32.20312,24.74804,19.871462
"026","7am",4.1382885,12.870379,26.50361,35.135114,21.352607
"027","7am",12.346227,22.801853,25.1263,25.775695,13.94992
"028","7am",1.5550147,6.625971,47.15695,28.854247,15.807814
"029","7am",5.9522841,24.523379,31.76953,27.480068,10.274742
"030","7am",9.1229712,13.773138,33.22985,27.755077,16.11896
"031","7am",8.4168933,14.818234,37.51986,25.946454,13.298555
"032","7am",9.5538984,16.428138,36.73943,25.392614,11.885918
"033","7am",10.4626485,19.949914,36.03989,19.981754,13.565798
"034","7am",8.5654659,19.877543,49.73103,8.351649,13.474312
"035","7am",10.7428169,21.235433,34.5821,18.688289,14.751359
"036","7am",12.1983542,18.864859,36.11093,20.715874,12.109983
"037","7am",6.0682843,23.573696,34.29167,21.415364,14.650986
"038","7am",11.6374703,7.435719,42.75533,30.948324,7.223162
"039","7am",8.0992919,9.892288,39.70499,22.849793,19.453637
"040","7am",11.5877345,16.823428,28.49742,29.957347,13.134067
"041","7am",14.7106084,19.320069,25.04616,22.284361,18.638805
"042","7am",7.7316341,8.307226,47.00755,19.597,17.35659
"043","7am",5.1891686,8.330675,40.01727,34.034279,12.428608
"044","7am",6.9565985,15.2843,33.81803,35.275432,8.665636
"045","7am",8.0162634,19.44004,42.45458,22.483256,7.605866
