"district","hour","educmen1","educmen2","educmen3","educmen4"
"010","6am",2.291229,37.18524,34.45463,26.068905
"011","6am",2.796075,64.99192,23.65369,8.558309
"012","6am",10.000211,45.92023,27.35985,16.719709
"013","6am",11.441642,46.22382,25.67566,16.658882
"014","6am",7.413487,39.59179,29.44839,23.54634
"015","6am",3.502418,33.9443,35.82541,26.72788
"016","6am",6.341281,32.98224,33.09272,27.583757
"017","6am",6.367908,39.7739,19.67135,34.18684
"018","6am",22.656649,40.38496,21.10031,15.858081
"019","6am",17.685679,42.16601,31.16734,8.980971
"020","6am",47.148848,40.49291,11.33944,1.018802
"021","6am",10.699752,30.76339,38.70911,19.82775
"022","6am",8.425557,38.61271,19.81514,33.146593
"023","6am",5.944033,30.06052,34.3115,29.683945
"024","6am",17.100324,60.82245,12.92332,9.153908
"025","6am",0,25.74159,21.91546,52.342948
"026","6am",5.050623,20.24598,22.07362,52.629776
"027","6am",1.308104,52.11147,23.18805,23.392368
"028","6am",2.579948,30.62795,41.82432,24.967785
"029","6am",5.316147,40.80616,34.05399,19.82371
"030","6am",3.21542,28.64295,37.98875,30.152886
"031","6am",17.404225,42.17073,29.20127,11.223774
"032","6am",3.938279,44.68242,34.22464,17.154665
"033","6am",4.743455,52.56547,26.38137,16.309708
"034","6am",6.823786,36.91273,37.0992,19.164286
"035","6am",1.574169,48.85475,26.19021,23.380867
"036","6am",3.486397,37.90768,37.88964,20.716285
"037","6am",5.58441,45.17751,31.47048,17.767594
"038","6am",7.739229,34.31613,36.64696,21.297679
"039","6am",1.827436,28.61298,47.19567,22.363915
"040","6am",6.380669,29.05986,32.5257,32.03377
"041","6am",6.03515,41.7502,26.57085,25.643807
"042","6am",5.655066,37.45164,36.71951,20.173787
"043","6am",19.372269,33.03404,30.79386,16.799834
"044","6am",11.902379,46.42863,31.86145,9.807535
"045","6am",1.933407,61.89134,21.55026,14.624989
"046","6am",4.043552,52.33384,26.58232,17.04029
"047","6am",7.079789,41.50659,38.78131,12.632316
"048","6am",14.49838,38.27915,31.17266,16.049808
"049","6am",4.17391,47.69131,30.21531,17.919472
"050","6am",7.759593,46.01787,34.28648,11.936064
"051","6am",10.074887,41.22455,27.50813,21.192438
"052","6am",7.491404,35.9412,24.94327,31.624129
"053","6am",15.163026,35.91649,27.9761,20.94439
"054","6am",8.815574,53.61195,27.7114,9.861079
"055","6am",6.941096,45.18745,34.24651,13.624948
"056","6am",9.598999,43.99745,36.61289,9.790665
"057","6am",2.252594,30.19281,38.996,28.558595
"058","6am",9.51552,65.03366,15.71418,9.736637
"059","6am",13.728679,53.89037,24.15116,8.229791
"060","6am",22.965115,46.0656,28.52437,2.444912
"061","6am",11.644833,49.93993,26.42164,11.9936
"062","6am",1.950409,50.84823,24.03226,23.169105
"063","6am",2.414642,41.98268,36.1115,19.491182
"064","6am",6.715965,47.17461,30.02456,16.084863
"065","6am",15.200339,43.59988,28.67893,12.520845
"066","6am",6.20212,49.37249,22.44985,21.975537
"067","6am",11.349095,48.3263,29.05997,11.264636
"068","6am",8.630106,52.02666,34.49761,4.845622
"069","6am",9.598419,47.58839,31.30054,11.512649
"070","6am",10.032327,49.16677,32.61644,8.184463
"071","6am",16.897831,65.95146,14.39936,2.751341
"072","6am",16.28419,55.03323,21.39823,7.284353
"073","6am",9.285848,56.18053,19.51123,15.022392
"074","6am",14.332899,55.16337,19.91548,10.588252
"075","6am",14.460269,58.20411,18.59122,8.744395
"076","6am",23.698598,56.61582,14.71836,4.967217
"077","6am",16.236374,28.62381,38.95672,16.183093
"078","6am",16.941127,36.48254,32.23912,14.337207
"079","6am",16.351432,45.33693,24.941,13.370643
"080","6am",24.091153,29.77062,26.39918,19.739047
"001","7am",2.301942,26.32596,20.8984,50.473693
"002","7am",0,19.02076,46.73489,34.244359
"003","7am",3.693408,29.48666,33.15035,33.669583
"004","7am",6.616913,33.29201,32.00663,28.08445
"005","7am",2.947468,23.22741,31.40304,42.422082
"006","7am",11.231822,22.64827,27.94624,38.173666
"007","7am",0,19.79647,35.0755,45.128025
"008","7am",13.088322,24.57918,33.36281,28.969682
"009","7am",4.120443,30.75201,30.48255,34.644998
"010","7am",2.443689,39.66761,33.24112,24.64758
"011","7am",2.769048,62.71529,26.99978,7.515878
"012","7am",8.829199,47.48404,28.0209,15.66586
"013","7am",13.012722,45.78334,28.16455,13.039385
"014","7am",10.258938,42.37307,26.87601,20.49198
"015","7am",3.509175,31.8624,38.01634,26.612088
"016","7am",7.404539,34.11196,27.83464,30.648859
"017","7am",5.650322,35.25118,25.93727,33.161226
"018","7am",21.680995,41.52392,21.84031,14.95478
"019","7am",13.416968,36.90812,33.43828,16.236627
"020","7am",42.170863,40.6841,16.08612,1.058916
"021","7am",12.108536,34.44068,33.50895,19.941825
"022","7am",7.143959,36.42504,21.98503,34.445972
"023","7am",5.99487,33.54722,33.1576,27.300308
"024","7am",15.040852,62.49184,13.66729,8.800023
"025","7am",3.21594,29.73619,25.2544,41.793469
"026","7am",4.862457,25.69538,24.6625,44.779659
"027","7am",5.573245,48.52676,26.8924,19.007594
"028","7am",5.487826,32.65831,37.528,24.325863
"029","7am",5.675675,42.64284,34.29758,17.383903
"030","7am",3.887736,32.35905,34.08413,29.66909
"031","7am",16.948791,41.24128,31.41654,10.393388
"032","7am",4.590711,43.40549,38.50308,13.500714
"033","7am",4.966315,54.14194,26.29473,14.597017
"034","7am",7.085666,38.22515,35.73711,18.952068
"035","7am",3.209704,52.24436,24.41684,20.129091
"036","7am",3.814076,37.38702,36.56104,22.237858
"037","7am",5.29532,47.75496,29.32807,17.621643
"038","7am",9.124918,33.81908,38.04763,19.008374
"039","7am",2.111522,31.67269,46.13055,20.085236
"040","7am",6.86202,31.00911,32.4944,29.634472
"041","7am",8.668584,41.71436,25.65711,23.959944
"042","7am",6.823837,39.35406,32.17345,21.648651
"043","7am",14.472845,35.27426,33.02997,17.22293
"044","7am",14.670101,45.69323,27.54715,12.089525
"045","7am",3.165188,62.06446,21.12285,13.647505
"046","7am",5.012541,53.03762,28.69553,13.254315
"047","7am",6.679189,42.08144,41.48087,9.758505
"048","7am",14.350109,38.03867,30.52168,17.08954
"049","7am",5.689287,53.00562,22.15957,19.145524
"050","7am",9.085198,46.66898,33.0511,11.194725
"051","7am",8.011722,49.1208,24.23468,18.632801
"052","7am",9.374371,39.32766,22.74526,28.552712
"053","7am",17.722234,43.91575,21.74719,16.614831
"054","7am",10.927115,52.18135,28.68489,8.206644
"055","7am",6.995054,43.19997,40.30371,9.501269
"056","7am",10.368802,45.17822,34.29107,10.161914
"057","7am",2.824215,34.39289,35.39423,27.388659
"058","7am",9.710275,66.25845,16.2527,7.778569
"059","7am",14.665781,56.42956,21.5483,7.356359
"060","7am",19.27107,44.39059,30.8436,5.494743
"061","7am",13.695279,50.00711,25.66021,10.637403
"062","7am",2.432241,49.21495,25.099,23.253813
"063","7am",2.815782,40.84901,36.41669,19.918516
"064","7am",8.028492,45.38244,28.8304,17.758667
"065","7am",13.400877,47.65293,26.83136,12.114831
"066","7am",7.580879,52.06859,17.61798,22.732553
"067","7am",13.984084,53.06092,22.81536,10.139632
"068","7am",10.168892,53.61595,31.11292,5.102228
"069","7am",11.455461,47.23883,28.66519,12.640521
"070","7am",11.241572,50.42734,31.60324,6.727842
"071","7am",17.780168,64.23206,15.09277,2.895004
"072","7am",16.005741,53.84409,22.71737,7.432803
"073","7am",10.528344,52.78788,22.18255,14.501232
"074","7am",15.362246,50.09837,21.54212,12.99727
"075","7am",12.817256,62.34927,15.60896,9.224515
"076","7am",23.479012,55.31603,17.12284,4.082118
"077","7am",19.085999,28.70433,34.96539,17.244288
"078","7am",16.096645,40.43896,29.1109,14.3535
"079","7am",17.701137,44.58822,24.36235,13.348291
"080","7am",25.779386,26.483,27.22742,20.510192
"001","8am",5.607038,24.6884,24.00757,45.697
"002","8am",1.293152,23.74326,43.31626,31.647336
"003","8am",4.83896,32.52118,32.27929,30.360569
"004","8am",7.517752,37.54599,30.64275,24.293504
"005","8am",4.174433,25.83822,30.37313,39.614224
"006","8am",12.826788,25.92114,27.52273,33.729339
"007","8am",0,24.67702,36.90474,38.418244
"008","8am",14.303904,24.99549,36.16015,24.540455
"009","8am",4.30674,30.51823,35.16845,30.006575
"010","8am",2.401172,43.99413,28.10268,25.502015
"011","8am",2.536478,56.79264,28.12732,12.54356
"012","8am",10.093023,50.47784,24.1843,15.244829
"013","8am",8.956942,43.55191,31.70604,15.785112
"014","8am",9.287046,47.51279,25.51428,17.685889
"015","8am",3.981779,38.11166,37.18075,20.725815
"016","8am",10.670618,37.62506,26.78486,24.919462
"017","8am",5.1012,34.9747,26.46842,33.455685
"018","8am",20.510287,41.43442,26.30613,11.749165
"019","8am",11.651256,33.25673,32.98043,22.111589
