"district","hour","resarea1","resarea2","resarea3"
"066","6am",6873.68888,43.10973,46.37829
"067","6am",10470.15482,218.02654,37.60901
"068","6am",7720.18607,65.75331,0
"069","6am",4339.33595,25.77596,0
"070","6am",76.10889,11630.18448,17.60338
"071","6am",0,9848.16771,0
"072","6am",63.59414,7203.79658,0
"073","6am",0,11823.43405,39.01573
"074","6am",314.34402,9783.47475,79.16171
"075","6am",244.97118,12080.51715,46.09082
"076","6am",0,5770.39138,0
"077","6am",8820.46244,0,0
"078","6am",9171.28284,0,0
"079","6am",10704.81096,0,0
"080","6am",7310.73242,0,46.97672
"001","7am",76.61134,475.17406,6666.30661
"002","7am",0,156.98315,3560.3611
"003","7am",350.11305,995.02447,11871.89851
"004","7am",175.90556,120.87687,4882.19853
"005","7am",226.0502,544.31371,4778.54747
"006","7am",347.61094,539.94784,10616.88555
"007","7am",0,208.21297,6290.08538
"008","7am",0,0,2826.79615
"009","7am",1214.31928,1330.96495,9447.23089
"010","7am",147.48633,60.37053,5153.56858
"011","7am",304.82036,408.40519,7139.2714
"012","7am",0,122.60086,7581.25345
"013","7am",268.86465,874.59075,6114.54734
"014","7am",211.81864,102.06243,8103.71857
"015","7am",125.46862,0,3704.26513
"016","7am",0,260.521,4407.75362
"017","7am",433.33401,665.3192,6883.55812
"018","7am",171.19926,259.71399,9993.97269
"019","7am",601.66517,828.99894,5619.53952
"020","7am",158.07595,43.90211,5978.05317
"021","7am",115.37893,0,4494.20975
"022","7am",907.56004,1114.20607,13428.63489
"023","7am",460.2425,698.75046,6559.80497
"024","7am",260.67554,237.86905,5464.5415
"025","7am",918.20065,728.02859,10790.17958
"026","7am",154.01024,269.0644,6324.75619
"027","7am",808.69355,703.73251,5683.71593
"028","7am",379.29763,581.71971,8974.43698
"029","7am",247.88908,6319.63728,685.59238
"030","7am",91.42134,4410.81929,490.72787
"031","7am",6727.36018,58.04989,109.08033
"032","7am",6865.7785,822.61629,598.55445
"033","7am",388.73153,9346.946,556.20993
"034","7am",127.47412,2257.80446,316.03111
"035","7am",751.08823,6387.89558,1008.12507
"036","7am",133.9203,5582.7368,302.86493
"037","7am",403.00318,7267.78321,355.6818
"038","7am",74.38223,4134.68309,164.31581
"039","7am",0,4262.19022,81.81852
"040","7am",405.16309,9063.73736,483.61866
"041","7am",141.33068,4828.06712,276.87384
"042","7am",44.54079,2905.43903,62.47972
"043","7am",136.70392,6258.29223,225.92093
"044","7am",4070.27451,0,43.25163
"045","7am",96.437,5185.91722,0
"046","7am",170.14219,4604.35648,0
"047","7am",539.193,5190.65606,371.56355
