"ID_SEC";"ZONAGE_SEC"
"SANTIAGO_2012_580";3
"SANTIAGO_2012_581";3
"SANTIAGO_2012_596";3
"SANTIAGO_2012_584";3
"SANTIAGO_2012_615";3
"SANTIAGO_2012_612";3
"SANTIAGO_2012_618";3
"SANTIAGO_2012_619";3
"SANTIAGO_2012_623";3
"SANTIAGO_2012_630";3
"SANTIAGO_2012_648";3
"SANTIAGO_2012_644";3
"SANTIAGO_2012_651";3
"SANTIAGO_2012_655";3
"SANTIAGO_2012_662";3
"SANTIAGO_2012_667";2
"SANTIAGO_2012_681";2
"SANTIAGO_2012_685";2
"SANTIAGO_2012_705";2
"SANTIAGO_2012_696";2
"SANTIAGO_2012_689";2
"SANTIAGO_2012_719";2
"SANTIAGO_2012_706";2
"SANTIAGO_2012_725";2
"SANTIAGO_2012_699";2
"SANTIAGO_2012_697";2
"SANTIAGO_2012_701";2
"SANTIAGO_2012_703";2
"SANTIAGO_2012_710";2
"SANTIAGO_2012_713";2
"SANTIAGO_2012_727";1
"SANTIAGO_2012_737";1
"SANTIAGO_2012_738";1
"SANTIAGO_2012_751";1
"SANTIAGO_2012_753";1
"SANTIAGO_2012_758";1
"SANTIAGO_2012_772";1
"SANTIAGO_2012_762";1
"SANTIAGO_2012_763";1
"SANTIAGO_2012_764";1
"SANTIAGO_2012_769";1
"SANTIAGO_2012_770";1
"SANTIAGO_2012_773";1
"SANTIAGO_2012_783";1
"SANTIAGO_2012_785";1
"SANTIAGO_2012_793";1
"SANTIAGO_2012_799";1
"SANTIAGO_2012_805";1
"SANTIAGO_2012_806";1
"SANTIAGO_2012_821";1
"SANTIAGO_2012_820";1
"SANTIAGO_2012_837";1
"SANTIAGO_2012_838";1
"SANTIAGO_2012_839";1
"SANTIAGO_2012_848";1
"SANTIAGO_2012_849";1
"SANTIAGO_2012_857";1
"SANTIAGO_2012_858";1
"SANTIAGO_2012_860";1
"SAO PAULO_2017_d080";4
"SAO PAULO_2017_d067";4
"SAO PAULO_2017_d009";4
"SAO PAULO_2017_d057";4
"SAO PAULO_2017_d010";4
"SAO PAULO_2017_d014";4
"SAO PAULO_2017_d049";4
"SAO PAULO_2017_d007";4
"SAO PAULO_2017_d026";4
"SAO PAULO_2017_d070";4
"SAO PAULO_2017_d008";3
"SAO PAULO_2017_d054";3
"SAO PAULO_2017_d001";3
"SAO PAULO_2017_d092";3
"SAO PAULO_2017_d079";3
"SAO PAULO_2017_d053";3
"SAO PAULO_2017_d034";3
"SAO PAULO_2017_d044";3
"SAO PAULO_2017_d063";3
"SAO PAULO_2017_d061";3
"SAO PAULO_2017_d006";3
"SAO PAULO_2017_d002";3
"SAO PAULO_2017_d048";3
"SAO PAULO_2017_d090";3
"SAO PAULO_2017_d064";3
"SAO PAULO_2017_d073";3
"SAO PAULO_2017_d039";3
"SAO PAULO_2017_d041";2
"SAO PAULO_2017_d003";1
"SAO PAULO_2017_d062";2
"SAO PAULO_2017_d011";3
"SAO PAULO_2017_d029";3
"SAO PAULO_2017_d071";3
"SAO PAULO_2017_d021";3
"SAO PAULO_2017_d050";3
"SAO PAULO_2017_d013";3
"SAO PAULO_2017_d051";3
"SAO PAULO_2017_d083";2
"SAO PAULO_2017_d084";3
"SAO PAULO_2017_d038";3
"SAO PAULO_2017_d094";3
"SAO PAULO_2017_d091";3
"SAO PAULO_2017_d088";3
"SAO PAULO_2017_d082";3
"SAO PAULO_2017_d060";3
"SAO PAULO_2017_d018";3
"SAO PAULO_2017_d028";3
"SAO PAULO_2017_d065";3
"SAO PAULO_2017_d089";2
"SAO PAULO_2017_d036";3
"SAO PAULO_2017_d076";2
"SAO PAULO_2017_d043";2
"SAO PAULO_2017_d086";2
"SAO PAULO_2017_d047";2
"SAO PAULO_2017_d035";2
"SAO PAULO_2017_d020";3
"SAO PAULO_2017_d087";3
"SAO PAULO_2017_d004";3
"SAO PAULO_2017_d093";3
"SAO PAULO_2017_d005";3
"SAO PAULO_2017_d024";3
"SAO PAULO_2017_d058";3
"SAO PAULO_2017_d046";2
"SAO PAULO_2017_d031";2
"SAO PAULO_2017_d025";2
"SAO PAULO_2017_d032";2
"SAO PAULO_2017_d077";2
"SAO PAULO_2017_d033";3
"SAO PAULO_2017_d069";3
"SAO PAULO_2017_d027";3
"SAO PAULO_2017_d095";3
"SAO PAULO_2017_d074";3
"SAO PAULO_2017_d078";3
"SAO PAULO_2017_d075";3
"SAO PAULO_2017_d015";3
"SAO PAULO_2017_d037";3
"SAO PAULO_2017_d022";3
"SAO PAULO_2017_d016";2
"SAO PAULO_2017_d059";2
"SAO PAULO_2017_d081";2
"SAO PAULO_2017_d023";2
"SAO PAULO_2017_d030";2
"SAO PAULO_2017_d056";2
"SAO PAULO_2017_d052";1
"SAO PAULO_2017_d072";3
"SAO PAULO_2017_d045";2
"SAO PAULO_2017_d042";2
"SAO PAULO_2017_d019";2
"SAO PAULO_2017_d055";3
"SAO PAULO_2017_d085";3
"SAO PAULO_2017_d017";2
"SAO PAULO_2017_d096";3
"SAO PAULO_2017_d066";2
"SAO PAULO_2017_d068";2
"SAO PAULO_2017_d040";3
"SAO PAULO_2017_d012";3
"SAO PAULO_2017_z343";1
"SAO PAULO_2017_z344";1
"SAO PAULO_2017_z345";1
"SAO PAULO_2017_z347";1
"SAO PAULO_2017_z348";1
"SAO PAULO_2017_z350";1
"SAO PAULO_2017_z351";1
"SAO PAULO_2017_z355";1
"SAO PAULO_2017_z356";1
"SAO PAULO_2017_z357";1
"SAO PAULO_2017_z358";1
"SAO PAULO_2017_z359";1
"SAO PAULO_2017_z360";1
"SAO PAULO_2017_z361";1
"SAO PAULO_2017_z362";2
"SAO PAULO_2017_z363";2
