OBJECTID,SECT_EGT,Shape_Leng,Shape_Area,CENTROID_X,CENTROID_Y
33,7803,50276.0074128,85418942.6432,581622.28209,2435546.73817
34,7804,39564.8403235,34138982.4743,580824.372027,2443075.24114
35,7805,62139.0516963,123017612.717,573411.191224,2436460.90871
36,7806,90225.1506383,212342800.147,565108.777108,2441193.0627
37,7807,20391.327167,20717686.6326,552959.376227,2443425.21641
38,7808,138198.270849,436487520.311,548558.023846,2442363.59856
39,7809,71463.0196047,145352558.757,567435.486881,2426289.82184
40,7810,100604.048542,275906035.445,553224.286235,2421677.73059
41,7811,52604.5604575,57398165.7962,580263.340801,2426832.69845
42,7812,49173.7622515,72487797.7734,585369.344645,2420684.4113
43,7813,70414.587757,113450741.944,573765.160091,2413040.34145
44,7814,80131.2173309,180037436.241,570462.48208,2405122.12873
45,7815,131630.684797,435053677.252,560332.808894,2401111.51473
46,7816,43931.5227816,69879578.1766,577198.259078,2418689.11023
47,9101,31821.7395788,30987028.9942,605988.810343,2401640.51711
48,9102,123164.049682,398147239.982,580127.278629,2388004.94126
49,9103,157957.252621,646880997.879,594889.673627,2378231.54888
50,9104,27230.3952978,23258267.1589,597825.771155,2404789.74968
51,9105,76758.1123754,150493119.37,594251.873442,2399958.65226
52,9106,80751.5576156,135919693.363,606906.878331,2395304.96218
53,9107,32107.8922388,47995012.6925,608290.640712,2410896.07572
54,9108,51850.0136785,55176540.7119,612197.934244,2406389.74441
55,9109,27125.2667452,24093881.4672,602277.34819,2411704.53327
56,9110,20232.1183235,22252445.2455,602545.888248,2406133.61138
57,9111,30057.2945781,28812584.8373,597975.363973,2413538.17015
58,9112,35682.1399091,41629199.0691,595343.418799,2409451.80994
59,9113,42454.5961521,59853429.9316,590480.099517,2414921.6279
60,9114,68423.1235698,133474774.794,583581.38865,2406238.10912
61,9201,20233.7977689,19579659.8664,597090.558596,2436830.17278
62,9202,13814.22753,9832151.28605,593697.493293,2435885.51179
63,9203,15152.9312136,8894007.72818,596163.974491,2432821.53543
64,9204,18945.5065226,13982255.5106,590780.945016,2433224.6689
65,9205,13936.1200819,7509796.07642,593531.502551,2432662.1215
66,9206,19551.514462,18308669.1293,588957.767578,2430122.09398
67,9207,23036.1917944,27683300.2406,589254.119561,2425868.32829
68,9208,10113.795127,5947499.32461,592847.296406,2426472.62516
69,9209,16061.1286307,9703638.20016,596176.638389,2424657.60594
70,9210,26047.2372624,24736179.6887,596252.475215,2418468.24469
71,9211,11893.9906803,9596454.63592,597132.192666,2422161.50058
72,9212,17549.1615862,19265125.6034,592914.852876,2422432.3515
73,9302,16794.7555551,12142630.5704,614689.358047,2429411.72098
74,9303,19950.6242985,13891458.2514,606473.114172,2433599.51835
75,9304,18270.5863451,15038681.4876,607703.733992,2430121.81736
76,9305,17032.2248274,13614373.5302,610439.075437,2433481.01239
77,9306,23231.5068688,19106865.608,613203.400042,2431534.80345
78,9307,24380.6864643,24937873.428,616226.141183,2435208.97454
79,9308,17948.0461244,16514011.7715,611490.346322,2438636.07515
80,9309,30865.5376803,39712500.1918,615335.694981,2440945.1071
81,9310,18784.0078841,21245692.4757,607985.129881,2437473.73753
82,9311,39213.4264948,25192982.467,602127.378094,2438913.31104
83,9312,24485.1269183,23053977.9124,601746.680186,2435894.16446
84,9402,17698.6796827,18010959.4483,604072.902715,2421976.94974
85,9403,15246.6762646,13661754.3943,600785.812584,2422211.69152
86,9404,20251.7543142,18106512.6672,604597.297555,2417445.91319
87,9405,16010.1708083,16027696.9609,600507.730615,2418175.12755
88,9406,19722.5451738,17039514.9052,609479.39748,2420191.11589
89,9407,19630.7301818,12442513.7731,606751.540709,2423191.00639
90,9408,16757.4864348,13607872.6224,611258.394683,2422706.54767
91,9409,21920.9869708,15320204.6579,610240.60251,2427424.89273
92,9410,27960.42496,26487388.9511,613378.098755,2417294.29808
93,9411,28267.8185586,23275450.7074,607310.329865,2415667.68915
94,9412,19897.0197106,13033369.0503,615875.427667,2422113.85805
95,9413,16321.6203473,11351750.2849,613290.439169,2424341.32795
96,9414,44422.8777194,40268153.1374,616682.653354,2416062.31866
97,9501,32635.8750306,44508791.1873,577505.515481,2448317.62074
98,9502,32442.120771,38587943.5444,582551.091638,2450293.30336
99,9503,71876.8077761,165522040.589,601145.357443,2457571.93628
100,9504,64793.8065744,102073011.719,597805.315011,2450484.59601
101,9505,59820.6773511,111291108.45,612235.597864,2450078.57418
102,9506,34055.6348062,38334998.1516,606823.168123,2444487.74641
