CODE_SEC,CENTROID_X,CENTROID_Y,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
7511,2.307467124,48.88733398,20706.0143415563,21421.9368792705,19906.5429769647,18877.2057124764,18807.5726643066,20878.1851385256,21148.5687269497,19641.9409092477,19372.2672454107,20998.4373848248,20069.5803792769,20778.5741468972,20261.0548030246,19846.000366033,20363.5197099056,19982.0053630527,19982.0053630527,17854.410200782,18331.3862750151,17813.8669311425,18765.1644682516,18914.9076856754,17943.443347555,19654.5925969742
7512,2.348693165,48.89273215,31584.1030758762,33878.0351359874,35376.6079780275,35763.4743962032,36282.4750691894,37980.5350621288,31804.69246324,29125.3297273716,27413.7951963957,26143.7651407985,23097.1287591842,26743.432825085,26469.1764791406,28144.4282875885,27315.7365126938,27030.1985527441,27784.6135191437,27495.1369233852,27847.5278526325,27847.5278526325,26955.27938674,26885.0336544833,30556.3760264361,29119.9832274213
7513,2.384676808,48.88686627,36592.6338658368,35905.9609516545,37561.1077458801,38060.3206228355,33497.5325420526,30312.2856683822,30667.4545586859,29071.7009477636,35363.437213128,36281.6441106879,41385.3262577291,40180.2402336488,41413.0756417375,43674.5207772897,43589.4425346027,41961.2566507872,42460.2215046606,42460.2215046606,42537.2637850465,42537.2637850465,42205.8481218347,38753.4148470911,40443.8965892111,35161.3550384411
7514,2.400797081,48.86317784,35292.8866914398,33631.5161625296,29479.4626235879,32590.9417479871,32583.0474553317,32117.7471530696,31414.3585546644,32533.8086080363,31677.2702039058,31546.5728871802,31118.2866098241,33564.6468938175,33564.6468938175,33078.5265212091,33506.0077074641,32714.1404120126,33742.4231706481,35870.0183329187,36910.8938594236,36910.8938594236,36172.7986493368,35660.8847878021,35390.3580380357,35876.89384638
7701,2.728734565,48.84691833,20634.1737249627,21382.1915904771,21644.9812184508,23487.8162007596,24369.7431165147,22923.7388871651,21021.3391693588,18742.9211845359,18756.5657871725,16887.7222879061,14166.0268532417,14129.4970533866,14129.4970533866,14302.9593672744,14771.4406643854,14771.4406643854,14771.4406643854,14771.4406643854,14771.4406643854,14771.4406643854,15041.390263797,15833.2490731968,16797.7368601107,19328.7372192217
7702,2.577920368,48.83679672,19566.8123965782,19171.2789299401,19732.2426973161,19479.340289839,18311.9983128594,21716.4947147704,21603.4031429325,19086.84395742,20351.5250862233,18749.178238817,21618.9790221515,23178.0438865377,23314.3167793761,23314.3167793761,22794.1820937566,22794.1820937566,22794.1820937566,22414.4734313128,22414.4734313128,21817.0395343324,21534.3140013831,21567.4909009204,21082.3405164589,20277.6737104532
7703,2.690078103,49.00092894,16996.4831508158,19052.8698422606,15599.4752089127,15634.9546548461,15172.9918002799,16772.8946574326,15772.9933147547,16341.8917944015,15968.1798793752,15160.9663183045,16472.2583371113,16316.2960759336,16339.6982564804,16001.9607812792,15333.5480403964,15333.5480403964,15333.5480403964,15009.0828868766,14954.4880864572,14954.4880864572,15313.5212560765,14788.9055949483,15352.7896192662,17325.5185008099
7704,2.85780513,48.95341017,25295.433959545,24801.114534292,24706.4920851309,24199.3820126538,21980.2449956146,23619.1157076192,26756.8123500014,24675.1910459309,23750.261343682,26123.3906036951,26631.9283408518,26631.9283408518,26631.9283408518,26631.9283408518,26631.9283408518,26631.9283408518,26631.9283408518,26631.9283408518,26467.2157612624,26679.7105054204,26150.7624132201,24274.8308932561,25492.8004621792,26279.4280744749
7705,3.067334108,48.97268317,7760.42096045862,8562.91807960612,8891.79744247145,8814.80496679002,8157.75724722719,8066.34476725332,8313.77753103136,8891.50061696852,8814.25568239695,10124.9322213684,12594.2210455673,12594.2210455673,12861.9572106956,13083.5418727036,13083.5418727036,13083.5418727036,13083.5418727036,13083.5418727036,13320.3509377199,13320.3509377199,12347.6391766569,11852.2510621099,10153.0747228183,7631.52122705212
7706,3.187905108,48.80592021,11611.1203921503,11504.6153430984,11311.21161303,10630.805604701,11126.6156823762,11865.7868420699,12090.6109963756,12210.0228951247,13291.6968253384,14611.9400017395,14720.9700823968,14354.8386271669,14489.4018966685,14489.4018966685,14489.4018966685,14489.4018966685,14489.4018966685,14489.4018966685,14483.0122518669,14156.500118047,13727.2589548846,12178.5384209073,12848.938958183,11487.3899914119
7707,3.220405892,48.55640352,17524.1080350662,18017.5866557493,17731.6888598246,19845.9022946648,19845.9022946648,17417.9232411253,17515.3314094828,17562.4047662249,18510.2865398999,20229.7225757606,19955.1551560984,21732.988794009,21963.8413660524,21760.3056078219,21760.3056078219,21760.3056078219,21760.3056078219,21760.3056078219,21269.6683389347,21269.6683389347,21147.3314314598,20530.8694933684,18974.7706141411,18725.6600535485
7708,2.712636345,48.87047112,7816.29547980093,9968.35323878928,7825.60380296165,7669.67159321186,9569.94275909295,9500.5508481103,9347.62736866266,12043.974785177,13702.1217663527,13657.353889477,10067.5659472663,12104.340424264,12499.9371005202,12430.3317885783,11791.5947975169,11791.5947975169,11791.5947975169,11791.5947975169,11017.1444796306,11017.1444796306,9567.00651008713,9171.4098338309,8361.46101510917,8401.50871645326
7709,2.818884421,48.7106387,12488.8205399294,12659.3452734055,14194.9622555081,14125.53139187,12698.0180115511,13712.8361017018,14625.9751207025,14924.1002336598,13934.66578965,14588.7840266898,16643.7469664442,15715.1729127161,15715.1729127161,15715.1729127161,15715.1729127161,15715.1729127161,15715.1729127161,15715.1729127161,15715.1729127161,15067.5219977525,16295.3012926742,14535.4398323686,13201.6032928927,13089.6220631874
7710,2.63919973,48.76100129,7831.76972115191,7458.53262502544,7598.19930786467,6713.84258268334,7834.41955353813,8091.15742764634,8343.43071627192,8281.4216716312,8133.3268613379,8548.2189083556,8188.60409669133,9023.76964980771,9023.76964980771,9023.76964980771,9023.76964980771,9023.76964980771,9023.76964980771,9023.76964980771,9023.76964980771,9624.57117306574,9327.76034178425,7982.141402696,7742.1374088043,8389.78832376791
7711,2.798477279,48.56239713,24410.4162564639,24223.4937035503,24621.4373065622,23662.9928008409,25723.8672245626,24530.1845763211,22041.225136612,23473.0063098575,20341.768672716,23546.8360525586,23161.7463466324,24453.2010105585,24015.4557602489,25684.6387145861,24015.4557602489,24234.0667727951,24015.4557602489,24015.4557602489,23581.0284535767,22980.2269303187,21794.5206639034,21532.2478306947,22436.3126627732,23089.7405854801
7712,2.56860011,48.48736701,13076.5176761172,12644.7513285174,11782.9785209636,11528.1223983072,10721.0358912254,10980.9455288739,13037.9954819039,13183.6864712017,13975.7540289428,13831.334038868,14377.9829942308,13278.0425742142,13342.1561346078,13342.1561346078,14117.9579695217,14117.9579695217,14117.9579695217,14117.9579695217,13162.3809633336,12911.4845881448,12911.4845881448,12724.6590444988,11793.6468673937,13085.8297835322
7713,2.964379425,48.34978783,10532.6094891445,10742.4759711371,10720.3081625087,9985.24968551845,10472.0546841835,11260.1188460561,11256.9754496579,11287.8874753993,11345.3085779,11573.3165221836,11692.8843833852,11699.3749626124,11699.3749626124,12113.9977283232,12113.9977283232,12113.9977283232,12113.9977283232,12190.0419872516,11847.2127394527,11706.9019510576,11368.7142350246,11050.4249365179,11001.0588622168,10517.6167392536
7714,2.667877245,48.36469887,13241.6175886539,13241.6175886539,13191.4851203076,13013.6267006521,13033.6696347036,11992.136352977,12843.1892465127,12512.9681122763,12430.2917453082,13625.6758957556,14058.6265711961,14340.1720006063,14340.1720006063,14341.269323338,14202.4189704878,14202.4189704878,14202.4189704878,14202.4189704878,13777.235592292,14240.4134363178,14240.4134363178,13755.7722628821,12982.3410832954,13034.2120152177
7715,2.7102222,48.21516882,10007.5217246392,10007.5217246392,10516.445334001,10233.4448723121,9965.95839367974,9541.61014514826,9675.9570942972,9936.926174964,10235.9650997481,10094.7744295097,10444.525614196,10444.525614196,10966.5129380914,10991.6490973104,11272.3286140396,11481.6731648932,11481.6731648932,11481.6731648932,11615.2991113369,11615.2991113369,11425.9608436257,10992.8668508925,10546.1599635173,10213.9273631596
7716,2.57646782,48.6093427,14019.3030330528,14138.6888972626,14562.2240265175,14419.0728106599,14293.6486602441,14243.515234806,15441.0724026525,13982.8094591342,14932.7208645903,15399.80234647,17737.1236801333,17127.5152119891,17777.916312189,17858.4945991799,17810.139280584,17729.5609935932,17872.127747211,17872.127747211,17365.9353558697,17362.2593992863,16783.4102520427,16467.2434941309,15038.3610003313,14131.4311347324
