"district","hour","cs1","cs2","cs3","cs4","cs5"
"7704","5am",21.039239,30.554149,28.950025,14.649517,4.8070698
"7705","5am",6.148298,39.172397,29.780024,23.96757,0.9317116
"7706","5am",16.254177,32.953618,25.65488,22.452014,2.68531
"7707","5am",22.569134,30.756499,23.416458,18.484444,4.773465
"7708","5am",9.042972,20.067156,28.484239,31.243226,11.162407
"7709","5am",14.011021,33.673369,30.191841,17.066148,5.0576229
"7710","5am",8.810244,35.194199,22.28685,24.548718,9.1599886
"7711","5am",9.08229,29.941655,38.697142,7.580929,14.6979844
"7712","5am",26.086283,23.803515,22.884457,21.15587,6.0698751
"7713","5am",20.16977,30.51961,23.767286,18.874116,6.6692188
"7714","5am",16.312311,23.598944,24.228862,24.116705,11.7431786
"7715","5am",20.617916,36.231496,22.552562,15.072747,5.5252788
"7716","5am",13.408239,28.462161,28.83002,21.607916,7.6916639
"7801","5am",5.278303,31.441334,16.05349,31.481963,15.7449093
"7802","5am",25.54378,4.372512,21.207927,30.971004,17.9047783
"7803","5am",11.944851,14.840282,28.412163,25.628684,19.1740198
"7804","5am",16.974756,20.303274,20.478931,29.498223,12.7448152
"7805","5am",16.462152,20.866458,25.885841,19.191844,17.5937056
"7806","5am",13.826295,33.405771,24.48692,21.546686,6.734328
"7807","5am",27.125057,23.316067,24.436456,20.088276,5.0341448
"7808","5am",16.370928,30.532056,24.225906,21.910893,6.9602156
"7809","5am",16.047272,18.947802,26.56359,28.077368,10.3639677
"7810","5am",16.990187,18.327378,15.610139,40.787858,8.2844383
"7811","5am",11.704496,16.185462,15.089373,36.8821,20.1385688
"7812","5am",16.129645,9.567143,18.033434,31.171557,25.0982209
"7813","5am",22.752866,16.196139,23.761015,22.110479,15.1795015
"7814","5am",13.768105,10.875518,27.905848,32.181884,15.2686449
"7815","5am",16.651256,23.117965,23.354533,26.717302,10.1589438
"7816","5am",10.617759,23.30992,21.777114,26.628373,17.6668327
"9101","5am",18.307236,27.344978,20.319015,25.613804,8.4149668
"9102","5am",12.451719,24.658187,23.001855,31.44541,8.4428289
"9103","5am",13.380612,29.601001,20.173186,25.714437,11.1307645
"9104","5am",10.411632,18.713159,32.896496,27.8633,10.1154133
"9105","5am",11.342746,29.786411,23.18908,23.392482,12.2892807
