"district","hour","dep1","dep2","dep3","dep4","dep5"
"9404","7am",0,0.5833201,93.4646289,0.7942982,5.1577528
"9405","7am",1.0181863,2.1296846,88.0707101,0.4751352,8.3062838
"9406","7am",3.2711118,0.8166848,94.71489825,0,1.1973051
"9407","7am",0,0.7260464,97.33803215,0.1934764,1.7424451
"9408","7am",0.577318,1.1743501,97.40167714,0,0.8466548
"9409","7am",0,0.4224104,98.8933871,0,0.6842025
"9410","7am",0,1.8731319,96.47638531,0,1.6504828
"9411","7am",0,1.0219972,93.95275033,0,5.0252525
"9412","7am",4.0774731,0,92.91540476,0,3.0071222
"9413","7am",0,0,96.91513592,0,3.0848641
"9414","7am",0,1.352883,98.647117,0,0
"9501","7am",0.6977961,0,0,0.3058321,98.9963718
"9502","7am",0,0,0,0,100
"9503","7am",0,0,0.84442566,0,99.1555743
"9504","7am",0,1.0540894,0,0,98.9459106
"9505","7am",1.2979776,2.713471,1.76178757,0,94.2267638
"9506","7am",0.4497119,0.544766,0,0,99.0055222
"9507","7am",0,0.1769999,0.4554404,0,99.3675597
"9508","7am",0.3488319,0,0.27817273,0,99.3729954
"9509","7am",0,0,0,0,100
"9510","7am",0,0.7034511,0,0,99.2965489
"9511","7am",0,0,0.54232861,0.1810206,99.2766508
"9512","7am",0,0,0,0.9334014,99.0665986
"9513","7am",0.8531876,1.5983213,0.42115238,0,97.1273388
"7501","8am",82.6962845,3.1135914,2.1138075,2.5751116,9.501205
"7502","8am",81.4680999,3.0038975,3.0698774,5.1731358,7.284989
"7503","8am",75.3338327,5.2987579,3.6953737,3.046625,12.625411
"7504","8am",82.3506586,5.993569,0.9817788,2.4742543,8.199739
"7505","8am",95.4992929,0.9407719,0,1.6633288,1.896606
"7506","8am",83.7879715,3.3786453,3.951724,2.9169419,5.964717
"7507","8am",85.5252232,1.7644789,5.1598005,2.0498243,5.500673
"7508","8am",92.3621163,1.2160817,1.3406476,1.4429768,3.638178
"7509","8am",89.0497903,1.3039462,1.3710291,4.0102385,4.264996
"7510","8am",90.0432267,1.2301639,1.4406892,2.3481626,4.937758
"7511","8am",88.3125141,2.3885703,1.2181543,1.5373138,6.543448
"7512","8am",93.6323899,2.1772324,0.578492,1.0041124,2.607773
"7513","8am",90.3622461,2.0752912,0.838036,1.3504062,5.374021
"7514","8am",94.8244184,0.9938306,1.594616,0.4786468,2.108488
"7701","8am",0,3.2781484,1.3463923,0.6868402,94.688619
"7702","8am",1.3395641,39.5157299,30.9202558,0.2388502,27.9856
"7703","8am",1.0603051,5.9895519,0.5686096,0.7037693,91.677764
"7704","8am",0,0.7847257,0.5810557,0,98.634219
"7705","8am",0,0.3837629,0,2.2707131,97.345524
"7706","8am",0,0,0,0,100
"7707","8am",0,0,0.5808012,0,99.419199
"7708","8am",0,2.3339562,0,0,97.666044
"7709","8am",0,0.5201882,3.05423,0,96.425582
"7710","8am",0,0.4984609,1.3593412,0,98.142198
"7711","8am",1.6625173,0.1512909,1.6598389,0,96.526353
"7712","8am",0.9545367,0,0.1044803,0,98.940983
"7713","8am",0,0,0,1.3555977,98.644402
"7714","8am",0,0,0,0,100
"7715","8am",0,0,0,0,100
"7716","8am",0,0.1905286,2.9708735,0,96.838598
"7801","8am",0,0,0.6896992,0,99.310301
"7802","8am",0,0.6992836,0,3.4424996,95.858217
"7803","8am",0.7952517,0.5494079,0,0.5730251,98.082315
"7804","8am",1.0531088,0,0,0,98.946891
"7805","8am",0.6762129,0,0,0.4303829,98.893404
"7806","8am",0.6345265,0.8994148,0.1395192,0,98.326539
"7807","8am",0,0.4777593,0.6164601,1.5389924,97.366788
"7808","8am",0.9477004,0,0,0.6738328,98.378467
"7809","8am",1.2761332,0,0,0.6930815,98.030785
"7810","8am",0,0,0,0,100
"7811","8am",1.323589,0,0.3733808,0,98.30303
"7812","8am",0.8435418,1.3037057,0.5090483,3.9096325,93.434072
"7813","8am",0,0,0.2449331,0.6168551,99.138212
"7814","8am",0,0,0,0,100
"7815","8am",0.6123246,0,8.2671206,0.4892412,90.631314
"7816","8am",1.1102263,0.2921544,0.2739929,1.8132087,96.510418
"9101","8am",0,0.4909859,2.1390166,0,97.369998
"9102","8am",0.9678475,0,0.7076922,0,98.32446
"9103","8am",0,0,0.7368166,0.4966747,98.766509
"9104","8am",0,0,0,0,100
"9105","8am",1.0265138,1.5345745,0,0,97.438912
"9106","8am",0.9444908,0,0.1006019,0.6715314,98.283376
"9107","8am",0,0.2359981,0.6096121,0,99.15439
"9108","8am",0,0,0.6399366,0,99.360063
"9109","8am",2.350613,0.3943681,0.7930386,0.4297109,96.032269
"9110","8am",0,0.3413363,0,0,99.658664
"9111","8am",1.7059315,1.9628206,1.2266304,0.3631518,94.741466
"9112","8am",0,0,1.4490724,0,98.550928
"9113","8am",0.8356038,0.3255916,0.6978317,2.4494232,95.69155
"9114","8am",0,0,3.0119345,0,96.988065
"9201","8am",0.216164,6.4726102,0.5162388,85.991488,6.803499
"9202","8am",1.8409038,0.9902739,0.7489986,89.8987088,6.521115
"9203","8am",2.8447969,3.1785764,1.0758065,88.4325514,4.468269
"9204","8am",2.8153133,2.7309022,1.7674234,81.8066179,10.879743
"9205","8am",4.5921417,2.7418144,1.1600158,84.5961886,6.909839
"9206","8am",1.8805367,0.600295,0.6995616,88.5531389,8.266468
"9207","8am",0.4007885,0.3934707,1.4646398,94.7949365,2.946165
"9208","8am",2.3447645,0.6689996,0.3252111,93.7238527,2.937172
"9209","8am",1.2216049,0.3693264,1.6994919,90.352417,6.35716
"9210","8am",2.9004664,0.2496301,1.7686591,89.6530495,5.428195
"9211","8am",4.8759111,3.070961,3.8630369,86.2863119,1.903779
"9212","8am",0.9953635,0.6376612,0.7818094,91.9826205,5.602545
"9302","8am",0,89.3212055,1.5045723,1.3846944,7.789528
"9303","8am",2.2105372,93.8986754,0.2168472,0.9199191,2.754021
