"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"7508","6am",5590.761,13568.69,27585.982,62665.805
"7509","6am",20314.983,20892.551,45742.988,98752.269
"7510","6am",8846.706,12279.951,38884.286,71726.226
"7511","6am",18765.164,16470.446,39886.333,60729.133
"7512","6am",26955.279,21836.338,37066.944,69267.917
"7513","6am",42205.848,32076.947,25140.906,43086.259
"7514","6am",36172.799,26170.442,39612.542,45676.561
"7701","6am",15041.39,36462.363,32318.236,14903.163
"7702","6am",21534.314,36849.719,25536.86,26660.551
"7703","6am",15313.521,34516.718,20796.248,9506.226
"7704","6am",26150.762,20764.914,17393.869,5466.912
"7705","6am",12347.639,20343.514,9888.19,3434.883
"7706","6am",13727.259,19861.376,9252.622,2362.231
"7707","6am",21147.331,19723.25,7102.358,2521.235
"7708","6am",9567.007,30524.914,17555.901,10973.323
"7709","6am",16295.301,14762.013,16872.824,3579.85
"7710","6am",9327.76,18294.063,28103.736,9408.817
"7711","6am",21794.521,24659.475,19449.383,12465.026
"7712","6am",12911.485,22994.642,9542.384,8238.844
"7713","6am",11368.714,9156.112,6170.897,1806.87
"7714","6am",14240.413,23199.335,17974.42,10067.574
"7715","6am",11425.961,14660.721,5512.011,1753.371
"7716","6am",16783.41,29855.001,20511.753,5908.413
"7801","6am",15422.955,18176.623,17437.372,25591.065
"7802","6am",6102.079,11629.651,19942.271,25652.685
"7803","6am",10743,22485.288,31225.967,25526.825
"7804","6am",10843.978,10886.335,13542.532,11195.794
"7805","6am",10556.802,30262.311,23621.34,15652.001
"7806","6am",20432.768,34993.979,17715.607,8381.673
"7807","6am",15880.896,18310.066,9244.247,2662.249
"7808","6am",17823.854,21530.057,10443.568,4236.668
"7809","6am",9837.735,21245.613,16776.045,13279.336
"7810","6am",2758.096,8762.458,7000.07,4841.252
"7811","6am",8748.063,17888.18,26303.207,23785.902
"7812","6am",10680.343,27702.721,34753.499,53104.206
"7813","6am",5196.611,12737.52,11313.739,7992.373
"7814","6am",1634.662,8048.315,7538.285,4948.192
"7815","6am",7622.075,11641.316,10872.854,5278.015
"7816","6am",14485.386,33531.119,32751.777,20001.692
"9101","6am",14079.327,20129.191,15559.309,8697.295
"9102","6am",9757.001,14485.23,12311.807,9020.019
"9103","6am",17182.497,20212.563,15345.068,8313.99
"9104","6am",10220.946,19111.098,11376.863,7991.159
"9105","6am",13679.917,27819.614,22063.118,10920.331
"9106","6am",22371.322,24602.66,23547.437,9878.289
"9107","6am",20671.775,30044.379,22705.023,9577.875
"9108","6am",8797.602,19019.276,14795.312,11612.563
"9109","6am",13454.351,17101.063,21114.193,11452.021
