"district","hour","rev1","rev2","rev3","rev4"
"9210","6am",11.526982,25.94244,30.545254,31.985328
"9211","6am",27.307166,40.39716,18.237904,14.05777
"9212","6am",17.39261,34.02507,26.097537,22.484787
"9302","6am",22.459879,42.105,29.89118,5.543944
"9303","6am",41.523814,36.74416,18.024976,3.707049
"9304","6am",37.016158,39.54162,20.77436,2.66786
"9305","6am",42.815465,26.74309,19.423045,11.018403
"9306","6am",17.879065,43.42324,26.618472,12.079218
"9307","6am",34.15425,35.07367,19.777072,10.99501
"9308","6am",34.14034,40.28945,21.620288,3.949926
"9309","6am",42.763094,30.46375,18.264389,8.508769
"9310","6am",35.92165,42.47132,17.342484,4.264541
"9311","6am",49.13007,37.11558,10.101207,3.653146
"9312","6am",43.344638,38.88447,13.977163,3.793728
"9402","6am",30.803374,45.84803,18.229344,5.119249
"9403","6am",25.780557,37.62483,30.66252,5.932091
"9404","6am",28.700458,37.77464,25.230967,8.293935
"9405","6am",17.552804,46.4335,27.295653,8.718038
"9406","6am",30.090839,44.04653,18.848067,7.014566
"9407","6am",23.708022,29.92624,29.774854,16.59088
"9408","6am",6.501454,39.36751,35.47878,18.652256
"9409","6am",14.442161,35.54535,30.49599,19.516503
"9410","6am",15.781184,43.76519,25.311416,15.14221
"9411","6am",40.773377,37.21674,12.547845,9.462036
"9412","6am",23.886293,40.06224,17.851302,18.200163
"9413","6am",37.071191,39.97633,18.389464,4.563011
"9414","6am",11.728846,34.57249,33.474682,20.223981
"9501","6am",26.223283,38.77349,28.016154,6.987075
"9502","6am",29.324284,39.59343,22.679504,8.402777
"9503","6am",18.847241,39.97915,23.245177,17.92843
"9504","6am",17.68335,31.89894,36.73721,13.680496
"9505","6am",19.679035,46.03503,26.737548,7.548388
"9506","6am",33.675023,37.06716,22.696784,6.561028
"9507","6am",38.763803,54.97658,4.264647,1.994966
"9508","6am",28.176777,44.16025,21.618865,6.044111
"9509","6am",17.308501,33.34516,25.357429,23.988908
"9510","6am",21.007608,30.26889,31.928483,16.79502
"9511","6am",10.091734,36.57768,38.089566,15.24102
"9512","6am",18.870397,37.05854,27.907022,16.164046
"9513","6am",12.656536,44.27643,28.280404,14.786626
"7501","7am",13.828216,25.6295,28.604879,31.937405
"7502","7am",17.332828,20.85943,18.482942,43.324798
"7503","7am",22.997714,22.53331,26.95325,27.515729
"7504","7am",19.320945,29.33657,31.347166,19.995318
"7505","7am",16.085924,30.46947,31.469634,21.974973
"7506","7am",16.150814,31.82828,32.832355,19.188548
"7507","7am",23.226256,31.02373,24.136165,21.613851
"7508","7am",13.104904,25.13522,32.406912,29.352962
"7509","7am",13.440977,32.65739,22.670515,31.231115
"7510","7am",17.770444,19.33836,18.50827,44.382929
"7511","7am",19.014431,23.6519,17.879626,39.454039
"7512","7am",29.191275,29.02915,21.876208,19.903365
"7513","7am",32.660272,25.01949,26.349028,15.971207
"7514","7am",26.417814,28.01734,25.936876,19.627972
"7701","7am",17.852985,48.22871,29.099476,4.818831
"7702","7am",15.013304,45.45155,21.523105,18.012038
"7703","7am",17.692066,38.91936,30.964345,12.424228
"7704","7am",35.712446,39.55296,19.729998,5.004595
"7705","7am",20.137986,43.97056,28.038435,7.853017
"7706","7am",20.328126,52.0545,22.763497,4.853878
