"district","hour","occ1","occ2","occ3","occ4","occ5"
"9307","5am",47.92727,6.848747,7.878001,18.30717,19.038811
"9308","5am",52.60169,6.99807,9.148116,19.67126,11.580863
"9309","5am",55.15784,7.158522,9.450971,15.80263,12.43004
"9310","5am",53.27311,7.201048,9.254043,18.02003,12.251768
"9311","5am",48.54437,10.128444,11.103501,17.21146,13.012227
"9312","5am",51.13738,7.691971,12.242839,14.64653,14.281285
"9402","5am",52.96209,9.41519,8.771589,19.2849,9.566232
"9403","5am",56.33328,11.261357,7.39871,17.72548,7.28117
"9404","5am",56.41949,7.759244,7.703958,18.5646,9.552699
"9405","5am",61.97401,6.232066,5.462741,20.464,5.867176
"9406","5am",55.75087,10.10503,8.362334,18.19193,7.58983
"9407","5am",59.12594,6.723673,6.516999,20.93608,6.697308
"9408","5am",56.12958,7.023939,6.385413,24.76388,5.697192
"9409","5am",61.52591,6.602445,5.889805,20.6158,5.366039
"9410","5am",60.08947,8.881107,4.979066,19.59695,6.45341
"9411","5am",56.66349,5.930447,7.654296,19.4029,10.348868
"9412","5am",62.57905,8.622654,7.093519,15.35571,6.349067
"9413","5am",55.04361,7.499634,8.612851,19.00009,9.843813
"9414","5am",58.55885,7.958348,3.8929,21.00535,8.58455
"9501","5am",60.36673,13.19522,7.332497,12.41031,6.69524
"9502","5am",59.18669,8.098687,6.940991,17.02039,8.753238
"9503","5am",61.95706,3.882682,7.860021,21.0863,5.213938
"9504","5am",62.48956,6.105632,3.286813,21.62937,6.488626
"9505","5am",58.16823,7.780783,2.875218,20.41444,10.761327
"9506","5am",53.69662,7.198756,12.772468,15.81563,10.516523
"9507","5am",46.89216,9.199686,12.069925,15.77829,16.059937
"9508","5am",55.05141,7.012479,8.968856,17.40351,11.563747
"9509","5am",61.52037,6.776454,5.895362,18.84986,6.957953
"9510","5am",60.22685,5.104182,5.886291,20.29619,8.48648
"9511","5am",59.05729,4.627104,5.552638,24.79247,5.970497
"9512","5am",57.73164,7.513418,5.865126,20.35528,8.534534
"9513","5am",60.32189,4.126087,4.376351,21.98931,9.186358
"7501","6am",63.74103,9.88238,7.322719,17.40509,1.648776
"7502","6am",53.21833,13.946979,4.68645,21.68471,6.463534
"7503","6am",61.18218,10.052258,5.912767,15.7718,7.080995
"7504","6am",61.85712,8.236442,10.908444,12.94098,6.057007
"7505","6am",59.24006,9.281555,8.539708,15.31069,7.627982
"7506","6am",60.56848,8.251343,6.375879,19.98438,4.819921
"7507","6am",56.17536,13.35166,6.809379,18.11288,5.550719
"7508","6am",55.99136,11.504348,5.49368,21.40912,5.601494
"7509","6am",56.39788,10.986363,4.053832,20.81179,7.750135
"7510","6am",50.48438,9.510018,4.689528,23.3519,11.964173
"7511","6am",57.63852,9.351966,6.734343,18.5293,7.745867
"7512","6am",58.56767,8.319738,8.246785,16.39018,8.475626
"7513","6am",53.22378,9.639068,9.782241,18.08228,9.27263
"7514","6am",54.621,7.763354,9.736649,19.38418,8.494813
"7701","6am",64.07121,10.498471,6.127645,13.09277,6.209909
"7702","6am",61.82097,6.323932,6.852566,16.18501,8.817521
"7703","6am",65.50924,6.20541,5.431208,17.38705,5.467093
"7704","6am",53.26028,6.132203,5.818173,21.82619,12.963152
"7705","6am",61.9441,7.871971,7.009507,19.41328,3.761141
"7706","6am",53.91903,4.517501,7.796772,26.25599,7.510708
"7707","6am",52.9446,3.217569,7.257007,25.3997,11.181124
"7708","6am",59.09014,6.71405,5.693672,22.81952,5.682611
"7709","6am",63.64386,5.838213,3.576985,21.96541,4.975527
"7710","6am",61.10667,4.70239,6.799291,20.34477,7.046883
"7711","6am",58.79188,8.949244,5.808017,19.54789,6.902963
"7712","6am",52.32123,6.458315,6.9056,23.74599,10.568861
"7713","6am",44.82228,5.402227,7.512559,29.18154,13.081399
"7714","6am",52.56456,9.508346,4.744961,26.20427,6.977862
"7715","6am",53.74454,2.910918,6.11868,27.28651,9.939352
"7716","6am",66.62227,7.78462,6.128735,13.1647,6.29968
"7801","6am",63.85689,7.800105,3.331532,20.81311,4.198364
"7802","6am",50.45112,9.041259,5.239689,23.83034,11.437582
"7803","6am",57.91816,9.388385,5.309879,20.48194,6.901645
"7804","6am",52.75067,5.556702,6.542496,27.03157,8.118562
"7805","6am",57.66159,6.113928,6.345524,18.47808,11.400877
"7806","6am",54.96851,6.633845,5.963578,23.34835,9.085713
"7807","6am",41.53323,9.33987,10.608129,26.66982,11.848955
"7808","6am",61.16301,6.590546,5.519853,17.20801,9.518578
"7809","6am",62.30611,5.806055,5.641144,20.04613,6.200555
"7810","6am",51.19898,5.496499,5.666942,25.79049,11.847084
