"district","hour","sex1","sex2"
"9201","8am",49.83896,50.16104
"9202","8am",41.66258,58.33742
"9203","8am",45.07703,54.92297
"9204","8am",50.09424,49.90576
"9205","8am",44.63912,55.36088
"9206","8am",47.76216,52.23784
"9207","8am",44.70619,55.29381
"9208","8am",42.78702,57.21298
"9209","8am",46.64381,53.35619
"9210","8am",45.16232,54.83768
"9211","8am",44.29123,55.70877
"9212","8am",43.15955,56.84045
"9302","8am",44.83666,55.16334
"9303","8am",46.44021,53.55979
"9304","8am",50.48685,49.51315
"9305","8am",47.08954,52.91046
"9306","8am",43.16179,56.83821
"9307","8am",40.5984,59.4016
"9308","8am",48.10821,51.89179
"9309","8am",45.89657,54.10343
"9310","8am",43.88672,56.11328
"9311","8am",47.72184,52.27816
"9312","8am",50.24573,49.75427
"9402","8am",46.16473,53.83527
"9403","8am",47.55632,52.44368
"9404","8am",45.39264,54.60736
"9405","8am",50.75233,49.24767
"9406","8am",46.50526,53.49474
"9407","8am",43.70024,56.29976
"9408","8am",42.27467,57.72533
"9409","8am",48.0175,51.9825
"9410","8am",46.96607,53.03393
"9411","8am",49.5617,50.4383
"9412","8am",45.83386,54.16614
"9413","8am",45.1239,54.8761
"9414","8am",43.18431,56.81569
"9501","8am",47.0991,52.9009
"9502","8am",44.05991,55.94009
"9503","8am",44.71533,55.28467
"9504","8am",49.01709,50.98291
"9505","8am",44.70659,55.29341
"9506","8am",41.83898,58.16102
"9507","8am",46.20107,53.79893
"9508","8am",43.37631,56.62369
"9509","8am",44.18049,55.81951
"9510","8am",43.13662,56.86338
"9511","8am",41.90845,58.09155
"9512","8am",37.99035,62.00965
"9513","8am",43.77589,56.22411
"7501","9am",52.1536,47.8464
"7502","9am",45.69031,54.30969
"7503","9am",48.63801,51.36199
"7504","9am",47.35454,52.64546
"7505","9am",46.36297,53.63703
"7506","9am",44.62857,55.37143
"7507","9am",46.71506,53.28494
"7508","9am",43.24136,56.75864
"7509","9am",43.73192,56.26808
"7510","9am",40.4958,59.5042
"7511","9am",44.99775,55.00225
"7512","9am",49.49126,50.50874
"7513","9am",46.72982,53.27018
"7514","9am",46.26674,53.73326
"7701","9am",49.8832,50.1168
"7702","9am",46.06743,53.93257
"7703","9am",53.84588,46.15412
"7704","9am",43.97372,56.02628
"7705","9am",43.82267,56.17733
"7706","9am",47.16815,52.83185
"7707","9am",49.49027,50.50973
"7708","9am",38.76833,61.23167
"7709","9am",51.1289,48.8711
"7710","9am",40.66325,59.33675
"7711","9am",42.67113,57.32887
"7712","9am",44.38574,55.61426
"7713","9am",45.51908,54.48092
"7714","9am",42.04857,57.95143
"7715","9am",46.87848,53.12152
"7716","9am",53.43302,46.56698
"7801","9am",41.70734,58.29266
"7802","9am",45.91857,54.08143
"7803","9am",39.77781,60.22219
"7804","9am",47.56467,52.43533
"7805","9am",48.88053,51.11947
"7806","9am",47.2335,52.7665
"7807","9am",38.96904,61.03096
"7808","9am",42.81703,57.18297
"7809","9am",48.28336,51.71664
"7810","9am",43.73408,56.26592
"7811","9am",39.95319,60.04681
"7812","9am",51.10081,48.89919
"7813","9am",48.88678,51.11322
"7814","9am",53.1982,46.8018
"7815","9am",44.85413,55.14587
"7816","9am",46.23319,53.76681
"9101","9am",50.5522,49.4478
"9102","9am",44.10207,55.89793
"9103","9am",44.70811,55.29189
"9104","9am",44.19648,55.80352
"9105","9am",50.60123,49.39877
"9106","9am",47.86021,52.13979
"9107","9am",43.85193,56.14807
"9108","9am",40.71602,59.28398
"9109","9am",48.97484,51.02516
"9110","9am",47.15695,52.84305
"9111","9am",55.72938,44.27062
"9112","9am",51.81133,48.18867
"9113","9am",50.84309,49.15691
"9114","9am",48.39175,51.60825
"9201","9am",51.78653,48.21347
"9202","9am",42.58315,57.41685
"9203","9am",44.51862,55.48138
"9204","9am",51.60859,48.39141
"9205","9am",46.68142,53.31858
"9206","9am",46.02327,53.97673
"9207","9am",45.52452,54.47548
"9208","9am",45.06916,54.93084
"9209","9am",50.10065,49.89935
"9210","9am",42.20284,57.79716
"9211","9am",48.07824,51.92176
"9212","9am",46.32473,53.67527
"9302","9am",45.39403,54.60597
"9303","9am",43.20278,56.79722
"9304","9am",51.24464,48.75536
"9305","9am",42.86121,57.13879
"9306","9am",47.45729,52.54271
"9307","9am",41.04766,58.95234
"9308","9am",45.49849,54.50151
"9309","9am",49.27158,50.72842
"9310","9am",44.76218,55.23782
"9311","9am",48.23823,51.76177
"9312","9am",52.38757,47.61243
"9402","9am",46.29092,53.70908
"9403","9am",49.52089,50.47911
"9404","9am",49.65041,50.34959
"9405","9am",52.80341,47.19659
"9406","9am",44.60397,55.39603
"9407","9am",41.88235,58.11765
"9408","9am",41.13804,58.86196
"9409","9am",49.39316,50.60684
"9410","9am",51.15206,48.84794
"9411","9am",47.30149,52.69851
"9412","9am",40.3889,59.6111
"9413","9am",43.53483,56.46517
"9414","9am",40.39383,59.60617
"9501","9am",45.01586,54.98414
"9502","9am",45.52254,54.47746
"9503","9am",48.59591,51.40409
"9504","9am",47.81166,52.18834
"9505","9am",44.91667,55.08333
"9506","9am",45.73109,54.26891
"9507","9am",46.45994,53.54006
"9508","9am",45.3075,54.6925
"9509","9am",47.75289,52.24711
"9510","9am",41.90408,58.09592
"9511","9am",41.78046,58.21954
"9512","9am",39.345,60.655
"9513","9am",42.3795,57.6205
"7501","10am",48.93368,51.06632
"7502","10am",45.86739,54.13261
"7503","10am",45.76759,54.23241
"7504","10am",48.90223,51.09777
"7505","10am",44.29439,55.70561
"7506","10am",47.27961,52.72039
"7507","10am",47.94926,52.05074
"7508","10am",43.71987,56.28013
"7509","10am",44.71636,55.28364
"7510","10am",41.91619,58.08381
"7511","10am",45.77921,54.22079
"7512","10am",49.01446,50.98554
"7513","10am",44.5584,55.4416
"7514","10am",44.90391,55.09609
"7701","10am",48.26977,51.73023
"7702","10am",45.75515,54.24485
"7703","10am",55.4089,44.5911
"7704","10am",40.64968,59.35032
"7705","10am",44.8336,55.1664
"7706","10am",47.11439,52.88561
"7707","10am",47.78551,52.21449
"7708","10am",38.23495,61.76505
"7709","10am",55.4698,44.5302
"7710","10am",39.85957,60.14043
"7711","10am",41.9879,58.0121
"7712","10am",43.34476,56.65524
"7713","10am",45.59675,54.40325
"7714","10am",42.18671,57.81329
"7715","10am",46.07493,53.92507
"7716","10am",52.25169,47.74831
"7801","10am",41.40978,58.59022
"7802","10am",48.59862,51.40138
"7803","10am",40.49392,59.50608
"7804","10am",48.90182,51.09818
"7805","10am",47.85241,52.14759
"7806","10am",45.95138,54.04862
"7807","10am",39.18474,60.81526
"7808","10am",40.78382,59.21618
"7809","10am",46.4761,53.5239
"7810","10am",46.11017,53.88983
"7811","10am",38.53057,61.46943
"7812","10am",49.61393,50.38607
"7813","10am",46.6826,53.3174
"7814","10am",51.40462,48.59538
"7815","10am",44.12,55.88
"7816","10am",49.64244,50.35756
"9101","10am",50.47018,49.52982
"9102","10am",42.46835,57.53165
"9103","10am",43.82407,56.17593
"9104","10am",43.59643,56.40357
"9105","10am",51.50449,48.49551
"9106","10am",48.28576,51.71424
"9107","10am",45.21174,54.78826
"9108","10am",40.65212,59.34788
"9109","10am",48.12324,51.87676
"9110","10am",45.49207,54.50793
"9111","10am",53.39558,46.60442
"9112","10am",51.47457,48.52543
"9113","10am",51.32349,48.67651
"9114","10am",47.31812,52.68188
"9201","10am",52.04825,47.95175
"9202","10am",46.03672,53.96328
"9203","10am",45.68218,54.31782
"9204","10am",49.89041,50.10959
"9205","10am",48.69959,51.30041
"9206","10am",46.74245,53.25755
"9207","10am",45.07914,54.92086
"9208","10am",45.38256,54.61744
"9209","10am",48.09173,51.90827
"9210","10am",42.67374,57.32626
"9211","10am",49.81357,50.18643
"9212","10am",44.03541,55.96459
"9302","10am",44.49007,55.50993
"9303","10am",45.21807,54.78193
"9304","10am",54.25482,45.74518
"9305","10am",43.32127,56.67873
"9306","10am",49.35167,50.64833
"9307","10am",41.00333,58.99667
"9308","10am",46.62757,53.37243
"9309","10am",48.32784,51.67216
"9310","10am",43.35674,56.64326
"9311","10am",46.88582,53.11418
"9312","10am",51.13473,48.86527
"9402","10am",47.80735,52.19265
"9403","10am",49.69556,50.30444
"9404","10am",48.43517,51.56483
"9405","10am",52.64464,47.35536
"9406","10am",45.51082,54.48918
"9407","10am",42.79357,57.20643
"9408","10am",42.61547,57.38453
"9409","10am",48.22357,51.77643
"9410","10am",48.64828,51.35172
"9411","10am",48.96188,51.03812
"9412","10am",42.00941,57.99059
"9413","10am",44.06069,55.93931
"9414","10am",38.96146,61.03854
"9501","10am",42.919,57.081
"9502","10am",43.28681,56.71319
"9503","10am",47.62585,52.37415
"9504","10am",45.34463,54.65537
"9505","10am",43.50978,56.49022
"9506","10am",45.24696,54.75304
"9507","10am",45.07467,54.92533
"9508","10am",44.36585,55.63415
"9509","10am",46.84634,53.15366
"9510","10am",43.23732,56.76268
"9511","10am",40.60698,59.39302
"9512","10am",40.26235,59.73765
"9513","10am",46.33496,53.66504
"7501","11am",47.26573,52.73427
"7502","11am",46.52033,53.47967
"7503","11am",46.59311,53.40689
"7504","11am",47.65009,52.34991
"7505","11am",45.78921,54.21079
"7506","11am",48.1505,51.8495
"7507","11am",48.60242,51.39758
"7508","11am",44.74996,55.25004
"7509","11am",44.40203,55.59797
"7510","11am",39.73544,60.26456
"7511","11am",45.22074,54.77926
"7512","11am",46.76805,53.23195
"7513","11am",44.71515,55.28485
"7514","11am",44.57693,55.42307
"7701","11am",49.28851,50.71149
"7702","11am",46.83673,53.16327
"7703","11am",54.65838,45.34162
"7704","11am",40.19124,59.80876
"7705","11am",46.8871,53.1129
"7706","11am",47.08647,52.91353
"7707","11am",48.52475,51.47525
"7708","11am",38.25197,61.74803
"7709","11am",54.04227,45.95773
"7710","11am",42.57876,57.42124
"7711","11am",43.55385,56.44615
"7712","11am",44.83514,55.16486
"7713","11am",45.07933,54.92067
"7714","11am",40.09885,59.90115
"7715","11am",46.62752,53.37248
"7716","11am",51.99289,48.00711
"7801","11am",41.50424,58.49576
"7802","11am",46.65825,53.34175
"7803","11am",39.6263,60.3737
"7804","11am",49.84469,50.15531
"7805","11am",47.56216,52.43784
"7806","11am",45.74939,54.25061
"7807","11am",41.36408,58.63592
"7808","11am",38.01211,61.98789
"7809","11am",46.46975,53.53025
"7810","11am",45.20009,54.79991
"7811","11am",36.65181,63.34819
"7812","11am",48.15778,51.84222
"7813","11am",49.70353,50.29647
"7814","11am",54.05437,45.94563
"7815","11am",41.99197,58.00803
"7816","11am",49.52881,50.47119
"9101","11am",51.54859,48.45141
"9102","11am",43.74328,56.25672
"9103","11am",41.19338,58.80662
"9104","11am",44.04431,55.95569
"9105","11am",51.36521,48.63479
"9106","11am",50.13234,49.86766
"9107","11am",46.14474,53.85526
"9108","11am",42.39782,57.60218
"9109","11am",47.15219,52.84781
"9110","11am",43.16918,56.83082
"9111","11am",52.91779,47.08221
"9112","11am",54.13367,45.86633
