"secteur","hour","cleduc1","cleduc2","cleduc3","cleduc4"
9111,"4am","13337.7552738606","13744.8209188451","18611.8159864635","11738.3902746156"
9112,"4am","8756.68176652617","14179.488183104","15425.3983829837","8919.41589841161"
9113,"4am","9665.0113963502","20380.9725389151","25300.5700379676","20816.9745087629"
9114,"4am","3134.08280470156","9247.37803435238","15626.5276639536","13572.6136390042"
9201,"4am","31043.1477414604","19020.7008467595","34577.4697404029","25317.6010081426"
9202,"4am","15657.2762421145","22656.7309084986","23769.3050273329","18084.6944468717"
9203,"4am","19816.462432368","22050.4295248681","43375.7787462412","49865.9656309819"
9204,"4am","17335.4915648291","25898.2324448915","25040.6803285079","16294.1617943557"
9205,"4am","8416.04782174404","22833.4080581734","23935.3394627078","41726.1515140386"
9206,"4am","6267.17245337145","23296.4008240342","23158.548620157","38677.1566786335"
9207,"4am","2972.45582240717","8541.96036766617","29562.570865994","41561.8598650055"
9208,"4am","8048.42145795176","18876.4523472044","23022.9285835161","36485.2632995163"
9209,"4am","19430.8498373264","23264.2059241237","38360.1217138028","43817.194191911"
9210,"4am","14415.7594662075","20518.7633271299","30611.9579406894","48232.5576986023"
9211,"4am","17065.9240645411","17109.1788986708","18830.2676776571","18280.919675923"
9212,"4am","8722.48067018223","20167.9052300943","24313.8664414386","20824.1780561059"
9302,"4am","12773.1761208017","18354.4949456298","9532.42953568556","5121.11255258787"
9303,"4am","27604.273411718","22749.7295781818","31205.589557281","19150.3728215713"
9304,"4am","35971.4228221133","38210.4971231652","20877.2404808788","18022.5162322955"
9305,"4am","26213.484059374","29092.1928275577","16195.0354810138","7683.75871984061"
9306,"4am","28034.805009174","25022.320973923","25253.8885455131","14266.1522131445"
9307,"4am","23365.3753005779","27532.0337941277","19760.8007672335","8558.92998267498"
9308,"4am","18911.6785071305","18907.5778281111","16076.9868723042","5033.14165479127"
9309,"4am","34717.5711108975","25428.9825310325","21140.1472434823","5464.71303412357"
9310,"4am","29580.606077315","40315.5209889636","28957.6575481703","4964.52376651508"
9311,"4am","53751.1711399282","28769.1565301118","23018.2435424267","11885.5927033456"
9312,"4am","61052.863226327","52198.8266821179","26282.9244211806","19703.8134945886"
9402,"4am","26046.4489974679","42872.4427043476","17562.0047733687","18130.6226557626"
9403,"4am","27186.2505779437","31341.9946988632","20966.1690002463","27198.0419948347"
9404,"4am","19560.4423612187","19868.5705111701","18021.6698392442","8303.15540862927"
