secteur,hour,cleduc1,cleduc2,cleduc3,cleduc4
9310,4am,28.4926681417002,38.83276622,27.89263089,4.78193475114007
9311,4am,45.7752215110217,24.5002013,19.60264632,10.1219308760564
9312,4am,38.3405337898238,32.78029518,16.50539055,12.3737804773732
9402,4am,24.8982609313458,40.98252569,16.78783075,17.3313826301171
9403,4am,25.4809491953808,29.37601757,19.65103226,25.4920009766436
9404,4am,29.747985700003,30.21659431,27.40778387,12.627636113717
9405,4am,15.951035228201,30.87142011,35.9942531,17.1832915624691
9406,4am,26.8653806196372,37.21836711,21.619514,14.2967382674895
9407,4am,21.9044751071978,25.28576733,25.97457002,26.8351875367737
9408,4am,13.5487369759921,28.47264394,23.03387151,34.9447475748548
9409,4am,15.800419424333,15.57575461,34.81827329,33.8055526680685
9410,4am,29.238506183322,30.08675454,30.11391262,10.5608266576778
9411,4am,36.3811939661753,35.29055265,21.22478924,7.10346415057685
9412,4am,37.473407464112,28.42258387,15.46574416,18.6382645069226
9413,4am,31.3740878255775,31.51060578,28.60912226,8.50618413767537
9414,4am,17.144571957547,32.5374293,35.10528422,15.2127145209526
9501,4am,19.4218591543162,35.43867621,30.03207812,15.1073865079867
9502,4am,33.7541467696817,32.5387783,21.99184307,11.7152318643859
9503,4am,26.5650166745299,35.65578535,22.89553377,14.8836642055521
9504,4am,26.5431838678122,32.79264136,25.53190464,15.1322701337362
9505,4am,31.7452954070586,36.67029676,28.48351036,3.10089746883716
9506,4am,39.5708902039663,29.58617372,24.19024469,6.65269138518149
9507,4am,44.4223800478257,32.18382204,19.99733899,3.39645892184512
9508,4am,23.5101178543962,40.90947757,23.22798239,12.3524221880914
9509,4am,22.5621990464596,27.62569509,34.64213474,15.169971121548
9510,4am,18.2615680291846,36.47398165,30.44593484,14.81851548425
9511,4am,15.6735713999871,32.87572564,25.74406103,25.70664193822
9512,4am,20.9006555189864,28.18464529,31.08156504,19.8331341502764
9513,4am,22.6095817512194,28.44017963,28.76010205,20.1901365666101
7501,5am,7.21642030145171,15.5344792,21.74116987,55.5079306301631
7502,5am,7.19907528731158,5.262042751,28.63733646,58.9015454985006
7503,5am,9.76571671473822,16.04034463,21.82312053,52.3708181232295
7504,5am,8.29151595532421,15.99087949,28.89361089,46.8239936624248
7505,5am,13.7173573521615,15.24205198,20.42851812,50.6120725524406
7506,5am,11.4838031197139,14.1409145,31.12321555,43.2520668388834
7507,5am,13.9086884309743,14.50085616,29.94409459,41.6463608217027
7508,5am,5.41328007530803,13.13794565,25.16955496,56.279219314898
7509,5am,11.4578770838908,11.99435685,20.28520852,56.262557548432
7510,5am,6.27058213832288,9.391014001,28.62531237,55.7130914952718
7511,5am,13.8684260352427,11.30582222,28.57633775,46.2494139868158
7512,5am,18.5822422635031,14.57106426,22.28528017,44.5614133030479
7513,5am,30.3465713021516,22.60541053,17.22307846,29.8249397147267
7514,5am,24.9479967757107,19.04058858,25.15701732,30.854397325788
7701,5am,14.7168195037621,35.63284848,35.25653973,14.3937922782005
7702,5am,19.6727026169325,33.824032,23.01685142,23.4864139604349
7703,5am,18.8699296814301,43.76173741,25.2935753,12.0747576029884
7704,5am,37.4282651983914,29.91311555,24.98923207,7.66938717998711
7705,5am,27.2958246752214,44.65548829,21.00998678,7.03870025614872
7706,5am,30.1875155125147,44.18640737,20.58882277,5.03725434515259
7707,5am,41.2335996865553,40.32546547,13.55324312,4.88769172775996
7708,5am,15.1333830483464,44.48561479,25.3078135,15.073188669031
7709,5am,29.5057670392291,29.96471231,33.04097425,7.48854639900637
7710,5am,14.8336335894512,28.19527429,42.46998428,14.5011078362699
7711,5am,29.3327460307233,31.36300392,23.39346498,15.9107850693621
7712,5am,23.5610733207496,43.99147167,17.4130868,15.0343682030624
7713,5am,40.0263919564156,32.02043589,21.96990579,5.98326636176284
7714,5am,21.4259369163047,36.6294387,26.79708616,15.1475382332305
7715,5am,34.0371843637818,44.30396457,16.52081619,5.13803487256284
7716,5am,23.2663956887556,41.24628105,27.37448699,8.11283627672987
7801,5am,19.6298235680055,25.60501663,22.1937055,32.571454304404
7802,5am,9.58964933256069,18.73698042,31.34003599,40.3333342610187
7803,5am,13.2484940917136,23.14890039,34.99480413,28.6078013901978
7804,5am,22.3433983375917,24.26632868,29.2275025,24.162770481528
7805,5am,13.7483952801844,37.20392581,30.21486204,18.8328168628165
7806,5am,25.8331037136687,42.02451183,21.92026513,10.2221193252476
7807,5am,34.0723653375416,40.16186932,20.10515091,5.66061443753969
