"secteur","hour","cs1","cs2","cs3","cs4","cs5"
9413,"4am","9723.6779328455","17353.3850520324","14525.4685267162","9812.38834087571","3589.25551407618"
9414,"4am","4975.59363057342","5777.08319934994","7861.05625391566","7575.88728407366","3464.34274466818"
9501,"4am","7174.15239481962","19052.988144","21396.9413841182","19108.6474718122","4921.41516526421"
9502,"4am","9930.80436895142","21155.2302128241","10300.4473481721","13375.2037223282","4167.85313585916"
9503,"4am","5981.31920817015","17371.8239114589","8109.06955467807","14886.3282595518","3430.44253833841"
9504,"4am","6252.82931199448","13511.955910074","12192.881550546","12456.8153408227","6391.33971577992"
9505,"4am","9340.96070089495","15954.9519109061","19391.1477498614","9178.23105563134","1898.85853874295"
9506,"4am","12470.3275764409","19800.750308068","10968.7197858625","5693.34456204683","3056.7116708165"
9507,"4am","18550.2085044639","30816.7854230723","12647.1917811226","5706.55902870183","1452.84838190997"
9508,"4am","23760.5324987276","26067.7563928338","26564.9348332244","12010.7981021084","5431.01294597631"
9509,"4am","8873.24470549694","15737.2446372118","15498.3644376412","20066.3270686356","3586.32143715014"
9510,"4am","9783.17568876562","16065.6716636891","20678.760541157","19425.2987187036","7479.28969547113"
9511,"4am","5298.2088467305","15094.4568484933","21294.6823625816","23195.4359645126","12518.5361037067"
9512,"4am","10207.661784949","12303.8559768705","19251.1363483369","17602.5464849857","10639.1177632621"
9513,"4am","8893.5303462515","13545.7205313855","6032.03216698488","16807.8365633041","5531.80927395549"
7501,"5am","1796.7496570697","5266.52134097782","12919.1190666151","24001.7357624554","34105.5491093708"
7502,"5am","18087.9412900185","9243.99257729003","12232.1078307431","32634.2007744883","51968.3134686724"
7503,"5am","8342.54953438546","7348.23420446514","10124.7739200551","18930.9462343114","31417.6451338075"
7504,"5am","8853.42164448478","9859.94564789038","12367.9813365002","23728.5635114449","24824.8196035417"
7505,"5am","12915.6839074216","15855.1837436362","15501.5462518915","29613.7419405088","41331.232377471"
7506,"5am","11597.9238314971","13310.7668001637","25457.7544262671","21818.0873193569","40854.0268937072"
7507,"5am","15422.5466885415","17475.6877866418","27340.3407493874","34538.0461868488","45967.8913567401"
7508,"5am","10053.6661381957","8318.52399773723","19638.3556389689","26828.5270072748","38439.5542979179"
7509,"5am","20020.8367694371","21143.696754992","21541.2783054689","54260.0544707552","55366.3573634632"
7510,"5am","19356.0527053908","12039.4985792455","11931.1939679274","36443.1253996897","46028.3445031237"
7511,"5am","18367.0539522338","15690.154482297","13267.9564935815","33384.0264520808","47739.8978378162"
7512,"5am","20044.838790659","30719.2015172634","12293.8427107434","43270.525997618","43532.5574792788"
7513,"5am","27131.7211916046","29313.0476898096","24022.0359796324","30765.8649517867","28938.8947488296"
7514,"5am","21845.9632088191","22812.7148119715","20547.0385094279","43943.835981767","38801.780780473"
7701,"5am","7341.27349857455","23505.1669425038","38673.4293443048","21351.3082539851","9499.96982046133"
7702,"5am","12962.3995721628","29352.078577576","19535.3459812721","37470.3568274601","11579.881728159"
7703,"5am","8500.76408180591","21999.755580514","23548.5734610799","21576.2173539362","3625.0541977052"
7704,"5am","14997.2434563897","21779.6857262521","20636.2298282851","10442.5058876419","3426.58760232201"
7705,"5am","3000.36681866235","19116.1130397251","14532.6389704436","11696.164136575","454.674889730258"
7706,"5am","7622.43136698096","15453.6699164102","12030.9110881185","10528.920151205","1259.28186542604"
7707,"5am","11641.9135881619","15865.2297481849","12078.9913577486","9534.89361263279","2462.31270792963"
7708,"5am","6583.30838946272","14608.9447674719","20736.6046212242","22745.1542520791","8126.26299375565"
7709,"5am","7154.91854009237","17195.7644961765","15417.8747733381","8715.06077497746","2582.74406146913"
7710,"5am","5716.38898252329","22835.2055082022","14460.4742650998","15928.0519729798","5943.31538296579"
