"secteur","hour","cs1","cs2","cs3","cs4","cs5"
7808,"5am","16.3709284354281","30.5320564809272","24.2259063178476","21.9108931221605","6.96021564363654"
7809,"5am","16.0472720484804","18.9478016519064","26.5635903004662","28.0773682730587","10.3639677260884"
7810,"5am","16.9901866484856","18.3273778314075","15.6101390172179","40.7878582509514","8.28443825193768"
7811,"5am","11.7044958313941","16.1854617359841","15.0893732371681","36.8821003759718","20.1385688194819"
7812,"5am","16.1296452743273","9.56714306001325","18.0334341605921","31.1715566032966","25.0982209017705"
7813,"5am","22.7528664181291","16.196138618118","23.7610146030249","22.1104788712818","15.1795014894462"
7814,"5am","13.7681052207407","10.8755179589201","27.9058475735036","32.1818843673724","15.2686448794633"
7815,"5am","16.7491707236709","22.6658750924315","23.4918643733181","26.8744082930592","10.2186815175204"
7816,"5am","10.666614733131","23.1919666092372","21.877317749751","26.5159775978918","17.7481233099891"
9101,"5am","18.3072355369212","27.3449778269895","20.3190153894883","25.6138044460229","8.41496680057803"
9102,"5am","12.5360021582817","24.8250937617325","23.1575506469946","30.9813765029498","8.49997693004136"
9103,"5am","13.3806117087751","29.6010011311417","20.1731860931922","25.7144365191058","11.1307645477852"
9104,"5am","10.5427593461681","17.9661225472224","33.310803953591","27.9375043152954","10.242809837723"
9105,"5am","10.9682857709762","29.912219666018","23.2870236012978","23.4912841971878","12.3411867645202"
9106,"5am","17.7940905080314","33.5278233019326","20.3406805274666","17.8580696664865","10.4793359960828"
9107,"5am","14.4898730562992","21.7812931730962","24.1962582640022","30.3806300331509","9.15194547345159"
9108,"5am","13.1426263970446","21.644886986697","23.3242518127473","27.4597399000809","14.4284949034303"
9109,"5am","6.33472326845375","29.6691040407852","30.9773218453771","22.0677319898125","10.9511188555714"
9110,"5am","20.3556013539825","35.3570305652293","22.6469860331967","17.192287267517","4.44809478007441"
9111,"5am","18.0709644701715","26.1496623561572","22.0063693776593","20.3805420998786","13.3924616961332"
9112,"5am","10.7428510786835","21.3399871244998","24.9065368286537","29.6179252619587","13.3926997062044"
9113,"5am","7.87249759182943","19.5699218073854","20.7834359670925","33.1689058596729","18.6052387740198"
9114,"5am","13.9759111110191","18.9689328533377","10.3158128366686","28.1566749903566","28.5826682086179"
