SECT_EGT;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9
7511;53587.5347239148;55860.8483287707;53329.8037930922;55270.7647993382;51978.3628729848;49695.4178868657;50402.2770792865;48764.695643522;54633.8388034234;55050.1047441906;54880.0558143462;54597.2388926851;61905.6897376363;59354.9988921;60383.2515464294;61035.075263187;61245.8918058272;60700.7817912495;59406.9510347313;59406.9510347313;59406.9510347313;58665.1131497664;54991.3979157993;45370.9169532037
7512;41294.8404464511;42188.3596340256;40312.4155658976;38342.0199768688;37765.1406766218;33755.417688567;34062.0627443693;39336.6866011496;41316.6734173901;46040.8342863893;59617.3922859408;64742.0042946746;65541.0088123797;68001.9512573886;67472.7334659213;69308.7589021299;69968.8063986991;69734.0941631398;66780.1646600295;66780.1646600295;67023.5648635659;66538.1461708579;59784.5180655044;43746.279013592
7513;32064.9489458981;31412.0713356014;28441.8001053612;26347.1483641677;25398.5791727266;26645.2910629562;27006.1079627688;30264.0820267101;30533.0982771005;32595.988865597;40021.3252057468;41819.1236398554;45336.8108376422;42789.0921126689;42742.2675322305;42193.8304516033;42660.9457830383;42660.9457830383;41806.0846277052;41806.0846277052;41806.0846277052;38303.999409874;35570.4567536523;32292.3758426241
7514;32550.8469444756;31926.2130141773;32111.7661686753;28886.0956277237;30285.1128011335;31628.0527173129;28958.4221600121;27314.7023639045;29306.819862889;34188.6038085496;35613.9515644603;41795.4370654024;42909.8339602604;46014.2868054881;47877.8727804352;48648.3183531582;49030.033176224;49030.033176224;45649.4922228561;45649.4922228561;45196.2107529554;43685.338382165;37401.8138899384;33208.3226036749
7701;10322.7464641686;10460.9068537772;11885.8454288682;10741.4047918868;11006.0962657441;11343.9411111985;10800.7188046723;9680.82245667129;9068.21953535901;9302.7258747682;12287.9345529111;15405.2821050151;14106.1350880465;13916.1193749035;14999.4191717751;14999.4191717751;14820.5831383701;14820.5831383701;14447.2145301894;14447.2145301894;14447.2145301894;13428.7410952358;7919.95636610901;9413.49222520146
7702;29281.9464053311;29108.0097131286;29206.6903041188;29828.8496634185;27670.6447461709;29145.9775377306;27485.6477322384;25786.8036961387;23895.1153938435;21918.2295069279;21374.2050630747;22592.3497387042;25075.2040487354;25682.4198819359;26287.821644946;26287.821644946;25506.441847751;25506.441847751;26046.4478049637;26046.4478049637;25635.9062898045;25079.9200590735;23012.3594313847;27467.8381487453
7703;9699.64822149582;10589.6414041246;10314.5894917406;8813.92048901221;8990.37822775235;10562.7005336227;9437.24883345298;9931.71569834295;12725.4085682349;11649.5270580555;10322.8958969782;9121.99826888271;8807.60190267751;8622.50332670755;8484.58887989344;8484.58887989344;8622.50332670755;8822.49140493184;9569.28943399557;9569.28943399557;9250.3311302012;8859.07704707871;7007.15533451153;7864.52621240132
7704;6518.71564185568;6518.71564185568;5954.6900711117;5985.17046852339;6185.76863490382;5985.17046852339;6367.68800026051;6568.28616664094;6218.08734819687;7234.56085585237;5417.66980434958;5304.48111629784;5622.45712777386;5130.54160513429;5466.91193490937;5466.91193490937;5466.91193490937;5466.91193490937;5466.91193490937;5466.91193490937;5466.91193490937;5466.91193490937;5184.15809569678;6350.13271929061
7705;3400.68688913494;3400.68688913494;3108.20940998231;3516.39392627814;3108.20940998231;3108.20940998231;3308.80757636274;3108.20940998231;4072.82719872345;3710.76600326824;5505.51856154644;5352.35718847503;3285.89945533249;3285.89945533249;3285.89945533249;3285.89945533249;3285.89945533249;3285.89945533249;3434.88275854994;3434.88275854994;3434.88275854994;3281.81707625106;4249.17262518383;3072.28725010242
7706;2118.70076188774;2118.70076188774;2118.70076188774;1680.03584818021;1887.62219809562;2076.25047815049;1887.62219809562;1887.62219809562;2056.20512066069;2029.15734562657;2383.68475973096;2383.68475973096;2521.84514933951;2677.390342204;2566.35696779474;2566.35696779474;2566.35696779474;2566.35696779474;2362.23122443524;2362.23122443524;2362.23122443524;2133.36497020526;1887.86387297692;2256.86115149629
